model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi1,LogisticRegression(max_iter=100000),0.92,0.07,11.3,pi3,0.01,0.9117889530090684,0.9159109645507008,0.03,0.0,0.12457036972045898,False
pi3,LogisticRegression(max_iter=100000),0.92,0.04,3.01,pi1,0.01,0.9225061830173125,0.9249793899422918,0.03,0.03,0.12457036972045898,False
pi1,LogisticRegression(max_iter=100000),0.86,0.06,1.7,pi3,0.04,0.8997429305912596,0.8997429305912596,0.17,0.01,1.4102106094360352,True
pi3,LogisticRegression(max_iter=100000),0.9,0.02,2.22,pi1,0.05,0.8459530026109661,0.856396866840731,0.17,0.07,1.4102106094360352,True
pi4,"LogisticRegression(C=0.01, max_iter=100000)",0.7,0.02,1.92,pi5,0.01,0.7127312295973884,0.7170837867247007,0.29,0.1,1.4102106094360352,True
pi5,"LogisticRegression(C=0.01, max_iter=100000)",0.72,0.04,1.91,pi4,0.02,0.6975051975051975,0.7006237006237006,0.29,0.0,1.4102106094360352,True
