model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi1,LogisticRegression(max_iter=100000),0.91,0.04,3.53,pi2,0.01,0.9291014014839242,0.9299258037922506,0.03,0.0,0.1225900650024414,False
pi1,LogisticRegression(max_iter=100000),0.91,0.04,3.53,pi3,0.01,0.9011532125205931,0.9093904448105437,0.11,0.0,0.1225900650024414,False
pi2,"LogisticRegression(C=1, max_iter=100000, solver='liblinear')",0.93,0.02,3.71,pi1,0.02,0.9142621599340478,0.9142621599340478,0.03,0.07,0.1225900650024414,False
pi2,"LogisticRegression(C=1, max_iter=100000, solver='liblinear')",0.93,0.02,3.71,pi3,0.03,0.9011532125205931,0.9093904448105437,0.11,0.99,0.1225900650024414,False
pi3,LogisticRegression(max_iter=100000),0.91,0.08,8.41,pi1,0.01,0.9159109645507008,0.9142621599340478,0.11,0.04,0.1225900650024414,False
pi3,LogisticRegression(max_iter=100000),0.91,0.08,8.41,pi2,0.02,0.9249793899422918,0.9299258037922506,0.11,0.99,0.1225900650024414,False
pi1,LogisticRegression(max_iter=100000),0.87,0.04,2.56,pi2,0.01,0.8571428571428571,0.8599439775910365,0.44,0.02,0.4981333414713542,True
pi2,LogisticRegression(max_iter=100000),0.86,0.05,1.98,pi1,0.01,0.8743718592964824,0.871859296482412,0.44,0.13,0.4981333414713542,True
pi2,LogisticRegression(max_iter=100000),0.86,0.05,1.98,pi3,0.01,0.8654353562005277,0.8759894459102903,0.47,0.99,0.4981333414713542,True
pi3,LogisticRegression(max_iter=100000),0.88,0.03,2.4,pi2,0.02,0.8599439775910365,0.8599439775910365,0.47,0.95,0.4981333414713542,True
pi4,LogisticRegression(max_iter=100000),0.72,0.04,2.31,pi5,0.03,0.6983783783783784,0.7027027027027027,0.25,0.07,0.4981333414713542,True
pi5,LogisticRegression(max_iter=100000),0.7,0.03,2.06,pi4,0.02,0.7260416666666667,0.7239583333333334,0.25,0.01,0.4981333414713542,True
