model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi1,"LogisticRegression(C=0.1, class_weight='balanced', max_iter=100000,
                   solver='liblinear')",0.85,0.02,3.26,pi3,0.01,0.8408903544929925,0.8227535037098104,0.09,0.0,0.1257014274597168,False
pi3,"LogisticRegression(C=0.01, class_weight='balanced', max_iter=100000,
                   solver='saga')",0.82,0.02,2.59,pi1,0.0,0.8250825082508251,0.8481848184818482,0.09,0.04,0.1257014274597168,False
pi1,LogisticRegression(max_iter=100000),0.87,0.05,1.8,pi3,0.0,0.8684863523573201,0.8784119106699751,0.87,0.01,1.630950927734375,True
pi3,LogisticRegression(max_iter=100000),0.88,0.05,1.8,pi1,0.01,0.8675,0.87,0.87,0.09,1.630950927734375,True
pi3,LogisticRegression(max_iter=100000),0.88,0.05,1.8,pi2,0.03,0.8521739130434782,0.8521739130434782,0.29,0.97,1.630950927734375,True
pi2,"LogisticRegression(C=0.1, max_iter=100000, solver='liblinear')",0.85,0.0,1.8,pi3,0.02,0.8684863523573201,0.8784119106699751,0.29,1.0,1.630950927734375,True
pi4,LogisticRegression(max_iter=100000),0.7,0.03,1.99,pi5,0.01,0.71005291005291,0.7164021164021164,0.25,0.07,1.630950927734375,True
pi5,"LogisticRegression(C=0.01, max_iter=100000)",0.72,0.04,2.08,pi4,0.02,0.6997929606625258,0.7008281573498965,0.25,0.0,1.630950927734375,True
