model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi1,LogisticRegression(max_iter=100000),0.92,0.04,10.05,pi2,0.01,0.9151565074135091,0.9151565074135091,0.06,0.0,0.07308244705200195,False
pi1,LogisticRegression(max_iter=100000),0.92,0.04,10.05,pi3,0.01,0.9092409240924092,0.9092409240924092,0.03,0.01,0.07308244705200195,False
pi2,"LogisticRegression(C=1, max_iter=100000, solver='liblinear')",0.92,0.02,6.19,pi1,0.01,0.9208573784006595,0.9208573784006595,0.06,0.07,0.07308244705200195,False
pi2,"LogisticRegression(C=1, max_iter=100000, solver='liblinear')",0.92,0.02,6.19,pi3,0.01,0.9084158415841584,0.9092409240924092,0.04,0.99,0.07308244705200195,False
pi3,LogisticRegression(max_iter=100000),0.91,0.04,3.13,pi1,0.01,0.9208573784006595,0.9208573784006595,0.03,0.06,0.07308244705200195,False
pi3,LogisticRegression(max_iter=100000),0.91,0.04,3.13,pi2,0.01,0.914332784184514,0.9151565074135091,0.04,0.98,0.07308244705200195,False
pi1,LogisticRegression(max_iter=100000),0.86,0.04,1.65,pi3,0.02,0.8421052631578947,0.8448753462603878,0.35,0.02,0.5087313652038574,True
pi3,"LogisticRegression(C=0.1, max_iter=100000, solver='liblinear')",0.84,0.01,1.62,pi1,0.02,0.868632707774799,0.8632707774798928,0.35,0.1,0.5087313652038574,True
pi3,"LogisticRegression(C=0.1, max_iter=100000, solver='liblinear')",0.84,0.01,1.62,pi2,0.01,0.8586956521739131,0.8695652173913043,0.35,0.97,0.5087313652038574,True
pi2,LogisticRegression(max_iter=100000),0.87,0.05,1.74,pi3,0.03,0.8421052631578947,0.8448753462603878,0.35,0.99,0.5087313652038574,True
pi4,LogisticRegression(max_iter=100000),0.71,0.04,1.99,pi5,0.02,0.7278688524590164,0.7278688524590164,0.25,0.06,0.5087313652038574,True
pi5,LogisticRegression(max_iter=100000),0.73,0.03,1.93,pi4,0.02,0.7089005235602094,0.7068062827225131,0.25,0.01,0.5087313652038574,True
