model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi1,"LogisticRegression(class_weight='balanced', max_iter=100000)",0.84,0.1,10.22,pi3,0.01,0.8480594549958712,0.8455821635012386,0.08,0.01,0.14022509256998697,False
pi3,"LogisticRegression(class_weight='balanced', max_iter=100000)",0.85,0.04,2.95,pi1,0.0,0.84375,0.8396381578947368,0.08,0.05,0.14022509256998697,False
pi3,"LogisticRegression(class_weight='balanced', max_iter=100000)",0.85,0.04,2.95,pi2,0.0,0.847233691164327,0.8232865400495458,0.11,0.98,0.14022509256998697,False
pi2,"LogisticRegression(class_weight='balanced', max_iter=100000)",0.82,0.07,2.94,pi3,0.0,0.8249380677126342,0.8455821635012386,0.11,0.99,0.14022509256998697,False
pi1,LogisticRegression(max_iter=100000),0.91,0.04,2.21,pi3,0.04,0.8737623762376238,0.8638613861386139,0.68,0.01,0.9135231971740723,True
pi3,LogisticRegression(max_iter=100000),0.86,0.02,1.95,pi1,0.03,0.8897058823529411,0.9093137254901961,0.68,0.11,0.9135231971740723,True
pi3,LogisticRegression(max_iter=100000),0.86,0.02,1.95,pi2,0.01,0.8516320474777448,0.8783382789317508,0.59,0.96,0.9135231971740723,True
pi2,"LogisticRegression(C=0.01, max_iter=100000, solver='liblinear')",0.88,0.01,1.59,pi3,0.03,0.8465346534653465,0.8638613861386139,0.59,0.98,0.9135231971740723,True
pi4,LogisticRegression(max_iter=100000),0.72,0.03,2.09,pi5,0.01,0.706766917293233,0.706766917293233,0.27,0.08,0.9135231971740723,True
pi5,LogisticRegression(max_iter=100000),0.71,0.03,2.13,pi4,0.0,0.7085533262935586,0.7212249208025343,0.27,0.01,0.9135231971740723,True
