model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi1,"LogisticRegression(C=0.01, class_weight='balanced', max_iter=100000,
                   solver='saga')",0.85,0.02,3.02,pi2,0.01,0.8403292181069959,0.8279835390946502,0.12,0.0,0.14533472061157227,False
pi1,"LogisticRegression(C=0.01, class_weight='balanced', max_iter=100000,
                   solver='saga')",0.85,0.02,3.02,pi3,0.02,0.8320987654320988,0.8197530864197531,0.03,0.01,0.14533472061157227,False
pi2,"LogisticRegression(class_weight='balanced', max_iter=100000)",0.83,0.05,3.04,pi1,0.0,0.8260511129431163,0.8474855729596042,0.12,0.06,0.14533472061157227,False
pi2,"LogisticRegression(class_weight='balanced', max_iter=100000)",0.83,0.05,3.04,pi3,0.02,0.8041152263374486,0.8197530864197531,0.09,0.99,0.14533472061157227,False
pi3,"LogisticRegression(C=0.01, class_weight='balanced', max_iter=100000,
                   solver='saga')",0.82,0.04,2.95,pi1,0.02,0.8400659521846661,0.8474855729596042,0.03,0.07,0.14533472061157227,False
pi3,"LogisticRegression(C=0.01, class_weight='balanced', max_iter=100000,
                   solver='saga')",0.82,0.04,2.95,pi2,0.02,0.8362139917695474,0.8279835390946502,0.09,0.99,0.14533472061157227,False
pi1,LogisticRegression(max_iter=100000),0.88,0.03,2.08,pi2,0.03,0.847769028871391,0.8398950131233596,0.53,0.01,0.6148386001586914,True
pi1,LogisticRegression(max_iter=100000),0.88,0.03,2.08,pi3,0.0,0.8776595744680851,0.8803191489361702,0.34,0.01,0.6148386001586914,True
pi2,LogisticRegression(max_iter=100000),0.84,0.03,2.26,pi1,0.04,0.875,0.8825,0.53,0.14,0.6148386001586914,True
pi3,LogisticRegression(max_iter=100000),0.88,0.05,1.77,pi1,0.01,0.8925,0.8825,0.34,0.09,0.6148386001586914,True
pi4,LogisticRegression(max_iter=100000),0.72,0.05,2.52,pi5,0.0,0.7116430903155604,0.7116430903155604,0.36,0.09,0.6148386001586914,True
pi5,LogisticRegression(max_iter=100000),0.71,0.09,2.19,pi4,0.01,0.7214285714285714,0.7163265306122449,0.36,0.02,0.6148386001586914,True
