model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi2,LogisticRegression(max_iter=100000),0.02,1.1,0.95,pi3,0.01,0.9410354745925216,0.9419942473633749,9.91,0.97,13.610270182291666,True
pi2,LogisticRegression(max_iter=100000),0.02,1.1,0.95,pi4,0.0,0.948705656759348,0.9491850431447747,10.02,0.98,13.610270182291666,True
pi3,LogisticRegression(max_iter=100000),0.02,1.17,0.94,pi2,0.01,0.9500959692898272,0.9491362763915547,9.91,0.98,13.610270182291666,True
pi3,LogisticRegression(max_iter=100000),0.02,1.17,0.94,pi4,0.01,0.947267497603068,0.9491850431447747,12.53,0.98,13.610270182291666,True
pi4,LogisticRegression(max_iter=100000),0.03,1.02,0.95,pi2,0.0,0.9491362763915547,0.9491362763915547,10.02,0.99,13.610270182291666,True
pi4,LogisticRegression(max_iter=100000),0.03,1.02,0.95,pi3,0.01,0.9410354745925216,0.9419942473633749,12.53,0.97,13.610270182291666,True
pi2,LogisticRegression(max_iter=100000),0.02,0.75,0.97,pi3,0.01,0.9562666666666667,0.9552,18.55,0.97,19.176618303571427,False
pi2,LogisticRegression(max_iter=100000),0.02,0.75,0.97,pi4,0.0,0.9643617021276596,0.9643617021276596,15.47,0.97,19.176618303571427,False
pi3,LogisticRegression(max_iter=100000),0.02,0.76,0.96,pi2,0.01,0.9664,0.9664,18.55,0.98,19.176618303571427,False
pi4,LogisticRegression(max_iter=100000),0.02,0.86,0.96,pi2,0.0,0.9664,0.9664,15.47,0.99,19.176618303571427,False
