model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi1,"LogisticRegression(C=0.01, class_weight='balanced', max_iter=100000,
                   solver='liblinear')",0.84,0.02,2.52,pi3,0.01,0.834983498349835,0.8267326732673267,0.09,0.01,0.10652542114257812,False
pi3,"LogisticRegression(class_weight='balanced', max_iter=100000)",0.83,0.03,2.46,pi1,0.01,0.8393739703459637,0.8410214168039539,0.09,0.05,0.10652542114257812,False
pi3,"LogisticRegression(class_weight='balanced', max_iter=100000)",0.83,0.03,2.46,pi2,0.0,0.83003300330033,0.8275577557755776,0.06,0.99,0.10652542114257812,False
pi2,"LogisticRegression(C=0.01, class_weight='balanced', max_iter=100000,
                   solver='liblinear')",0.83,0.02,3.02,pi3,0.01,0.820957095709571,0.8267326732673267,0.06,0.99,0.10652542114257812,False
pi1,LogisticRegression(max_iter=100000),0.89,0.06,1.86,pi3,0.02,0.8670360110803325,0.8614958448753463,0.1,0.01,0.3066139221191406,True
pi3,LogisticRegression(max_iter=100000),0.86,0.04,1.72,pi1,0.02,0.8863636363636364,0.8888888888888888,0.1,0.1,0.3066139221191406,True
pi4,LogisticRegression(max_iter=100000),0.7,0.02,1.88,pi5,0.0,0.7007700770077008,0.7029702970297029,0.26,0.06,0.3066139221191406,True
pi5,LogisticRegression(max_iter=100000),0.7,0.04,2.0,pi4,0.0,0.7043568464730291,0.696058091286307,0.26,0.0,0.3066139221191406,True
