model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi2,LogisticRegression(max_iter=100000),0.01,0.6,0.95,pi3,0.0,0.9491850431447747,0.9482262703739214,14.16,0.99,13.662353515625,True
pi2,LogisticRegression(max_iter=100000),0.01,0.6,0.95,pi4,0.0,0.9554170661553212,0.9539789069990412,11.49,0.98,13.662353515625,True
pi3,LogisticRegression(max_iter=100000),0.02,0.72,0.95,pi2,0.0,0.951969260326609,0.9529298751200769,14.16,0.97,13.662353515625,True
pi3,LogisticRegression(max_iter=100000),0.02,0.72,0.95,pi4,0.01,0.9544582933844679,0.9539789069990412,8.73,0.97,13.662353515625,True
pi4,LogisticRegression(max_iter=100000),0.01,0.83,0.95,pi2,0.0,0.9505283381364072,0.9529298751200769,11.49,0.98,13.662353515625,True
pi4,LogisticRegression(max_iter=100000),0.01,0.83,0.95,pi3,0.0,0.9491850431447747,0.9482262703739214,8.73,0.97,13.662353515625,True
pi2,LogisticRegression(max_iter=100000),0.01,0.58,0.97,pi3,0.0,0.9632196162046909,0.9632196162046909,20.75,0.99,21.868915264423077,False
pi3,LogisticRegression(max_iter=100000),0.01,0.64,0.96,pi2,0.0,0.9674493062966916,0.9674493062966916,20.75,0.97,21.868915264423077,False
pi3,LogisticRegression(max_iter=100000),0.01,0.64,0.96,pi4,0.01,0.9717333333333333,0.9717333333333333,18.69,0.97,21.868915264423077,False
pi4,LogisticRegression(max_iter=100000),0.01,0.6,0.97,pi3,0.01,0.9626865671641791,0.9632196162046909,18.69,0.98,21.868915264423077,False
