model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi1,LogisticRegression(max_iter=100000),0.91,0.08,3.16,pi3,0.01,0.9150865622423743,0.9150865622423743,0.1,0.0,0.1268916130065918,False
pi3,LogisticRegression(max_iter=100000),0.92,0.07,3.06,pi1,0.0,0.9107438016528926,0.9082644628099174,0.1,0.06,0.1268916130065918,False
pi3,LogisticRegression(max_iter=100000),0.92,0.07,3.06,pi2,0.0,0.9126853377265239,0.913509060955519,0.05,0.98,0.1268916130065918,False
pi2,LogisticRegression(max_iter=100000),0.91,0.09,3.13,pi3,0.0,0.909315746084089,0.9150865622423743,0.05,0.99,0.1268916130065918,False
pi1,LogisticRegression(max_iter=100000),0.87,0.04,1.77,pi2,0.03,0.848,0.848,0.45,0.02,0.4661111831665039,True
pi1,LogisticRegression(max_iter=100000),0.87,0.04,1.77,pi3,0.0,0.8733509234828496,0.8680738786279684,0.28,0.02,0.4661111831665039,True
pi2,LogisticRegression(max_iter=100000),0.85,0.03,2.11,pi1,0.02,0.8720379146919431,0.8744075829383886,0.45,0.11,0.4661111831665039,True
pi2,LogisticRegression(max_iter=100000),0.85,0.03,2.11,pi3,0.02,0.8707124010554089,0.8680738786279684,0.1,0.97,0.4661111831665039,True
pi3,LogisticRegression(max_iter=100000),0.87,0.03,1.77,pi1,0.0,0.8672985781990521,0.8744075829383886,0.28,0.09,0.4661111831665039,True
pi3,LogisticRegression(max_iter=100000),0.87,0.03,1.77,pi2,0.02,0.848,0.848,0.1,0.98,0.4661111831665039,True
pi4,LogisticRegression(max_iter=100000),0.72,0.04,1.97,pi5,0.03,0.6923076923076923,0.6944745395449621,0.26,0.09,0.4661111831665039,True
pi5,LogisticRegression(max_iter=100000),0.69,0.03,1.91,pi4,0.02,0.7147335423197492,0.7199582027168234,0.26,0.02,0.4661111831665039,True
