model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi1,"LogisticRegression(C=0.01, class_weight='balanced', max_iter=100000,
                   solver='liblinear')",0.85,0.02,3.31,pi2,0.02,0.8293487221764221,0.8285243198680956,0.04,0.0,0.09803199768066406,False
pi2,"LogisticRegression(C=0.01, class_weight='balanced', max_iter=100000,
                   solver='liblinear')",0.83,0.02,3.3,pi1,0.03,0.8547854785478548,0.8539603960396039,0.04,0.04,0.09803199768066406,False
pi2,"LogisticRegression(C=0.01, class_weight='balanced', max_iter=100000,
                   solver='liblinear')",0.83,0.02,3.3,pi3,0.01,0.8205761316872427,0.8139917695473251,0.07,0.98,0.09803199768066406,False
pi3,"LogisticRegression(class_weight='balanced', max_iter=100000)",0.81,0.03,2.6,pi2,0.01,0.8260511129431163,0.8285243198680956,0.07,0.99,0.09803199768066406,False
pi1,LogisticRegression(max_iter=100000),0.88,0.03,2.06,pi2,0.05,0.8309037900874635,0.8454810495626822,0.26,0.01,0.7070960998535156,True
pi1,LogisticRegression(max_iter=100000),0.88,0.03,2.06,pi3,0.02,0.8552631578947368,0.8578947368421053,0.62,0.01,0.7070960998535156,True
pi2,"LogisticRegression(C=0.01, max_iter=100000, solver='saga')",0.85,0.01,1.69,pi1,0.02,0.8690176322418136,0.8765743073047859,0.26,0.11,0.7070960998535156,True
pi3,LogisticRegression(max_iter=100000),0.86,0.03,2.12,pi1,0.01,0.871536523929471,0.8765743073047859,0.62,0.1,0.7070960998535156,True
pi4,LogisticRegression(max_iter=100000),0.73,0.04,2.72,pi5,0.01,0.7230603448275862,0.7241379310344828,0.25,0.07,0.7070960998535156,True
pi5,LogisticRegression(max_iter=100000),0.72,0.04,2.27,pi4,0.01,0.7160751565762005,0.7286012526096033,0.25,0.0,0.7070960998535156,True
