model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi1,"LogisticRegression(C=0.01, class_weight='balanced', max_iter=100000,
                   solver='liblinear')",0.85,0.02,2.56,pi3,0.01,0.8425391591096455,0.8252267106347898,0.28,0.01,0.30806779861450195,False
pi3,"LogisticRegression(class_weight='balanced', max_iter=100000)",0.83,0.04,2.79,pi1,0.01,0.8358085808580858,0.8498349834983498,0.28,0.05,0.30806779861450195,False
pi3,"LogisticRegression(class_weight='balanced', max_iter=100000)",0.83,0.04,2.79,pi2,0.01,0.8197530864197531,0.8255144032921811,0.06,0.97,0.30806779861450195,False
pi2,"LogisticRegression(class_weight='balanced', max_iter=100000)",0.83,0.06,2.76,pi3,0.0,0.8301731244847486,0.8252267106347898,0.06,0.99,0.30806779861450195,False
pi1,LogisticRegression(max_iter=100000),0.87,0.05,1.65,pi3,0.01,0.8571428571428571,0.862533692722372,1.53,0.02,1.6188864707946777,True
pi3,LogisticRegression(max_iter=100000),0.86,0.05,1.7,pi1,0.0,0.8648648648648649,0.8697788697788698,1.53,0.08,1.6188864707946777,True
pi3,LogisticRegression(max_iter=100000),0.86,0.05,1.7,pi2,0.01,0.8563685636856369,0.8563685636856369,0.38,0.92,1.6188864707946777,True
pi2,LogisticRegression(max_iter=100000),0.86,0.02,2.38,pi3,0.01,0.8679245283018868,0.862533692722372,0.38,0.99,1.6188864707946777,True
pi4,LogisticRegression(max_iter=100000),0.72,0.06,2.33,pi5,0.01,0.7060737527114967,0.7169197396963124,0.65,0.08,1.6188864707946777,True
pi5,LogisticRegression(max_iter=100000),0.72,0.05,2.41,pi4,0.01,0.7289340101522843,0.7177664974619289,0.65,0.01,1.6188864707946777,True
