model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi1,LogisticRegression(max_iter=100000),0.91,0.08,3.5,pi2,0.0,0.9126853377265239,0.9159802306425041,0.12,0.0,0.12861013412475586,False
pi1,LogisticRegression(max_iter=100000),0.91,0.08,3.5,pi3,0.0,0.9126133553173948,0.9159109645507008,0.04,0.0,0.12861013412475586,False
pi2,LogisticRegression(max_iter=100000),0.92,0.08,3.36,pi1,0.01,0.9061728395061729,0.9078189300411522,0.12,0.07,0.12861013412475586,False
pi2,LogisticRegression(max_iter=100000),0.92,0.08,3.36,pi3,0.0,0.9134377576257213,0.9159109645507008,0.13,0.99,0.12861013412475586,False
pi3,LogisticRegression(max_iter=100000),0.92,0.07,3.84,pi1,0.0,0.9111111111111111,0.9078189300411522,0.04,0.02,0.12861013412475586,False
pi3,LogisticRegression(max_iter=100000),0.92,0.07,3.84,pi2,0.0,0.9151565074135091,0.9159802306425041,0.13,0.98,0.12861013412475586,False
pi1,"LogisticRegression(C=0.01, max_iter=100000, solver='liblinear')",0.84,0.01,1.88,pi2,0.04,0.8859649122807017,0.8859649122807017,0.35,0.01,0.496734619140625,True
pi1,"LogisticRegression(C=0.01, max_iter=100000, solver='liblinear')",0.84,0.01,1.88,pi3,0.03,0.8691099476439791,0.8612565445026178,0.25,0.0,0.496734619140625,True
pi2,LogisticRegression(max_iter=100000),0.89,0.03,2.27,pi1,0.04,0.8414634146341463,0.8439024390243902,0.35,0.14,0.496734619140625,True
pi3,LogisticRegression(max_iter=100000),0.86,0.03,2.02,pi1,0.02,0.8390243902439024,0.8439024390243902,0.25,0.11,0.496734619140625,True
pi4,LogisticRegression(max_iter=100000),0.69,0.04,1.99,pi5,0.03,0.7233333333333334,0.7211111111111111,0.39,0.09,0.496734619140625,True
pi5,LogisticRegression(max_iter=100000),0.72,0.04,2.27,pi4,0.03,0.6928645294725957,0.688728024819028,0.39,0.01,0.496734619140625,True
