model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi1,LogisticRegression(max_iter=100000),0.99,0.08,4.34,pi3,0.0,0.9881075491209927,0.9881075491209927,33.24,0.99,41.0841796875,False
pi1,LogisticRegression(max_iter=100000),0.99,0.08,4.34,pi5,0.01,0.9813857290589452,0.9813857290589452,41.01,0.0,41.0841796875,False
pi1,LogisticRegression(max_iter=100000),0.99,0.08,4.34,pi6,0.0,0.9886246122026887,0.9886246122026887,35.55,0.0,41.0841796875,False
pi1,LogisticRegression(max_iter=100000),0.99,0.08,4.34,pi8,0.32,0.672360248447205,0.6966873706004141,35.09,0.0,41.0841796875,False
pi3,LogisticRegression(max_iter=100000),0.99,0.08,4.09,pi1,0.0,0.9875840662183135,0.9875840662183135,33.24,0.98,41.0841796875,False
pi3,LogisticRegression(max_iter=100000),0.99,0.08,4.09,pi5,0.01,0.9813857290589452,0.9813857290589452,38.36,0.0,41.0841796875,False
pi3,LogisticRegression(max_iter=100000),0.99,0.08,4.09,pi6,0.0,0.9886246122026887,0.9886246122026887,34.19,0.0,41.0841796875,False
pi3,LogisticRegression(max_iter=100000),0.99,0.08,4.09,pi7,0.01,0.9818934299017071,0.9818934299017071,39.8,0.0,41.0841796875,False
pi3,LogisticRegression(max_iter=100000),0.99,0.08,4.09,pi8,0.34,0.6490683229813664,0.6966873706004141,32.81,0.0,41.0841796875,False
pi5,LogisticRegression(max_iter=100000),0.98,0.09,3.68,pi1,0.01,0.9875840662183135,0.9875840662183135,41.01,0.0,41.0841796875,False
pi5,LogisticRegression(max_iter=100000),0.98,0.09,3.68,pi3,0.01,0.9881075491209927,0.9881075491209927,38.36,0.0,41.0841796875,False
pi5,LogisticRegression(max_iter=100000),0.98,0.09,3.68,pi4,0.01,0.9886128364389234,0.9886128364389234,36.19,0.99,41.0841796875,False
pi5,LogisticRegression(max_iter=100000),0.98,0.09,3.68,pi7,0.0,0.9818934299017071,0.9818934299017071,43.11,0.99,41.0841796875,False
pi5,LogisticRegression(max_iter=100000),0.98,0.09,3.68,pi8,0.3,0.6780538302277432,0.6966873706004141,37.23,0.99,41.0841796875,False
pi6,LogisticRegression(max_iter=100000),0.99,0.09,14.15,pi1,0.0,0.9875840662183135,0.9875840662183135,35.55,0.0,41.0841796875,False
pi6,LogisticRegression(max_iter=100000),0.99,0.09,14.15,pi3,0.0,0.9881075491209927,0.9881075491209927,34.19,0.0,41.0841796875,False
pi6,LogisticRegression(max_iter=100000),0.99,0.09,14.15,pi7,0.01,0.9818934299017071,0.9818934299017071,39.41,0.98,41.0841796875,False
pi6,LogisticRegression(max_iter=100000),0.99,0.09,14.15,pi8,0.44,0.55175983436853,0.6966873706004141,34.34,0.99,41.0841796875,False
pi8,"LogisticRegression(C=1, max_iter=100000, solver='liblinear')",0.7,0.05,182.87,pi1,0.29,0.9875840662183135,0.9875840662183135,35.09,0.0,41.0841796875,False
pi8,"LogisticRegression(C=1, max_iter=100000, solver='liblinear')",0.7,0.05,182.87,pi3,0.29,0.9881075491209927,0.9881075491209927,32.81,0.0,41.0841796875,False
pi8,"LogisticRegression(C=1, max_iter=100000, solver='liblinear')",0.7,0.05,182.87,pi5,0.28,0.9813857290589452,0.9813857290589452,37.23,0.99,41.0841796875,False
pi8,"LogisticRegression(C=1, max_iter=100000, solver='liblinear')",0.7,0.05,182.87,pi6,0.29,0.9886246122026887,0.9886246122026887,34.34,0.99,41.0841796875,False
pi8,"LogisticRegression(C=1, max_iter=100000, solver='liblinear')",0.7,0.05,182.87,pi7,0.29,0.9818934299017071,0.9818934299017071,36.32,1.0,41.0841796875,False
pi7,LogisticRegression(max_iter=100000),0.98,0.13,4.09,pi3,0.01,0.9881075491209927,0.9881075491209927,39.8,0.0,41.0841796875,False
pi7,LogisticRegression(max_iter=100000),0.98,0.13,4.09,pi5,0.0,0.9813857290589452,0.9813857290589452,43.11,0.99,41.0841796875,False
pi7,LogisticRegression(max_iter=100000),0.98,0.13,4.09,pi6,0.01,0.9886246122026887,0.9886246122026887,39.41,0.99,41.0841796875,False
pi7,LogisticRegression(max_iter=100000),0.98,0.13,4.09,pi8,0.31,0.6713250517598344,0.6966873706004141,36.32,0.99,41.0841796875,False
pi4,LogisticRegression(max_iter=100000),0.99,0.08,4.1,pi5,0.01,0.9813857290589452,0.9813857290589452,36.19,0.98,41.0841796875,False
pi1,LogisticRegression(max_iter=100000),0.86,0.02,0.93,pi3,0.04,0.8157894736842105,0.8421052631578947,1293.96,0.99,1675.46064453125,True
pi1,LogisticRegression(max_iter=100000),0.86,0.02,0.93,pi5,0.15,0.7121212121212122,0.7272727272727273,1398.04,0.0,1675.46064453125,True
pi1,LogisticRegression(max_iter=100000),0.86,0.02,0.93,pi6,0.09,0.7692307692307693,0.8717948717948718,1372.92,0.0,1675.46064453125,True
pi1,LogisticRegression(max_iter=100000),0.86,0.02,0.93,pi8,0.5,0.36163714111178985,0.7000610873549176,1151.48,0.0,1675.46064453125,True
pi3,LogisticRegression(max_iter=100000),0.84,0.02,0.85,pi1,0.01,0.8333333333333334,0.8571428571428571,1293.96,0.99,1675.46064453125,True
pi3,LogisticRegression(max_iter=100000),0.84,0.02,0.85,pi4,0.02,0.8648648648648649,0.8648648648648649,1328.04,0.0,1675.46064453125,True
pi3,LogisticRegression(max_iter=100000),0.84,0.02,0.85,pi5,0.11,0.7272727272727273,0.7272727272727273,1587.43,0.0,1675.46064453125,True
pi3,LogisticRegression(max_iter=100000),0.84,0.02,0.85,pi6,0.03,0.8717948717948718,0.8717948717948718,955.19,0.0,1675.46064453125,True
pi3,LogisticRegression(max_iter=100000),0.84,0.02,0.85,pi7,0.05,0.7936507936507936,0.8412698412698413,1307.65,0.0,1675.46064453125,True
pi3,LogisticRegression(max_iter=100000),0.84,0.02,0.85,pi8,0.33,0.5094685400122174,0.7000610873549176,761.5,0.0,1675.46064453125,True
pi5,LogisticRegression(max_iter=100000),0.73,0.01,0.75,pi1,0.11,0.8333333333333334,0.8571428571428571,1398.04,0.0,1675.46064453125,True
pi5,LogisticRegression(max_iter=100000),0.73,0.01,0.75,pi3,0.11,0.8421052631578947,0.8421052631578947,1587.43,0.0,1675.46064453125,True
pi5,LogisticRegression(max_iter=100000),0.73,0.01,0.75,pi4,0.14,0.8648648648648649,0.8648648648648649,1528.17,0.95,1675.46064453125,True
pi5,LogisticRegression(max_iter=100000),0.73,0.01,0.75,pi7,0.07,0.7936507936507936,0.8412698412698413,1561.13,0.85,1675.46064453125,True
pi5,LogisticRegression(max_iter=100000),0.73,0.01,0.75,pi8,0.37,0.36163714111178985,0.7000610873549176,1360.37,0.87,1675.46064453125,True
pi6,LogisticRegression(max_iter=100000),0.87,0.02,1.86,pi1,0.04,0.8333333333333334,0.8571428571428571,1372.92,0.0,1675.46064453125,True
pi6,LogisticRegression(max_iter=100000),0.87,0.02,1.86,pi3,0.03,0.8421052631578947,0.8421052631578947,955.19,0.0,1675.46064453125,True
pi6,LogisticRegression(max_iter=100000),0.87,0.02,1.86,pi7,0.08,0.7936507936507936,0.8412698412698413,1678.95,0.79,1675.46064453125,True
pi6,LogisticRegression(max_iter=100000),0.87,0.02,1.86,pi8,0.36,0.5076359193646915,0.7000610873549176,842.39,0.9,1675.46064453125,True
pi8,LogisticRegression(max_iter=100000),0.7,0.08,58.13,pi1,0.18,0.5238095238095238,0.8571428571428571,1151.48,0.0,1675.46064453125,True
