model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi1,LogisticRegression(max_iter=100000),0.98,0.07,3.28,pi3,0.0,0.9865494050698397,0.9865494050698397,36.16,0.99,49.24267578125,False
pi1,LogisticRegression(max_iter=100000),0.98,0.07,3.28,pi6,0.0,0.9865563598759048,0.9865563598759048,41.41,0.0,49.24267578125,False
pi1,LogisticRegression(max_iter=100000),0.98,0.07,3.28,pi8,0.3,0.6808070356958096,0.6896016554578376,38.21,0.0,49.24267578125,False
pi3,LogisticRegression(max_iter=100000),0.99,0.07,3.32,pi1,0.0,0.9839627521986549,0.9839627521986549,36.16,0.98,49.24267578125,False
pi3,LogisticRegression(max_iter=100000),0.99,0.07,3.32,pi4,0.0,0.9881013967925505,0.9881013967925505,40.43,0.0,49.24267578125,False
pi3,LogisticRegression(max_iter=100000),0.99,0.07,3.32,pi6,0.0,0.9865563598759048,0.9865563598759048,35.69,0.0,49.24267578125,False
pi3,LogisticRegression(max_iter=100000),0.99,0.07,3.32,pi7,0.0,0.983445421624418,0.983445421624418,43.48,0.0,49.24267578125,False
pi3,LogisticRegression(max_iter=100000),0.99,0.07,3.32,pi8,0.31,0.6735644076564925,0.6896016554578376,32.55,0.0,49.24267578125,False
pi6,LogisticRegression(max_iter=100000),0.99,0.08,5.93,pi1,0.0,0.9839627521986549,0.9839627521986549,41.41,0.0,49.24267578125,False
pi6,LogisticRegression(max_iter=100000),0.99,0.08,5.93,pi3,0.0,0.9865494050698397,0.9865494050698397,35.69,0.0,49.24267578125,False
pi6,LogisticRegression(max_iter=100000),0.99,0.08,5.93,pi4,0.0,0.9881013967925505,0.9881013967925505,42.34,0.99,49.24267578125,False
pi6,LogisticRegression(max_iter=100000),0.99,0.08,5.93,pi7,0.0,0.983445421624418,0.983445421624418,49.57,0.98,49.24267578125,False
pi6,LogisticRegression(max_iter=100000),0.99,0.08,5.93,pi8,0.44,0.5463010863942059,0.6896016554578376,38.9,0.98,49.24267578125,False
pi8,"LogisticRegression(C=10, max_iter=100000, solver='liblinear')",0.69,0.03,100.29,pi1,0.29,0.9839627521986549,0.9839627521986549,38.21,0.0,49.24267578125,False
pi8,"LogisticRegression(C=10, max_iter=100000, solver='liblinear')",0.69,0.03,100.29,pi3,0.3,0.9865494050698397,0.9865494050698397,32.55,0.0,49.24267578125,False
pi8,"LogisticRegression(C=10, max_iter=100000, solver='liblinear')",0.69,0.03,100.29,pi4,0.3,0.9881013967925505,0.9881013967925505,38.69,0.99,49.24267578125,False
pi8,"LogisticRegression(C=10, max_iter=100000, solver='liblinear')",0.69,0.03,100.29,pi6,0.3,0.9865563598759048,0.9865563598759048,38.9,0.98,49.24267578125,False
pi8,"LogisticRegression(C=10, max_iter=100000, solver='liblinear')",0.69,0.03,100.29,pi7,0.29,0.983445421624418,0.983445421624418,40.0,0.99,49.24267578125,False
pi4,LogisticRegression(max_iter=100000),0.99,0.07,2.99,pi3,0.0,0.9865494050698397,0.9865494050698397,40.43,0.0,49.24267578125,False
pi4,LogisticRegression(max_iter=100000),0.99,0.07,2.99,pi5,0.01,0.9782608695652174,0.9782608695652174,47.75,0.98,49.24267578125,False
pi4,LogisticRegression(max_iter=100000),0.99,0.07,2.99,pi6,0.0,0.9865563598759048,0.9865563598759048,42.34,0.98,49.24267578125,False
pi4,LogisticRegression(max_iter=100000),0.99,0.07,2.99,pi7,0.0,0.983445421624418,0.983445421624418,33.42,0.98,49.24267578125,False
pi4,LogisticRegression(max_iter=100000),0.99,0.07,2.99,pi8,0.32,0.6699430936368339,0.6896016554578376,38.69,0.98,49.24267578125,False
pi7,LogisticRegression(max_iter=100000),0.98,0.06,2.75,pi3,0.0,0.9865494050698397,0.9865494050698397,43.48,0.0,49.24267578125,False
pi7,LogisticRegression(max_iter=100000),0.98,0.06,2.75,pi4,0.0,0.9881013967925505,0.9881013967925505,33.42,0.99,49.24267578125,False
pi7,LogisticRegression(max_iter=100000),0.98,0.06,2.75,pi5,0.01,0.9782608695652174,0.9782608695652174,45.16,0.99,49.24267578125,False
pi7,LogisticRegression(max_iter=100000),0.98,0.06,2.75,pi6,0.0,0.9865563598759048,0.9865563598759048,49.57,0.99,49.24267578125,False
pi7,LogisticRegression(max_iter=100000),0.98,0.06,2.75,pi8,0.31,0.6735644076564925,0.6896016554578376,40.0,0.99,49.24267578125,False
pi5,LogisticRegression(max_iter=100000),0.98,0.08,2.65,pi4,0.01,0.9881013967925505,0.9881013967925505,47.75,0.99,49.24267578125,False
pi5,LogisticRegression(max_iter=100000),0.98,0.08,2.65,pi7,0.01,0.983445421624418,0.983445421624418,45.16,0.99,49.24267578125,False
pi1,LogisticRegression(max_iter=100000),0.8,0.01,0.71,pi3,0.02,0.8181818181818182,0.8181818181818182,852.31,0.98,1646.1885850694443,True
pi1,LogisticRegression(max_iter=100000),0.8,0.01,0.71,pi4,0.05,0.8461538461538461,0.8461538461538461,1012.36,0.0,1646.1885850694443,True
pi1,LogisticRegression(max_iter=100000),0.8,0.01,0.71,pi5,0.09,0.7066666666666667,0.7066666666666667,1072.31,0.0,1646.1885850694443,True
pi1,LogisticRegression(max_iter=100000),0.8,0.01,0.71,pi6,0.07,0.8666666666666667,0.8666666666666667,1249.26,0.0,1646.1885850694443,True
pi1,LogisticRegression(max_iter=100000),0.8,0.01,0.71,pi8,0.28,0.5195429945880938,0.6861094407696934,883.22,0.0,1646.1885850694443,True
pi3,LogisticRegression(max_iter=100000),0.82,0.01,0.71,pi1,0.02,0.8,0.8,852.31,0.98,1646.1885850694443,True
pi3,LogisticRegression(max_iter=100000),0.82,0.01,0.71,pi4,0.03,0.8461538461538461,0.8461538461538461,1110.48,0.0,1646.1885850694443,True
pi3,LogisticRegression(max_iter=100000),0.82,0.01,0.71,pi6,0.05,0.8666666666666667,0.8666666666666667,802.15,0.0,1646.1885850694443,True
pi3,LogisticRegression(max_iter=100000),0.82,0.01,0.71,pi8,0.41,0.4052916416115454,0.6861094407696934,735.4,0.0,1646.1885850694443,True
pi4,LogisticRegression(max_iter=100000),0.85,0.01,0.72,pi1,0.06,0.7818181818181819,0.8,1012.36,0.0,1646.1885850694443,True
pi4,LogisticRegression(max_iter=100000),0.85,0.01,0.72,pi3,0.03,0.8181818181818182,0.8181818181818182,1110.48,0.0,1646.1885850694443,True
pi4,LogisticRegression(max_iter=100000),0.85,0.01,0.72,pi5,0.14,0.7066666666666667,0.7066666666666667,1206.52,1.0,1646.1885850694443,True
pi4,LogisticRegression(max_iter=100000),0.85,0.01,0.72,pi6,0.02,0.8666666666666667,0.8666666666666667,985.5,1.0,1646.1885850694443,True
pi4,LogisticRegression(max_iter=100000),0.85,0.01,0.72,pi8,0.47,0.3740228502705953,0.6861094407696934,1368.95,0.89,1646.1885850694443,True
pi5,LogisticRegression(max_iter=100000),0.71,0.01,0.68,pi1,0.08,0.7818181818181819,0.8,1072.31,0.0,1646.1885850694443,True
pi5,LogisticRegression(max_iter=100000),0.71,0.01,0.68,pi4,0.04,0.7435897435897436,0.8461538461538461,1206.52,0.77,1646.1885850694443,True
pi5,LogisticRegression(max_iter=100000),0.71,0.01,0.68,pi8,0.33,0.3740228502705953,0.6861094407696934,1155.62,0.82,1646.1885850694443,True
pi6,LogisticRegression(max_iter=100000),0.87,0.01,1.0,pi1,0.07,0.8,0.8,1249.26,0.0,1646.1885850694443,True
pi6,LogisticRegression(max_iter=100000),0.87,0.01,1.0,pi3,0.05,0.8181818181818182,0.8181818181818182,802.15,0.0,1646.1885850694443,True
pi6,LogisticRegression(max_iter=100000),0.87,0.01,1.0,pi4,0.02,0.8461538461538461,0.8461538461538461,985.5,0.85,1646.1885850694443,True
pi6,LogisticRegression(max_iter=100000),0.87,0.01,1.0,pi7,0.03,0.8363636363636363,0.8909090909090909,1433.01,0.76,1646.1885850694443,True
pi6,LogisticRegression(max_iter=100000),0.87,0.01,1.0,pi8,0.35,0.5117257967528562,0.6861094407696934,948.06,0.87,1646.1885850694443,True
pi8,LogisticRegression(max_iter=100000),0.69,0.05,10.39,pi1,0.18,0.509090909090909,0.8,883.22,0.0,1646.1885850694443,True
pi8,LogisticRegression(max_iter=100000),0.69,0.05,10.39,pi3,0.21,0.4772727272727273,0.8181818181818182,735.4,0.0,1646.1885850694443,True
pi8,LogisticRegression(max_iter=100000),0.69,0.05,10.39,pi4,0.22,0.46153846153846156,0.8461538461538461,1368.95,0.82,1646.1885850694443,True
pi8,LogisticRegression(max_iter=100000),0.69,0.05,10.39,pi5,0.18,0.5066666666666667,0.7066666666666667,1155.62,0.89,1646.1885850694443,True
pi8,LogisticRegression(max_iter=100000),0.69,0.05,10.39,pi6,0.22,0.4666666666666667,0.8666666666666667,948.06,0.97,1646.1885850694443,True
pi8,LogisticRegression(max_iter=100000),0.69,0.05,10.39,pi7,0.18,0.509090909090909,0.8909090909090909,1252.37,0.89,1646.1885850694443,True
pi2,LogisticRegression(max_iter=100000),0.71,0.01,0.72,pi10,0.18,0.5370675453047776,0.7182866556836903,590.47,0.0,1646.1885850694443,True
pi10,LogisticRegression(max_iter=100000),0.72,0.02,1.67,pi2,0.23,0.48936170212765956,0.7127659574468085,590.47,0.49,1646.1885850694443,True
pi7,LogisticRegression(max_iter=100000),0.89,0.02,0.88,pi6,0.11,0.7777777777777778,0.8666666666666667,1433.01,0.97,1646.1885850694443,True
