model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi1,LogisticRegression(max_iter=100000),0.98,0.08,3.32,pi3,0.0,0.9844800827728919,0.9844800827728919,33.78,0.99,39.70244140625,False
pi1,LogisticRegression(max_iter=100000),0.98,0.08,3.32,pi4,0.01,0.988089073019161,0.988089073019161,38.54,0.0,39.70244140625,False
pi1,LogisticRegression(max_iter=100000),0.98,0.08,3.32,pi6,0.01,0.986046511627907,0.986046511627907,37.7,0.0,39.70244140625,False
pi1,LogisticRegression(max_iter=100000),0.98,0.08,3.32,pi7,0.0,0.9824107604759441,0.9824107604759441,34.25,0.0,39.70244140625,False
pi1,LogisticRegression(max_iter=100000),0.98,0.08,3.32,pi8,0.31,0.6709777547853079,0.7051215726849457,33.9,0.0,39.70244140625,False
pi3,LogisticRegression(max_iter=100000),0.98,0.09,4.41,pi1,0.0,0.9803108808290155,0.9803108808290155,33.78,0.97,39.70244140625,False
pi3,LogisticRegression(max_iter=100000),0.98,0.09,4.41,pi4,0.0,0.988089073019161,0.988089073019161,33.25,0.0,39.70244140625,False
pi3,LogisticRegression(max_iter=100000),0.98,0.09,4.41,pi6,0.0,0.986046511627907,0.986046511627907,35.88,0.0,39.70244140625,False
pi3,LogisticRegression(max_iter=100000),0.98,0.09,4.41,pi7,0.0,0.9824107604759441,0.9824107604759441,33.44,0.0,39.70244140625,False
pi3,LogisticRegression(max_iter=100000),0.98,0.09,4.41,pi8,0.37,0.619244697361614,0.7051215726849457,31.76,0.0,39.70244140625,False
pi4,LogisticRegression(max_iter=100000),0.99,0.09,6.07,pi1,0.01,0.9803108808290155,0.9803108808290155,38.54,0.0,39.70244140625,False
pi4,LogisticRegression(max_iter=100000),0.99,0.09,6.07,pi3,0.0,0.9844800827728919,0.9844800827728919,33.25,0.0,39.70244140625,False
