model_node,model,score,test_node,discrepancy,method,std,experiment,threshold
pi2,"SVR(C=0.1, kernel='linear')",0.9866960441661993,pi4,0.06903006106154452,MMD OCSVM Verify,True,1,0.89
pi4,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.9184434609900944,pi2,0.06115022058791597,MMD OCSVM Verify,True,1,0.64
pi2,LinearRegression(),0.9866985723503288,pi4,0.06916780166400482,MMD OCSVM Verify,True,1,0.89
pi4,LinearRegression(),0.9215660522733565,pi2,0.06133899967274692,MMD OCSVM Verify,True,1,0.64
pi3,"SVR(C=10, epsilon=1)",0.42182219351460315,pi5,0.6525080944473074,MMD,False,2,29.17
pi5,"SVR(C=10, epsilon=0.2)",0.8610163200197791,pi3,0.9150305899079689,MMD,False,2,29.17
pi3,"SVR(C=100, epsilon=1, kernel='linear')",0.31408258564636715,pi5,0.2664206812290397,MMD,False,2,29.17
pi5,"SVR(C=10, epsilon=0.5, kernel='linear')",0.7671284551670547,pi3,0.7478195886411808,MMD,False,2,29.17
pi3,LinearRegression(),0.3505470804605537,pi5,0.42535444880871776,MMD,False,2,29.17
pi5,LinearRegression(),0.769330041496998,pi3,0.7281877285313636,MMD,False,2,29.17
pi3,"SVR(C=1, epsilon=0.5)",0.47263148200442207,pi5,2.861370965266814,MMD,True,2,29.17
pi5,"SVR(C=1, epsilon=0.01)",0.8564880116062004,pi3,0.9198214489652949,MMD,True,2,29.17
pi3,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.32218162509527315,pi5,0.21981737927424194,MMD,True,2,29.17
pi5,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.7680865585349574,pi3,0.7715434720837104,MMD,True,2,29.17
pi3,LinearRegression(),0.3505470933204332,pi5,0.4253576214459974,MMD,True,2,29.17
pi5,LinearRegression(),0.7693297321820187,pi3,0.7281880725852111,MMD,True,2,29.17
pi2,"SVR(C=100, epsilon=0.2)",0.8347762719442422,pi4,0.5370095643430586,OCSVM,False,2,0.84
pi2,"SVR(C=100, epsilon=0.2)",0.8347762719442422,pi5,34.78181838615025,OCSVM,False,2,0.0
pi4,"SVR(C=100, epsilon=1)",0.5431358467443405,pi2,5.067843170044089,OCSVM,False,2,0.46
pi4,"SVR(C=100, epsilon=1)",0.5431358467443405,pi3,9.964122653332069,OCSVM,False,2,0.08
pi4,"SVR(C=100, epsilon=1)",0.5431358467443405,pi5,15.750207288194916,OCSVM,False,2,0.07
pi5,"SVR(C=10, epsilon=0.2)",0.8610163200197791,pi2,19.03661733799707,OCSVM,False,2,0.9
pi5,"SVR(C=10, epsilon=0.2)",0.8610163200197791,pi3,0.9150305899079689,OCSVM,False,2,1.0
pi5,"SVR(C=10, epsilon=0.2)",0.8610163200197791,pi4,3.7908705771905904,OCSVM,False,2,0.84
pi3,"SVR(C=10, epsilon=1)",0.42182219351460315,pi4,4.702558280972212,OCSVM,False,2,0.87
pi3,"SVR(C=10, epsilon=1)",0.42182219351460315,pi5,0.6525080944473074,OCSVM,False,2,0.55
pi2,"SVR(C=100, epsilon=0.5, kernel='linear')",0.7981194329734841,pi4,0.7578050938042915,OCSVM,False,2,0.84
pi2,"SVR(C=100, epsilon=0.5, kernel='linear')",0.7981194329734841,pi5,34.11563559864873,OCSVM,False,2,0.0
pi4,SVR(kernel='linear'),0.058242105845640935,pi2,0.912781299141214,OCSVM,False,2,0.46
pi4,SVR(kernel='linear'),0.058242105845640935,pi3,7.852498293984888,OCSVM,False,2,0.08
pi4,SVR(kernel='linear'),0.058242105845640935,pi5,17.146949366769007,OCSVM,False,2,0.07
pi5,"SVR(C=10, epsilon=0.5, kernel='linear')",0.7671284551670547,pi2,18.86353555463893,OCSVM,False,2,0.9
pi5,"SVR(C=10, epsilon=0.5, kernel='linear')",0.7671284551670547,pi3,0.7478195886411808,OCSVM,False,2,1.0
pi5,"SVR(C=10, epsilon=0.5, kernel='linear')",0.7671284551670547,pi4,3.597568242868192,OCSVM,False,2,0.84
pi3,"SVR(C=100, epsilon=1, kernel='linear')",0.31408258564636715,pi4,4.352882658087197,OCSVM,False,2,0.87
pi3,"SVR(C=100, epsilon=1, kernel='linear')",0.31408258564636715,pi5,0.2664206812290397,OCSVM,False,2,0.55
pi2,LinearRegression(),0.8063677829603425,pi4,0.7992463908416606,OCSVM,False,2,0.84
pi2,LinearRegression(),0.8063677829603425,pi5,35.245376789957575,OCSVM,False,2,0.0
pi4,LinearRegression(),0.07911031106428867,pi2,0.4406954560395683,OCSVM,False,2,0.46
pi4,LinearRegression(),0.07911031106428867,pi3,8.708683744527809,OCSVM,False,2,0.08
pi4,LinearRegression(),0.07911031106428867,pi5,26.364461462385606,OCSVM,False,2,0.07
pi5,LinearRegression(),0.769330041496998,pi2,18.664794753550957,OCSVM,False,2,0.9
pi5,LinearRegression(),0.769330041496998,pi3,0.7281877285313636,OCSVM,False,2,1.0
pi5,LinearRegression(),0.769330041496998,pi4,3.6419873096570172,OCSVM,False,2,0.84
pi3,LinearRegression(),0.3505470804605537,pi4,4.732488729866738,OCSVM,False,2,0.87
pi3,LinearRegression(),0.3505470804605537,pi5,0.42535444880871776,OCSVM,False,2,0.55
pi2,SVR(C=10),0.8327139006245338,pi4,0.5685176498476933,OCSVM,True,2,0.84
pi2,SVR(C=10),0.8327139006245338,pi5,35.565150952650846,OCSVM,True,2,0.0
pi4,"SVR(C=10, epsilon=0.2)",0.5455643955246237,pi2,5.3118203964222745,OCSVM,True,2,0.46
pi4,"SVR(C=10, epsilon=0.2)",0.5455643955246237,pi3,9.471539517081425,OCSVM,True,2,0.08
pi4,"SVR(C=10, epsilon=0.2)",0.5455643955246237,pi5,13.12394129590557,OCSVM,True,2,0.07
pi5,"SVR(C=1, epsilon=0.01)",0.8564880116062004,pi2,18.961373801941562,OCSVM,True,2,0.9
pi5,"SVR(C=1, epsilon=0.01)",0.8564880116062004,pi3,0.9198214489652949,OCSVM,True,2,1.0
pi5,"SVR(C=1, epsilon=0.01)",0.8564880116062004,pi4,3.819146678743632,OCSVM,True,2,0.84
pi3,"SVR(C=1, epsilon=0.5)",0.47263148200442207,pi4,4.529523665232313,OCSVM,True,2,0.87
pi3,"SVR(C=1, epsilon=0.5)",0.47263148200442207,pi5,2.861370965266814,OCSVM,True,2,0.55
pi2,"SVR(C=0.1, kernel='linear')",0.8025280863115218,pi4,0.7711827625918569,OCSVM,True,2,0.84
pi2,"SVR(C=0.1, kernel='linear')",0.8025280863115218,pi5,34.884022586624276,OCSVM,True,2,0.0
pi4,SVR(kernel='linear'),0.06273452928557921,pi2,0.14338286876692408,OCSVM,True,2,0.46
pi4,SVR(kernel='linear'),0.06273452928557921,pi3,7.622596694490955,OCSVM,True,2,0.08
pi4,SVR(kernel='linear'),0.06273452928557921,pi5,20.85063519339723,OCSVM,True,2,0.07
pi5,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.7680865585349574,pi2,18.597695779824985,OCSVM,True,2,0.9
pi5,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.7680865585349574,pi3,0.7715434720837104,OCSVM,True,2,1.0
pi5,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.7680865585349574,pi4,3.5508800642220084,OCSVM,True,2,0.84
pi3,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.32218162509527315,pi4,4.4044035920696,OCSVM,True,2,0.87
pi3,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.32218162509527315,pi5,0.21981737927424194,OCSVM,True,2,0.55
pi2,LinearRegression(),0.8063677260870865,pi4,0.7992466023906852,OCSVM,True,2,0.84
pi2,LinearRegression(),0.8063677260870865,pi5,35.245384346160726,OCSVM,True,2,0.0
pi4,LinearRegression(),0.0791102710703423,pi2,0.4406944478602448,OCSVM,True,2,0.46
pi4,LinearRegression(),0.0791102710703423,pi3,8.70867917509188,OCSVM,True,2,0.08
pi4,LinearRegression(),0.0791102710703423,pi5,26.364442954800623,OCSVM,True,2,0.07
pi5,LinearRegression(),0.7693297321820187,pi2,18.66478643587579,OCSVM,True,2,0.9
pi5,LinearRegression(),0.7693297321820187,pi3,0.7281880725852111,OCSVM,True,2,1.0
pi5,LinearRegression(),0.7693297321820187,pi4,3.641986146222173,OCSVM,True,2,0.84
pi3,LinearRegression(),0.3505470933204332,pi4,4.732491411764992,OCSVM,True,2,0.87
pi3,LinearRegression(),0.3505470933204332,pi5,0.4253576214459974,OCSVM,True,2,0.55
pi5,"SVR(C=10, epsilon=0.2)",0.8610163200197791,pi3,0.9150305899079689,MMD OCSVM Verify,False,2,1.0
pi3,"SVR(C=10, epsilon=1)",0.42182219351460315,pi5,0.6525080944473074,MMD OCSVM Verify,False,2,0.55
pi5,"SVR(C=10, epsilon=0.5, kernel='linear')",0.7671284551670547,pi3,0.7478195886411808,MMD OCSVM Verify,False,2,1.0
pi3,"SVR(C=100, epsilon=1, kernel='linear')",0.31408258564636715,pi5,0.2664206812290397,MMD OCSVM Verify,False,2,0.55
pi5,LinearRegression(),0.769330041496998,pi3,0.7281877285313636,MMD OCSVM Verify,False,2,1.0
pi3,LinearRegression(),0.3505470804605537,pi5,0.42535444880871776,MMD OCSVM Verify,False,2,0.55
pi5,"SVR(C=1, epsilon=0.01)",0.8564880116062004,pi3,0.9198214489652949,MMD OCSVM Verify,True,2,1.0
pi3,"SVR(C=1, epsilon=0.5)",0.47263148200442207,pi5,2.861370965266814,MMD OCSVM Verify,True,2,0.55
pi5,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.7680865585349574,pi3,0.7715434720837104,MMD OCSVM Verify,True,2,1.0
pi3,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.32218162509527315,pi5,0.21981737927424194,MMD OCSVM Verify,True,2,0.55
pi5,LinearRegression(),0.7693297321820187,pi3,0.7281880725852111,MMD OCSVM Verify,True,2,1.0
pi3,LinearRegression(),0.3505470933204332,pi5,0.4253576214459974,MMD OCSVM Verify,True,2,0.55
pi3,SVR(),0.03325262153348596,pi4,0.11679411151030739,MMD,False,3,34.95
pi4,"SVR(C=10, epsilon=0.5)",0.9856059923848057,pi3,1.5542804287514411,MMD,False,3,34.95
pi3,SVR(kernel='linear'),0.013613283460391368,pi4,0.15917185716858828,MMD,False,3,34.95
pi4,SVR(kernel='linear'),0.9834988012378173,pi3,3.474227642115562,MMD,False,3,34.95
pi3,LinearRegression(),0.014173364619635476,pi4,0.21255311167499613,MMD,False,3,34.95
pi4,LinearRegression(normalize=True),0.9841202612941667,pi3,3.135113717023878,MMD,False,3,34.95
pi3,"SVR(C=10, epsilon=0.01)",0.024261529124935066,pi4,0.10689312482506996,MMD,True,3,34.95
pi4,SVR(),0.9858287022504766,pi3,1.4497792229576427,MMD,True,3,34.95
pi3,"SVR(C=0.01, epsilon=0, kernel='linear')",0.0003223384711554811,pi4,0.0756202939400612,MMD,True,3,34.95
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.9841074495258653,pi3,3.1773740305060962,MMD,True,3,34.95
pi3,LinearRegression(),0.01417350505827153,pi4,0.21255294398593316,MMD,True,3,34.95
pi4,LinearRegression(),0.9841202593525656,pi3,3.1351191877756692,MMD,True,3,34.95
pi2,"SVR(C=1, epsilon=0.2)",0.9401034507892247,pi4,2.8788627149194324,OCSVM,False,3,0.46
pi4,"SVR(C=10, epsilon=0.5)",0.9856059923848057,pi2,1.2897252373112968,OCSVM,False,3,0.32
pi4,"SVR(C=10, epsilon=0.5)",0.9856059923848057,pi3,1.5542804287514411,OCSVM,False,3,0.05
pi3,SVR(),0.03325262153348596,pi4,0.11679411151030739,OCSVM,False,3,0.46
pi2,"SVR(C=100, epsilon=0.2, kernel='linear')",0.9358588838630424,pi4,0.036062680058340346,OCSVM,False,3,0.46
pi4,SVR(kernel='linear'),0.9834988012378173,pi2,0.059325759823716795,OCSVM,False,3,0.32
pi4,SVR(kernel='linear'),0.9834988012378173,pi3,3.474227642115562,OCSVM,False,3,0.05
pi3,SVR(kernel='linear'),0.013613283460391368,pi4,0.15917185716858828,OCSVM,False,3,0.46
pi2,LinearRegression(normalize=True),0.9365968570080134,pi4,0.008267184720119114,OCSVM,False,3,0.46
pi4,LinearRegression(normalize=True),0.9841202612941667,pi2,0.06760682988929911,OCSVM,False,3,0.32
pi4,LinearRegression(normalize=True),0.9841202612941667,pi3,3.135113717023878,OCSVM,False,3,0.05
pi3,LinearRegression(),0.014173364619635476,pi4,0.21255311167499613,OCSVM,False,3,0.46
pi2,SVR(),0.944268307401644,pi4,3.0003722090625127,OCSVM,True,3,0.46
pi4,SVR(),0.9858287022504766,pi2,1.1500737078474792,OCSVM,True,3,0.32
pi4,SVR(),0.9858287022504766,pi3,1.4497792229576427,OCSVM,True,3,0.05
pi3,"SVR(C=10, epsilon=0.01)",0.024261529124935066,pi4,0.10689312482506996,OCSVM,True,3,0.46
pi2,"SVR(C=1, epsilon=0.01, kernel='linear')",0.934380593942247,pi4,0.004954288981735111,OCSVM,True,3,0.46
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.9841074495258653,pi2,0.06833073847263238,OCSVM,True,3,0.32
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.9841074495258653,pi3,3.1773740305060962,OCSVM,True,3,0.05
pi3,"SVR(C=0.01, epsilon=0, kernel='linear')",0.0003223384711554811,pi4,0.0756202939400612,OCSVM,True,3,0.46
pi2,LinearRegression(),0.9365968915328091,pi4,0.008267345509164414,OCSVM,True,3,0.46
pi4,LinearRegression(),0.9841202593525656,pi2,0.06760662387681327,OCSVM,True,3,0.32
pi4,LinearRegression(),0.9841202593525656,pi3,3.1351191877756692,OCSVM,True,3,0.05
pi3,LinearRegression(),0.01417350505827153,pi4,0.21255294398593316,OCSVM,True,3,0.46
pi4,"SVR(C=10, epsilon=0.5)",0.9856059923848057,pi3,1.5542804287514411,MMD OCSVM Verify,False,3,0.05
pi3,SVR(),0.03325262153348596,pi4,0.11679411151030739,MMD OCSVM Verify,False,3,0.46
pi4,SVR(kernel='linear'),0.9834988012378173,pi3,3.474227642115562,MMD OCSVM Verify,False,3,0.05
pi3,SVR(kernel='linear'),0.013613283460391368,pi4,0.15917185716858828,MMD OCSVM Verify,False,3,0.46
pi4,LinearRegression(normalize=True),0.9841202612941667,pi3,3.135113717023878,MMD OCSVM Verify,False,3,0.05
pi3,LinearRegression(),0.014173364619635476,pi4,0.21255311167499613,MMD OCSVM Verify,False,3,0.46
pi4,SVR(),0.9858287022504766,pi3,1.4497792229576427,MMD OCSVM Verify,True,3,0.05
pi3,"SVR(C=10, epsilon=0.01)",0.024261529124935066,pi4,0.10689312482506996,MMD OCSVM Verify,True,3,0.46
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.9841074495258653,pi3,3.1773740305060962,MMD OCSVM Verify,True,3,0.05
pi3,"SVR(C=0.01, epsilon=0, kernel='linear')",0.0003223384711554811,pi4,0.0756202939400612,MMD OCSVM Verify,True,3,0.46
pi4,LinearRegression(),0.9841202593525656,pi3,3.1351191877756692,MMD OCSVM Verify,True,3,0.05
pi3,LinearRegression(),0.01417350505827153,pi4,0.21255294398593316,MMD OCSVM Verify,True,3,0.46
