model_node,model,score,test_node,discrepancy,method,std,experiment,threshold
pi2,"SVR(C=100, epsilon=0.2)",0.99016891771704,pi4,0.12454998628438829,MMD,False,1,5.92
pi4,"SVR(C=100, epsilon=1)",0.9642669080114747,pi2,0.05891738369067534,MMD,False,1,5.92
pi2,"SVR(C=100, epsilon=0.5, kernel='linear')",0.9862498825844557,pi4,0.07286046619012754,MMD,False,1,5.92
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.9123490482286168,pi2,0.06388026455221396,MMD,False,1,5.92
pi2,LinearRegression(normalize=True),0.9863751050334966,pi4,0.0734226059415467,MMD,False,1,5.92
pi4,LinearRegression(),0.917073837373356,pi2,0.06492435700395138,MMD,False,1,5.92
pi2,SVR(C=100),0.9905180141412618,pi4,0.11532892953779839,MMD,True,1,5.92
pi4,"SVR(C=100, epsilon=0.2)",0.9675297015274094,pi2,0.06832677248610419,MMD,True,1,5.92
pi2,SVR(kernel='linear'),0.9862684226836537,pi4,0.07367416744524513,MMD,True,1,5.92
pi4,"SVR(C=10, epsilon=0.2, kernel='linear')",0.9157503008793391,pi2,0.06149232671440552,MMD,True,1,5.92
pi2,LinearRegression(),0.9863751050611937,pi4,0.07342257778237737,MMD,True,1,5.92
pi4,LinearRegression(),0.9170738424174236,pi2,0.06492429051210524,MMD,True,1,5.92
pi2,"SVR(C=100, epsilon=0.2)",0.99016891771704,pi4,0.12454998628438829,OCSVM,False,1,0.89
pi4,"SVR(C=100, epsilon=1)",0.9642669080114747,pi2,0.05891738369067534,OCSVM,False,1,0.64
pi4,"SVR(C=100, epsilon=1)",0.9642669080114747,pi3,0.479813661993335,OCSVM,False,1,0.1
pi3,"SVR(C=100, epsilon=0.2)",0.9754097640641054,pi4,4.147742599046529,OCSVM,False,1,0.69
pi3,"SVR(C=100, epsilon=0.2)",0.9754097640641054,pi5,1.3685738634222848,OCSVM,False,1,1.0
pi5,"SVR(C=100, epsilon=1)",0.41147415604345505,pi3,1.13885875117268,OCSVM,False,1,0.21
pi2,"SVR(C=100, epsilon=0.5, kernel='linear')",0.9862498825844557,pi4,0.07286046619012754,OCSVM,False,1,0.89
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.9123490482286168,pi2,0.06388026455221396,OCSVM,False,1,0.64
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.9123490482286168,pi3,0.10712294470004724,OCSVM,False,1,0.1
pi3,"SVR(C=100, epsilon=1, kernel='linear')",0.9226055836367811,pi4,0.5472474760726067,OCSVM,False,1,0.69
pi3,"SVR(C=100, epsilon=1, kernel='linear')",0.9226055836367811,pi5,1.2450023658823612,OCSVM,False,1,1.0
pi5,"SVR(C=10, epsilon=1, kernel='linear')",0.21600752985923755,pi3,0.30073600942306034,OCSVM,False,1,0.21
pi2,LinearRegression(normalize=True),0.9863751050334966,pi4,0.0734226059415467,OCSVM,False,1,0.89
pi4,LinearRegression(),0.917073837373356,pi2,0.06492435700395138,OCSVM,False,1,0.64
pi4,LinearRegression(),0.917073837373356,pi3,0.2049203542992868,OCSVM,False,1,0.1
pi3,LinearRegression(normalize=True),0.9229522999714075,pi4,0.5956534309504178,OCSVM,False,1,0.69
pi3,LinearRegression(normalize=True),0.9229522999714075,pi5,1.278964687472665,OCSVM,False,1,1.0
pi5,LinearRegression(),0.3410896208720451,pi3,0.05841018820626753,OCSVM,False,1,0.21
pi2,SVR(C=100),0.9905180141412618,pi4,0.11532892953779839,OCSVM,True,1,0.89
pi4,"SVR(C=100, epsilon=0.2)",0.9675297015274094,pi2,0.06832677248610419,OCSVM,True,1,0.64
pi4,"SVR(C=100, epsilon=0.2)",0.9675297015274094,pi3,0.30619036123985555,OCSVM,True,1,0.1
pi3,SVR(),0.9755488611814714,pi4,3.7687136659785403,OCSVM,True,1,0.69
pi3,SVR(),0.9755488611814714,pi5,1.2597938825765334,OCSVM,True,1,1.0
pi5,"SVR(C=100, epsilon=0.5)",0.47542839530838443,pi3,0.3705723616758826,OCSVM,True,1,0.21
pi2,SVR(kernel='linear'),0.9862684226836537,pi4,0.07367416744524513,OCSVM,True,1,0.89
pi4,"SVR(C=10, epsilon=0.2, kernel='linear')",0.9157503008793391,pi2,0.06149232671440552,OCSVM,True,1,0.64
pi4,"SVR(C=10, epsilon=0.2, kernel='linear')",0.9157503008793391,pi3,0.15675227170193973,OCSVM,True,1,0.1
pi3,SVR(kernel='linear'),0.9219406809428368,pi4,0.5633378791756126,OCSVM,True,1,0.69
pi3,SVR(kernel='linear'),0.9219406809428368,pi5,1.29158460369129,OCSVM,True,1,1.0
pi5,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.34005763450503024,pi3,0.09984358061150078,OCSVM,True,1,0.21
pi2,LinearRegression(),0.9863751050611937,pi4,0.07342257778237737,OCSVM,True,1,0.89
pi4,LinearRegression(),0.9170738424174236,pi2,0.06492429051210524,OCSVM,True,1,0.64
pi4,LinearRegression(),0.9170738424174236,pi3,0.20492068645571448,OCSVM,True,1,0.1
pi3,LinearRegression(),0.9229523005582575,pi4,0.5956525769331882,OCSVM,True,1,0.69
pi3,LinearRegression(),0.9229523005582575,pi5,1.2789636991633007,OCSVM,True,1,1.0
pi5,LinearRegression(),0.3410896165952261,pi3,0.0584097472486057,OCSVM,True,1,0.21
pi2,"SVR(C=100, epsilon=0.2)",0.99016891771704,pi4,0.12454998628438829,MMD OCSVM Verify,False,1,0.89
pi4,"SVR(C=100, epsilon=1)",0.9642669080114747,pi2,0.05891738369067534,MMD OCSVM Verify,False,1,0.64
pi2,"SVR(C=100, epsilon=0.5, kernel='linear')",0.9862498825844557,pi4,0.07286046619012754,MMD OCSVM Verify,False,1,0.89
