model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.99,0.11,1.44,pi3,0.07,0.9192670609334493,0.9789867467759952,0.04,0.76,rbf,1,True,0.05463639895121256
pi3,SVR(),0.98,0.14,1.84,pi2,0.05,0.9313949345674175,0.9914782639358503,0.04,0.64,rbf,1,True,0.05463639895121256
pi3,SVR(),0.98,0.14,1.84,pi4,0.06,0.9172701916086067,0.961148827697956,0.04,0.32,rbf,1,True,0.05463639895121256
pi4,SVR(),0.96,0.1,1.67,pi3,0.01,0.9495175740700516,0.9789867467759952,0.04,0.97,rbf,1,True,0.05463639895121256
pi2,SVR(kernel='linear'),0.99,0.06,1.3,pi3,0.07,0.9227765724379626,0.9223050072610509,0.04,0.76,linear,1,True,0.05463639895121256
pi3,"SVR(C=0.1, kernel='linear')",0.92,0.08,1.64,pi2,0.07,0.9877459073977258,0.988356577205855,0.04,0.64,linear,1,True,0.05463639895121256
pi3,"SVR(C=0.1, kernel='linear')",0.92,0.08,1.64,pi4,0.0,0.9271005258288296,0.9206264309857033,0.04,0.32,linear,1,True,0.05463639895121256
pi4,SVR(kernel='linear'),0.92,0.08,1.62,pi3,0.01,0.9139215453046122,0.9223050072610509,0.04,0.97,linear,1,True,0.05463639895121256
pi2,"SVR(C=1, epsilon=0.5)",0.31,0.02,1.34,pi3,0.11,0.42124980526003,0.6497790741833644,0.03,0.31,rbf,2,True,0.04868976275126139
pi3,"SVR(C=1, epsilon=0.5)",0.65,0.03,1.76,pi2,0.35,0.30463112911200074,0.30975044701578736,0.03,0.8,rbf,2,True,0.04868976275126139
pi2,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.23,0.01,1.47,pi3,0.22,0.4480701549572105,0.4948323581742936,0.03,0.31,linear,2,True,0.04868976275126139
pi3,"SVR(C=10, epsilon=0.5, kernel='linear')",0.49,0.05,1.56,pi2,0.3,0.19937309729103625,0.22788326565952344,0.03,0.8,linear,2,True,0.04868976275126139
pi2,SVR(C=10),0.96,0.04,0.83,pi4,0.02,0.9812293928652005,0.9872334050820832,0.01,0.95,rbf,3,True,0.019900470972061157
pi4,SVR(C=10),0.99,0.02,0.7,pi2,0.03,0.9573035263507537,0.9623691769621907,0.01,0.77,rbf,3,True,0.019900470972061157
pi2,"SVR(C=0.1, kernel='linear')",0.96,0.01,0.65,pi4,0.02,0.983502630202022,0.9837388818039793,0.01,0.95,linear,3,True,0.019900470972061157
pi4,SVR(kernel='linear'),0.98,0.01,0.63,pi2,0.02,0.9612521068467725,0.9611495754827213,0.01,0.77,linear,3,True,0.019900470972061157
