model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.99,0.03,0.62,pi3,0.05,0.9392097270683964,0.9802430542987989,0.04,0.81,rbf,1,True,0.05823636054992676
pi2,SVR(C=10),0.99,0.03,0.62,pi4,0.1,0.8923521721636192,0.9586552632107116,0.06,0.65,rbf,1,True,0.05823636054992676
pi3,SVR(C=10),0.98,0.04,0.57,pi2,0.03,0.946376481848279,0.9910699355685757,0.04,0.62,rbf,1,True,0.05823636054992676
pi4,SVR(C=10),0.96,0.04,0.53,pi2,0.03,0.9335807667247009,0.9910699355685757,0.06,0.86,rbf,1,True,0.05823636054992676
pi2,"SVR(C=10, kernel='linear')",0.99,0.05,0.57,pi3,0.04,0.9429042651977334,0.9471089168907967,0.04,0.81,linear,1,True,0.05823636054992676
pi2,"SVR(C=10, kernel='linear')",0.99,0.05,0.57,pi4,0.07,0.9147261159013362,0.903429497759764,0.06,0.65,linear,1,True,0.05823636054992676
pi3,SVR(kernel='linear'),0.95,0.03,0.53,pi2,0.04,0.983217409668057,0.987827913645067,0.04,0.62,linear,1,True,0.05823636054992676
pi4,"SVR(C=10, kernel='linear')",0.9,0.05,0.57,pi2,0.07,0.9761837650614894,0.987827913645067,0.06,0.86,linear,1,True,0.05823636054992676
pi2,"SVR(C=1, epsilon=0.5)",0.32,0.01,0.71,pi3,0.09,0.41563809536108154,0.6290170337215546,0.03,0.32,rbf,2,True,0.03539681434631348
pi3,"SVR(C=1, epsilon=0.5)",0.63,0.03,1.17,pi2,0.29,0.34154004594081233,0.3211919371110544,0.03,0.76,rbf,2,True,0.03539681434631348
pi3,"SVR(C=1, epsilon=0.5)",0.63,0.03,1.17,pi5,0.49,0.1391711040189767,0.4143961197043179,0.03,0.77,rbf,2,True,0.03539681434631348
pi5,SVR(),0.41,0.06,0.65,pi3,0.11,0.5274475403736893,0.6290170337215546,0.03,0.78,rbf,2,True,0.03539681434631348
pi2,"SVR(C=1, epsilon=0.5, kernel='linear')",0.24,0.01,0.82,pi3,0.22,0.45489143044527325,0.5001071715019081,0.03,0.32,linear,2,True,0.03539681434631348
pi3,"SVR(C=1, epsilon=0.5, kernel='linear')",0.5,0.01,0.77,pi2,0.29,0.2092507293417405,0.2365582920915239,0.03,0.76,linear,2,True,0.03539681434631348
pi3,"SVR(C=1, epsilon=0.5, kernel='linear')",0.5,0.01,0.77,pi5,0.17,0.3334798845516358,0.36175355062914527,0.03,0.77,linear,2,True,0.03539681434631348
pi5,"SVR(C=0.1, kernel='linear')",0.36,0.02,1.0,pi3,0.13,0.49221727271125815,0.5001071715019081,0.03,0.78,linear,2,True,0.03539681434631348
pi2,SVR(),0.97,0.01,0.42,pi4,0.01,0.976751695367728,0.9865770210326279,0.02,0.96,rbf,3,True,0.01869538426399231
pi4,SVR(),0.99,0.01,0.3,pi2,0.03,0.9607875068375727,0.9679334523603087,0.02,0.83,rbf,3,True,0.01869538426399231
pi2,SVR(kernel='linear'),0.97,0.01,0.28,pi4,0.02,0.9828205262209937,0.9827473854303554,0.02,0.96,linear,3,True,0.01869538426399231
pi4,"SVR(C=10, kernel='linear')",0.98,0.02,0.3,pi2,0.01,0.9687555877715495,0.9673347888509991,0.02,0.83,linear,3,True,0.01869538426399231
