model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.99,0.1,1.49,pi3,0.06,0.9334584002485229,0.9827110032297973,0.03,0.8,rbf,1,True,0.05150864521662394
pi3,SVR(),0.98,0.1,1.66,pi2,0.03,0.951694829280095,0.9922641707246889,0.03,0.72,rbf,1,True,0.05150864521662394
pi2,SVR(kernel='linear'),0.99,0.08,1.5,pi3,0.05,0.9427930579419402,0.946816379069973,0.03,0.8,linear,1,True,0.05150864521662394
pi3,SVR(kernel='linear'),0.95,0.08,1.6,pi2,0.04,0.9842565964906398,0.9890004411949329,0.03,0.72,linear,1,True,0.05150864521662394
pi2,SVR(C=10),0.34,0.08,1.18,pi3,0.02,0.36161826050733736,0.63006839640904,0.03,0.39,rbf,2,True,0.03717895348866781
pi3,"SVR(C=10, epsilon=0.5)",0.63,0.05,1.38,pi2,0.61,0.01567160172880877,0.34033508218519226,0.03,0.82,rbf,2,True,0.03717895348866781
pi3,"SVR(C=10, epsilon=0.5)",0.63,0.05,1.38,pi5,0.14,0.4874816708797397,0.5491541730797149,0.03,0.82,rbf,2,True,0.03717895348866781
pi5,SVR(),0.55,0.06,1.31,pi3,0.01,0.5612425210567282,0.63006839640904,0.03,0.9,rbf,2,True,0.03717895348866781
pi2,SVR(kernel='linear'),0.29,0.07,2.01,pi3,0.06,0.3537228482273307,0.5395833811790381,0.03,0.39,linear,2,True,0.03717895348866781
pi3,"SVR(C=1, epsilon=0.5, kernel='linear')",0.54,0.02,1.35,pi2,0.39,0.14695546796027026,0.29495627370329436,0.03,0.82,linear,2,True,0.03717895348866781
pi3,"SVR(C=1, epsilon=0.5, kernel='linear')",0.54,0.02,1.35,pi5,0.05,0.4927453630962927,0.48994115500748725,0.03,0.82,linear,2,True,0.03717895348866781
pi5,SVR(kernel='linear'),0.49,0.06,1.56,pi3,0.05,0.5397422555964245,0.5395833811790381,0.03,0.9,linear,2,True,0.03717895348866781
pi2,SVR(C=10),0.96,0.03,0.85,pi4,0.01,0.9716968385706107,0.9879595097519195,0.01,0.97,rbf,3,True,0.014082133769989014
pi4,SVR(C=10),0.99,0.03,0.84,pi2,0.03,0.956898386522184,0.9597087257458853,0.01,0.82,rbf,3,True,0.014082133769989014
pi2,SVR(kernel='linear'),0.96,0.01,0.7,pi4,0.03,0.9839992194151181,0.9842912102782507,0.01,0.97,linear,3,True,0.014082133769989014
pi4,SVR(kernel='linear'),0.98,0.02,0.78,pi2,0.03,0.9586764112438031,0.9576641703281032,0.01,0.82,linear,3,True,0.014082133769989014
