model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.99,0.04,0.57,pi3,0.08,0.9118237535133354,0.9797887636373747,0.04,0.73,rbf,1,True,0.05256160100301107
pi3,SVR(),0.98,0.03,0.76,pi2,0.05,0.9284028767820279,0.9929744800425778,0.04,0.68,rbf,1,True,0.05256160100301107
pi3,SVR(),0.98,0.03,0.76,pi4,0.11,0.8711550614671708,0.9609493534079356,0.04,0.32,rbf,1,True,0.05256160100301107
pi4,SVR(C=10),0.96,0.04,0.66,pi3,0.02,0.9458248140789265,0.9797887636373747,0.04,0.93,rbf,1,True,0.05256160100301107
pi2,SVR(kernel='linear'),0.99,0.02,0.49,pi3,0.07,0.9206504997701341,0.9199032463422707,0.04,0.73,linear,1,True,0.05256160100301107
pi3,SVR(kernel='linear'),0.92,0.03,0.53,pi2,0.07,0.9896092553072591,0.9905497484222209,0.04,0.68,linear,1,True,0.05256160100301107
pi3,SVR(kernel='linear'),0.92,0.03,0.53,pi4,0.0,0.9174355523112205,0.91164492028623,0.04,0.32,linear,1,True,0.05256160100301107
pi4,SVR(kernel='linear'),0.91,0.03,0.69,pi3,0.0,0.9149104930898144,0.9199032463422707,0.04,0.93,linear,1,True,0.05256160100301107
pi2,"SVR(C=0.1, epsilon=0.5)",0.31,0.01,0.86,pi3,0.1,0.4121684499617021,0.7016814818364838,0.02,0.35,rbf,2,True,0.041869938373565674
pi2,"SVR(C=0.1, epsilon=0.5)",0.31,0.01,0.86,pi4,0.62,-0.315019597891933,0.355995263525395,0.04,0.21,rbf,2,True,0.041869938373565674
pi3,"SVR(C=10, epsilon=0.5)",0.7,0.03,0.98,pi2,0.58,0.12640768911413613,0.3083881884311732,0.02,0.75,rbf,2,True,0.041869938373565674
pi3,"SVR(C=10, epsilon=0.5)",0.7,0.03,0.98,pi5,0.43,0.2676889668254415,0.9227217435371227,0.04,0.81,rbf,2,True,0.041869938373565674
pi4,"SVR(C=1, epsilon=0.5)",0.36,0.03,0.87,pi2,0.74,-0.3845321128198478,0.3083881884311732,0.04,0.63,rbf,2,True,0.041869938373565674
pi5,SVR(C=10),0.92,0.04,0.58,pi3,0.4,0.5230363121120103,0.7016814818364838,0.04,0.87,rbf,2,True,0.041869938373565674
pi2,"SVR(C=1, epsilon=0.5, kernel='linear')",0.25,0.01,0.76,pi3,0.16,0.4057772598877436,0.47499169032737243,0.02,0.35,linear,2,True,0.041869938373565674
pi2,"SVR(C=1, epsilon=0.5, kernel='linear')",0.25,0.01,0.76,pi4,0.42,-0.17351888946972482,-0.02480898759512562,0.04,0.21,linear,2,True,0.041869938373565674
pi3,"SVR(C=1, epsilon=0.5, kernel='linear')",0.47,0.01,0.78,pi2,0.29,0.18093971850978607,0.2450248715710387,0.02,0.75,linear,2,True,0.041869938373565674
pi3,"SVR(C=1, epsilon=0.5, kernel='linear')",0.47,0.01,0.78,pi5,0.35,0.827442574234275,0.8156500715096139,0.04,0.81,linear,2,True,0.041869938373565674
pi4,SVR(kernel='linear'),-0.02,0.02,1.87,pi2,0.17,0.14054564719249618,0.2450248715710387,0.04,0.63,linear,2,True,0.041869938373565674
pi5,"SVR(C=1, epsilon=0.5, kernel='linear')",0.82,0.0,0.5,pi3,0.37,0.4474149792575296,0.47499169032737243,0.04,0.87,linear,2,True,0.041869938373565674
pi2,SVR(C=10),0.97,0.02,0.44,pi4,0.0,0.9688795268347437,0.986231806168888,0.02,0.95,rbf,3,True,0.021439164876937866
pi4,SVR(C=10),0.99,0.01,0.43,pi2,0.03,0.9578993811451254,0.9656472906206479,0.02,0.81,rbf,3,True,0.021439164876937866
pi2,SVR(kernel='linear'),0.96,0.01,0.34,pi4,0.02,0.9808940646018864,0.9801899444352598,0.02,0.95,linear,3,True,0.021439164876937866
pi4,"SVR(C=10, kernel='linear')",0.98,0.01,0.29,pi2,0.02,0.9644644571479987,0.9639198858844469,0.02,0.81,linear,3,True,0.021439164876937866
