model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.99,0.12,1.56,pi3,0.05,0.9393511962136203,0.9813873380199826,0.04,0.82,rbf,1,True,0.051834543546040855
pi3,SVR(C=0.1),0.98,0.11,1.75,pi2,0.03,0.9530669070564655,0.9912877835529652,0.04,0.66,rbf,1,True,0.051834543546040855
pi2,SVR(kernel='linear'),0.99,0.09,1.48,pi3,0.05,0.9429857001284068,0.9466297149309499,0.04,0.82,linear,1,True,0.051834543546040855
pi3,"SVR(C=10, kernel='linear')",0.95,0.17,1.76,pi2,0.03,0.981420409645654,0.9886508643979085,0.04,0.66,linear,1,True,0.051834543546040855
pi2,SVR(),0.81,0.06,1.08,pi3,0.3,0.5073634845561948,0.7729827321542098,0.03,0.32,rbf,2,True,0.03902137279510498
pi3,SVR(),0.77,0.12,1.73,pi2,0.73,0.04602239026331878,0.8111237036289003,0.03,0.85,rbf,2,True,0.03902137279510498
pi2,SVR(kernel='linear'),0.75,0.06,1.58,pi3,0.29,0.45526039662212303,0.6362454741880936,0.03,0.32,linear,2,True,0.03902137279510498
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.64,0.02,1.34,pi2,0.62,0.017978681359976267,0.7450248313797654,0.03,0.85,linear,2,True,0.03902137279510498
pi2,SVR(),0.96,0.04,0.9,pi4,0.02,0.9809135214693436,0.9882258373930772,0.01,0.99,rbf,3,True,0.012705028057098389
pi4,SVR(C=10),0.99,0.02,0.7,pi2,0.03,0.9609374929441982,0.9618763451437915,0.01,0.75,rbf,3,True,0.012705028057098389
pi2,SVR(kernel='linear'),0.96,0.02,0.71,pi4,0.02,0.9831618286768482,0.9850180634248519,0.01,0.99,linear,3,True,0.012705028057098389
pi4,SVR(kernel='linear'),0.99,0.01,0.64,pi2,0.02,0.9651671497821332,0.9648913345151904,0.01,0.75,linear,3,True,0.012705028057098389
