model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.99,0.11,1.37,pi3,0.07,0.9177611692123324,0.9796576588099811,0.04,0.75,rbf,1,True,0.055069684982299805
pi3,SVR(),0.98,0.13,1.84,pi2,0.06,0.9232947435685911,0.9915191225913111,0.04,0.66,rbf,1,True,0.055069684982299805
pi3,SVR(),0.98,0.13,1.84,pi4,0.11,0.8686395726981777,0.9643883279400903,0.05,0.31,rbf,1,True,0.055069684982299805
pi4,SVR(C=10),0.96,0.11,1.5,pi3,0.03,0.9386564773593247,0.9796576588099811,0.05,0.92,rbf,1,True,0.055069684982299805
pi2,SVR(kernel='linear'),0.99,0.06,1.3,pi3,0.06,0.9270702178661214,0.926531518568124,0.04,0.75,linear,1,True,0.055069684982299805
pi3,"SVR(C=10, kernel='linear')",0.93,0.16,1.67,pi2,0.06,0.9848130066206757,0.9877021404963956,0.04,0.66,linear,1,True,0.055069684982299805
pi3,"SVR(C=10, kernel='linear')",0.93,0.16,1.67,pi4,0.02,0.9074114988081069,0.9045530796144426,0.05,0.31,linear,1,True,0.055069684982299805
pi4,SVR(kernel='linear'),0.9,0.07,1.64,pi3,0.02,0.9213554578108609,0.926531518568124,0.05,0.92,linear,1,True,0.055069684982299805
pi2,"SVR(C=0.1, epsilon=0.5)",0.33,0.02,1.61,pi3,0.15,0.48348950053982187,0.8149370645898442,0.03,0.34,rbf,2,True,0.04966092109680176
pi3,SVR(),0.81,0.1,1.5,pi2,0.54,0.2713390891053339,0.33236284922942816,0.03,0.74,rbf,2,True,0.04966092109680176
pi2,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.27,0.01,1.5,pi3,0.34,0.612815263785978,0.6932372582048842,0.03,0.34,linear,2,True,0.04966092109680176
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.69,0.02,1.4,pi2,0.46,0.23002699127500592,0.2714382102126983,0.03,0.74,linear,2,True,0.04966092109680176
pi2,SVR(),0.96,0.05,0.78,pi4,0.02,0.9753084769092218,0.9869224922758244,0.02,0.97,rbf,3,True,0.018708258867263794
pi4,SVR(C=10),0.99,0.03,0.68,pi2,0.04,0.951277198100089,0.9587868604120156,0.02,0.82,rbf,3,True,0.018708258867263794
pi2,SVR(kernel='linear'),0.96,0.02,0.65,pi4,0.02,0.9823714060242504,0.9827129129344628,0.02,0.97,linear,3,True,0.018708258867263794
pi4,"SVR(C=0.1, kernel='linear')",0.98,0.01,0.68,pi2,0.03,0.9572407167411197,0.9587962102202927,0.02,0.82,linear,3,True,0.018708258867263794
