model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.99,0.12,1.63,pi3,0.08,0.9153693551082452,0.9820298255831026,0.03,0.74,rbf,1,True,0.03736414511998495
pi3,SVR(C=0.1),0.98,0.11,2.07,pi2,0.06,0.921342625487255,0.9905462763521508,0.03,0.63,rbf,1,True,0.03736414511998495
pi3,SVR(C=0.1),0.98,0.11,2.07,pi4,0.1,0.8799011332716036,0.9714373606229094,0.03,0.4,rbf,1,True,0.03736414511998495
pi4,SVR(C=10),0.97,0.11,1.39,pi3,0.04,0.9286521215661248,0.9820298255831026,0.03,0.98,rbf,1,True,0.03736414511998495
pi2,"SVR(C=0.1, kernel='linear')",0.99,0.04,1.22,pi3,0.06,0.9276503419700299,0.9265179399552006,0.03,0.74,linear,1,True,0.03736414511998495
pi3,"SVR(C=10, kernel='linear')",0.93,0.18,1.83,pi2,0.06,0.98454902416604,0.9866660768159622,0.03,0.63,linear,1,True,0.03736414511998495
pi3,"SVR(C=10, kernel='linear')",0.93,0.18,1.83,pi4,0.03,0.9566162383305477,0.9565555167465368,0.03,0.4,linear,1,True,0.03736414511998495
pi4,"SVR(C=10, kernel='linear')",0.96,0.12,1.32,pi3,0.04,0.9175724884545408,0.9265179399552006,0.03,0.98,linear,1,True,0.03736414511998495
pi2,"SVR(C=10, epsilon=1)",0.32,0.03,1.56,pi3,0.11,0.42958904899536077,0.6478142486953699,0.03,0.32,rbf,2,True,0.03552591800689697
pi3,"SVR(C=1, epsilon=0.5)",0.65,0.04,1.99,pi2,0.37,0.2823586916209022,0.318706288193512,0.03,0.77,rbf,2,True,0.03552591800689697
pi3,"SVR(C=1, epsilon=0.5)",0.65,0.04,1.99,pi5,0.28,0.3701190053399933,0.8920845362269769,0.03,0.81,rbf,2,True,0.03552591800689697
pi5,SVR(),0.89,0.08,1.47,pi3,0.44,0.4544799808318921,0.6478142486953699,0.03,0.79,rbf,2,True,0.03552591800689697
pi2,"SVR(C=1, epsilon=0.5, kernel='linear')",0.23,0.03,2.08,pi3,0.17,0.4048988194508175,0.48464922830712354,0.03,0.32,linear,2,True,0.03552591800689697
pi3,SVR(kernel='linear'),0.48,0.06,1.6,pi2,0.26,0.2257306039525404,0.23463843771402682,0.03,0.77,linear,2,True,0.03552591800689697
pi3,SVR(kernel='linear'),0.48,0.06,1.6,pi5,0.27,0.756328787391541,0.7703611162688723,0.03,0.81,linear,2,True,0.03552591800689697
pi5,"SVR(C=10, epsilon=0.5, kernel='linear')",0.77,0.05,3.2,pi3,0.31,0.46350824961951564,0.48464922830712354,0.03,0.79,linear,2,True,0.03552591800689697
pi2,SVR(),0.97,0.04,0.85,pi4,0.01,0.9772462071024159,0.9895054018268543,0.01,0.97,rbf,3,True,0.014507949352264404
pi4,SVR(C=10),0.99,0.02,0.67,pi2,0.03,0.9643962599936962,0.967545040241415,0.01,0.85,rbf,3,True,0.014507949352264404
pi2,SVR(kernel='linear'),0.97,0.01,0.69,pi4,0.02,0.9866873448070929,0.9872887913157656,0.01,0.97,linear,3,True,0.014507949352264404
pi4,SVR(kernel='linear'),0.99,0.01,0.59,pi2,0.02,0.9679366698071187,0.968089515795039,0.01,0.85,linear,3,True,0.014507949352264404
