model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.99,0.1,1.41,pi3,0.06,0.9323837940450612,0.9806311292224508,0.04,0.79,rbf,1,True,0.062188426653544106
pi3,SVR(),0.98,0.11,1.5,pi2,0.04,0.938172614238813,0.9920818929286978,0.04,0.65,rbf,1,True,0.062188426653544106
pi2,SVR(kernel='linear'),0.99,0.07,1.35,pi3,0.05,0.9397401098455042,0.9418164566310293,0.04,0.79,linear,1,True,0.062188426653544106
pi3,"SVR(C=10, kernel='linear')",0.94,0.15,1.55,pi2,0.04,0.9855329394673232,0.9883928134880976,0.04,0.65,linear,1,True,0.062188426653544106
pi2,SVR(),0.85,0.08,1.28,pi3,0.64,0.21216776918731473,0.6082670804242442,0.03,0.37,rbf,2,True,0.038712104161580406
pi3,"SVR(C=10, epsilon=0.5)",0.61,0.03,1.5,pi2,1.37,-0.7580345970143114,0.8508476460795283,0.03,0.8,rbf,2,True,0.038712104161580406
pi3,"SVR(C=10, epsilon=0.5)",0.61,0.03,1.5,pi5,0.49,0.12100574332341008,0.3166338790183434,0.03,0.79,rbf,2,True,0.038712104161580406
pi5,"SVR(C=10, epsilon=0.5)",0.32,0.05,1.6,pi3,0.11,0.20678425955208757,0.6082670804242442,0.03,0.9,rbf,2,True,0.038712104161580406
pi2,SVR(kernel='linear'),0.78,0.06,1.15,pi3,0.53,0.25124007897457934,0.4583698409630921,0.03,0.37,linear,2,True,0.038712104161580406
pi3,"SVR(C=10, epsilon=0.5, kernel='linear')",0.46,0.04,1.59,pi2,0.4,0.06258782360105164,0.7842565414529197,0.03,0.8,linear,2,True,0.038712104161580406
pi3,"SVR(C=10, epsilon=0.5, kernel='linear')",0.46,0.04,1.59,pi5,0.23,0.23273118032614326,0.24107313260728158,0.03,0.79,linear,2,True,0.038712104161580406
pi5,"SVR(C=0.01, kernel='linear')",0.24,0.04,2.14,pi3,0.21,0.4486945295959689,0.4583698409630921,0.03,0.9,linear,2,True,0.038712104161580406
pi2,SVR(C=10),0.96,0.04,0.82,pi4,0.02,0.9803782359647651,0.9877297796332064,0.03,0.98,rbf,3,True,0.05016249418258667
pi4,SVR(C=10),0.99,0.02,0.7,pi2,0.04,0.9476986634695514,0.9580253913715218,0.03,0.75,rbf,3,True,0.05016249418258667
pi2,SVR(kernel='linear'),0.96,0.02,0.71,pi4,0.03,0.9833833551258664,0.9838159867006869,0.03,0.98,linear,3,True,0.05016249418258667
pi4,SVR(kernel='linear'),0.98,0.02,0.66,pi2,0.03,0.955681305477394,0.956696197304026,0.03,0.75,linear,3,True,0.05016249418258667
