model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.99,0.1,1.4,pi3,0.08,0.9103510463251417,0.9812366400059852,0.04,0.73,rbf,1,True,0.05092922846476237
pi3,SVR(),0.98,0.13,1.81,pi2,0.06,0.9198758636983434,0.991831159533593,0.04,0.72,rbf,1,True,0.05092922846476237
pi3,SVR(),0.98,0.13,1.81,pi4,0.13,0.8527332470312121,0.9635451918259657,0.04,0.33,rbf,1,True,0.05092922846476237
pi4,SVR(C=10),0.96,0.12,1.62,pi3,0.03,0.9330344718806167,0.9812366400059852,0.04,0.96,rbf,1,True,0.05092922846476237
pi2,SVR(kernel='linear'),0.99,0.07,1.35,pi3,0.06,0.9253983508603958,0.9246770512983462,0.04,0.73,linear,1,True,0.05092922846476237
pi3,"SVR(C=0.1, kernel='linear')",0.92,0.08,1.71,pi2,0.06,0.9872977403686822,0.9882678216945043,0.04,0.72,linear,1,True,0.05092922846476237
pi3,"SVR(C=0.1, kernel='linear')",0.92,0.08,1.71,pi4,0.0,0.9208458731072783,0.9128862844747309,0.04,0.33,linear,1,True,0.05092922846476237
pi4,"SVR(C=10, kernel='linear')",0.91,0.16,1.45,pi3,0.0,0.9157036165753974,0.9246770512983462,0.04,0.96,linear,1,True,0.05092922846476237
pi2,SVR(),0.85,0.07,1.04,pi3,0.67,0.17983263092752733,0.5536546519402281,0.04,0.36,rbf,2,True,0.03869354724884033
pi3,"SVR(C=10, epsilon=0.5)",0.55,0.03,1.42,pi2,0.68,-0.1220915666952418,0.8530629893208375,0.04,0.81,rbf,2,True,0.03869354724884033
pi3,"SVR(C=10, epsilon=0.5)",0.55,0.03,1.42,pi5,0.41,0.14009951369492069,0.33441773824011856,0.02,0.82,rbf,2,True,0.03869354724884033
pi5,"SVR(C=10, epsilon=0.5)",0.33,0.02,1.44,pi3,0.03,0.30558290998882276,0.5536546519402281,0.02,0.89,rbf,2,True,0.03869354724884033
pi2,SVR(kernel='linear'),0.79,0.04,1.13,pi3,0.58,0.21062955933994254,0.41283239871329025,0.04,0.36,linear,2,True,0.03869354724884033
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.41,0.01,1.45,pi2,0.29,0.11828821644272491,0.7857986120671044,0.04,0.81,linear,2,True,0.03869354724884033
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.41,0.01,1.45,pi5,0.18,0.23092203993577487,0.25221773649258694,0.02,0.82,linear,2,True,0.03869354724884033
pi5,"SVR(C=0.01, kernel='linear')",0.25,0.03,1.8,pi3,0.15,0.4039419809508582,0.41283239871329025,0.02,0.89,linear,2,True,0.03869354724884033
pi2,SVR(C=10),0.96,0.03,0.79,pi4,0.02,0.9776321372829235,0.988797525128887,0.01,0.95,rbf,3,True,0.013670235872268677
pi4,SVR(C=10),0.99,0.03,0.73,pi2,0.04,0.9535566764053374,0.9621990215075661,0.01,0.76,rbf,3,True,0.013670235872268677
pi2,"SVR(C=10, kernel='linear')",0.96,0.02,0.63,pi4,0.03,0.9853268087541097,0.9853156773232008,0.01,0.95,linear,3,True,0.013670235872268677
pi4,"SVR(C=0.1, kernel='linear')",0.99,0.01,0.62,pi2,0.03,0.9599287511243465,0.9591564720885187,0.01,0.76,linear,3,True,0.013670235872268677
