model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.99,0.1,1.47,pi3,0.05,0.938782779621653,0.9826570099122184,0.03,0.74,rbf,1,True,0.05362439155578613
pi3,SVR(),0.98,0.12,1.8,pi2,0.05,0.9342333885009025,0.9914738900118195,0.03,0.65,rbf,1,True,0.05362439155578613
pi2,"SVR(C=0.1, kernel='linear')",0.99,0.03,1.37,pi3,0.04,0.9447615993284724,0.9463656861685845,0.03,0.74,linear,1,True,0.05362439155578613
pi3,SVR(kernel='linear'),0.95,0.09,1.8,pi2,0.04,0.9833419461521256,0.9881881914118292,0.03,0.65,linear,1,True,0.05362439155578613
pi2,"SVR(C=1, epsilon=0.5)",0.32,0.02,1.48,pi3,0.09,0.4153211132450405,0.6813586724175467,0.03,0.34,rbf,2,True,0.044934868812561035
pi3,SVR(C=10),0.68,0.14,1.84,pi2,1.03,-0.3532280805365666,0.32080104364179074,0.03,0.78,rbf,2,True,0.044934868812561035
pi3,SVR(C=10),0.68,0.14,1.84,pi5,1.23,-0.5499346952737207,0.9202493204562432,0.04,0.79,rbf,2,True,0.044934868812561035
pi5,SVR(C=10),0.92,0.1,1.25,pi3,0.28,0.6373377794044099,0.6813586724175467,0.04,0.79,rbf,2,True,0.044934868812561035
pi2,"SVR(C=10, epsilon=0.5, kernel='linear')",0.24,0.04,1.55,pi3,0.29,0.5311494804787258,0.5932122551875941,0.03,0.34,linear,2,True,0.044934868812561035
pi3,"SVR(C=1, epsilon=0.5, kernel='linear')",0.59,0.02,1.63,pi2,0.38,0.21016674563742954,0.23941669237616348,0.03,0.78,linear,2,True,0.044934868812561035
pi3,"SVR(C=1, epsilon=0.5, kernel='linear')",0.59,0.02,1.63,pi5,0.23,0.8247821925581978,0.7854929213665756,0.04,0.79,linear,2,True,0.044934868812561035
pi5,SVR(kernel='linear'),0.79,0.07,1.76,pi3,0.2,0.5813631616029716,0.5932122551875941,0.04,0.79,linear,2,True,0.044934868812561035
