model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.99,0.14,1.67,pi3,0.05,0.9393021296529349,0.9855616461593109,0.03,0.75,rbf,1,True,0.04944453636805216
pi3,SVR(),0.99,0.12,1.7,pi2,0.06,0.9273718675817275,0.9913231049589346,0.03,0.66,rbf,1,True,0.04944453636805216
pi2,"SVR(C=10, kernel='linear')",0.99,0.13,1.34,pi3,0.04,0.9475811354920017,0.9497763408997725,0.03,0.75,linear,1,True,0.04944453636805216
pi3,SVR(kernel='linear'),0.95,0.08,1.45,pi2,0.03,0.984247034222663,0.9886427232524186,0.03,0.66,linear,1,True,0.04944453636805216
pi2,SVR(),0.85,0.08,1.05,pi3,0.57,0.28554809269454795,0.6318776783996956,0.03,0.32,rbf,2,True,0.05441590150197347
pi3,"SVR(C=1, epsilon=0.5)",0.63,0.04,1.78,pi2,1.44,-0.8070383786040889,0.8541219375324745,0.03,0.72,rbf,2,True,0.05441590150197347
pi2,"SVR(C=10, kernel='linear')",0.79,0.11,1.09,pi3,0.51,0.28124682753216046,0.4619921830592276,0.03,0.32,linear,2,True,0.05441590150197347
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.46,0.02,1.66,pi2,0.49,-0.030455873354065632,0.7907706789780174,0.03,0.72,linear,2,True,0.05441590150197347
pi2,SVR(C=10),0.96,0.04,0.85,pi4,0.02,0.978684749926796,0.9869553821582848,0.01,0.99,rbf,3,True,0.016018658876419067
pi4,SVR(),0.99,0.02,0.73,pi2,0.04,0.9498667735092332,0.9577035580319169,0.01,0.8,rbf,3,True,0.016018658876419067
pi2,SVR(kernel='linear'),0.96,0.01,0.68,pi4,0.03,0.9839214615315982,0.9837205203347347,0.01,0.99,linear,3,True,0.016018658876419067
pi4,"SVR(C=0.1, kernel='linear')",0.98,0.01,0.71,pi2,0.03,0.9556591328568068,0.9557594004763389,0.01,0.8,linear,3,True,0.016018658876419067
