model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.99,0.1,1.47,pi3,0.06,0.9340014421594602,0.9812544167161826,0.04,0.82,rbf,1,True,0.05769594510396322
pi3,SVR(),0.98,0.11,1.8,pi2,0.05,0.9301813937701081,0.9921760899794783,0.04,0.65,rbf,1,True,0.05769594510396322
pi3,SVR(),0.98,0.11,1.8,pi4,0.13,0.8522443495597205,0.9618615822469322,0.06,0.32,rbf,1,True,0.05769594510396322
pi4,SVR(C=10),0.96,0.18,1.91,pi3,0.03,0.9362421726187432,0.9812544167161826,0.06,0.95,rbf,1,True,0.05769594510396322
pi2,"SVR(C=0.1, kernel='linear')",0.99,0.05,1.44,pi3,0.05,0.9395393888907978,0.9421510540825608,0.04,0.82,linear,1,True,0.05769594510396322
pi3,SVR(kernel='linear'),0.94,0.09,1.65,pi2,0.04,0.9832863474414814,0.9887045870857172,0.04,0.65,linear,1,True,0.05769594510396322
pi3,SVR(kernel='linear'),0.94,0.09,1.65,pi4,0.03,0.9115377155521552,0.9120031146289946,0.06,0.32,linear,1,True,0.05769594510396322
pi4,SVR(kernel='linear'),0.91,0.1,2.27,pi3,0.03,0.9411649232920439,0.9421510540825608,0.06,0.95,linear,1,True,0.05769594510396322
pi2,"SVR(C=10, epsilon=1)",0.33,0.03,1.54,pi3,0.09,0.4145784171949689,0.563810942115431,0.02,0.36,rbf,2,True,0.029739538828531902
pi3,"SVR(C=10, epsilon=0.5)",0.56,0.04,1.57,pi2,0.2,0.3609471848471193,0.328518728283828,0.02,0.79,rbf,2,True,0.029739538828531902
pi3,"SVR(C=10, epsilon=0.5)",0.56,0.04,1.57,pi5,0.27,0.2932693544346421,0.3964778472236279,0.02,0.79,rbf,2,True,0.029739538828531902
pi5,SVR(),0.4,0.08,1.78,pi3,0.01,0.4114367708096447,0.563810942115431,0.02,0.91,rbf,2,True,0.029739538828531902
pi2,"SVR(C=10, epsilon=0.5, kernel='linear')",0.21,0.04,1.99,pi3,0.15,0.35940608853194356,0.4090209323933176,0.02,0.36,linear,2,True,0.029739538828531902
pi3,"SVR(C=10, epsilon=0.5, kernel='linear')",0.41,0.07,1.78,pi2,0.2,0.20839468478640788,0.20858437557945042,0.02,0.79,linear,2,True,0.029739538828531902
pi3,"SVR(C=10, epsilon=0.5, kernel='linear')",0.41,0.07,1.78,pi5,0.07,0.33664850951710024,0.34072561001326407,0.02,0.79,linear,2,True,0.029739538828531902
pi5,"SVR(C=0.01, kernel='linear')",0.34,0.04,1.77,pi3,0.06,0.4021998811584183,0.4090209323933176,0.02,0.91,linear,2,True,0.029739538828531902
pi2,SVR(C=10),0.97,0.04,0.87,pi4,0.01,0.9812404729480896,0.988108280415951,0.02,0.95,rbf,3,True,0.020975440740585327
pi4,SVR(C=10),0.99,0.03,0.79,pi2,0.02,0.9647709414392726,0.9714806313538114,0.02,0.8,rbf,3,True,0.020975440740585327
pi2,"SVR(C=0.1, kernel='linear')",0.97,0.01,0.67,pi4,0.01,0.9841398252161978,0.9837186530042488,0.02,0.95,linear,3,True,0.020975440740585327
pi4,"SVR(C=0.1, kernel='linear')",0.98,0.02,0.88,pi2,0.01,0.9716120538226456,0.9713633590459501,0.02,0.8,linear,3,True,0.020975440740585327
