model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.99,0.11,1.66,pi3,0.07,0.9184870256674011,0.9828282592624157,0.03,0.74,rbf,1,True,0.050465007623036705
pi3,SVR(C=0.1),0.98,0.12,1.95,pi2,0.05,0.9301921482318074,0.9910737256047434,0.03,0.68,rbf,1,True,0.050465007623036705
pi3,SVR(C=0.1),0.98,0.12,1.95,pi4,0.09,0.8956039126564767,0.9561091419036245,0.05,0.33,rbf,1,True,0.050465007623036705
pi4,SVR(C=10),0.96,0.18,1.79,pi3,0.02,0.9381657700318872,0.9828282592624157,0.05,0.98,rbf,1,True,0.050465007623036705
pi2,"SVR(C=10, kernel='linear')",0.99,0.18,1.46,pi3,0.06,0.9306848752122306,0.9290488640562443,0.03,0.74,linear,1,True,0.050465007623036705
pi3,"SVR(C=10, kernel='linear')",0.93,0.16,1.74,pi2,0.05,0.9837542780127534,0.9878001253746167,0.03,0.68,linear,1,True,0.050465007623036705
pi3,"SVR(C=10, kernel='linear')",0.93,0.16,1.74,pi4,0.02,0.9069548559875278,0.9055876981667417,0.05,0.33,linear,1,True,0.050465007623036705
pi4,SVR(kernel='linear'),0.91,0.1,2.52,pi3,0.02,0.9279780172178845,0.9290488640562443,0.05,0.98,linear,1,True,0.050465007623036705
pi2,"SVR(C=1, epsilon=0.5)",0.28,0.02,1.4,pi3,0.01,0.2691451948117426,0.6283739360195486,0.03,0.35,rbf,2,True,0.033629775047302246
pi3,"SVR(C=10, epsilon=0.5)",0.63,0.03,1.56,pi2,0.55,0.0743534946495441,0.27910341617817136,0.03,0.77,rbf,2,True,0.033629775047302246
pi3,"SVR(C=10, epsilon=0.5)",0.63,0.03,1.56,pi5,0.69,-0.06001689881008887,0.4476450023872002,0.02,0.82,rbf,2,True,0.033629775047302246
pi5,SVR(),0.45,0.09,1.54,pi3,0.07,0.3822395247404071,0.6283739360195486,0.02,0.89,rbf,2,True,0.033629775047302246
pi2,"SVR(C=1, epsilon=0.5, kernel='linear')",0.21,0.04,2.29,pi3,0.14,0.348267563145894,0.40361230453502106,0.03,0.35,linear,2,True,0.033629775047302246
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.4,0.01,1.54,pi2,0.2,0.20646350457660745,0.21039898679428548,0.03,0.77,linear,2,True,0.033629775047302246
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.4,0.01,1.54,pi5,0.01,0.3903370760920384,0.39116770773519516,0.02,0.82,linear,2,True,0.033629775047302246
pi5,SVR(kernel='linear'),0.39,0.06,1.73,pi3,0.01,0.39716875950941777,0.40361230453502106,0.02,0.89,linear,2,True,0.033629775047302246
pi2,SVR(C=10),0.96,0.04,0.81,pi4,0.01,0.9766316080512614,0.9914288700291846,0.02,0.92,rbf,3,True,0.023356914520263672
pi4,SVR(C=10),0.99,0.02,0.7,pi2,0.03,0.9585394377030448,0.9642660675330303,0.02,0.82,rbf,3,True,0.023356914520263672
pi2,SVR(kernel='linear'),0.96,0.02,0.71,pi4,0.02,0.9875387702918772,0.9872502287803545,0.02,0.92,linear,3,True,0.023356914520263672
pi4,"SVR(C=0.1, kernel='linear')",0.99,0.01,0.72,pi2,0.02,0.9635051161943058,0.9635722851865557,0.02,0.82,linear,3,True,0.023356914520263672
