model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.99,0.12,1.4,pi3,0.08,0.9091091783343108,0.979449135533907,0.04,0.77,rbf,1,True,0.04866820573806763
pi3,SVR(),0.98,0.14,1.92,pi2,0.05,0.9334096557028666,0.9919003309820934,0.04,0.65,rbf,1,True,0.04866820573806763
pi3,SVR(),0.98,0.14,1.92,pi4,0.06,0.9211432067593454,0.9646498753862267,0.04,0.37,rbf,1,True,0.04866820573806763
pi4,SVR(C=10),0.96,0.14,1.73,pi3,0.02,0.9406991732039537,0.979449135533907,0.04,0.95,rbf,1,True,0.04866820573806763
pi2,"SVR(C=10, kernel='linear')",0.99,0.17,1.5,pi3,0.06,0.9235484082164132,0.9225717355974856,0.04,0.77,linear,1,True,0.04866820573806763
pi3,SVR(kernel='linear'),0.92,0.11,1.75,pi2,0.06,0.9853607093366874,0.9881711271915213,0.04,0.65,linear,1,True,0.04866820573806763
pi3,SVR(kernel='linear'),0.92,0.11,1.75,pi4,0.0,0.9259252670614043,0.9210969078236945,0.04,0.37,linear,1,True,0.04866820573806763
pi4,SVR(kernel='linear'),0.92,0.07,1.81,pi3,0.01,0.9138616259418543,0.9225717355974856,0.04,0.95,linear,1,True,0.04866820573806763
pi2,"SVR(C=1, epsilon=0.5)",0.33,0.03,1.69,pi3,0.0,0.3329915113781552,0.5831715413735097,0.03,0.34,rbf,2,True,0.041813209652900696
pi2,"SVR(C=1, epsilon=0.5)",0.33,0.03,1.69,pi4,0.64,-0.30574706274523167,0.5746478668287529,0.04,0.26,rbf,2,True,0.041813209652900696
pi3,"SVR(C=1, epsilon=0.5)",0.58,0.03,1.81,pi2,0.22,0.36213469040853474,0.33339851923189434,0.03,0.74,rbf,2,True,0.041813209652900696
pi3,"SVR(C=1, epsilon=0.5)",0.58,0.03,1.81,pi5,0.16,0.42705171621919735,0.8928025929102636,0.03,0.83,rbf,2,True,0.041813209652900696
pi4,SVR(C=10),0.57,0.11,2.0,pi2,0.77,-0.19856691931666393,0.33339851923189434,0.04,0.65,rbf,2,True,0.041813209652900696
pi5,SVR(),0.89,0.08,1.23,pi3,0.52,0.37487615279086484,0.5831715413735097,0.03,0.89,rbf,2,True,0.041813209652900696
pi2,"SVR(C=10, epsilon=0.5, kernel='linear')",0.25,0.04,2.51,pi3,0.14,0.3898764610814782,0.4326651099597091,0.03,0.34,linear,2,True,0.041813209652900696
pi2,"SVR(C=10, epsilon=0.5, kernel='linear')",0.25,0.04,2.51,pi4,0.51,-0.25460570322143683,0.04628258293738474,0.04,0.26,linear,2,True,0.041813209652900696
pi3,"SVR(C=10, epsilon=0.5, kernel='linear')",0.43,0.03,1.78,pi2,0.18,0.25765360904687373,0.2519207293691128,0.03,0.74,linear,2,True,0.041813209652900696
pi3,"SVR(C=10, epsilon=0.5, kernel='linear')",0.43,0.03,1.78,pi5,0.33,0.7614935661531228,0.7747117946085037,0.03,0.83,linear,2,True,0.041813209652900696
pi4,"SVR(C=0.1, epsilon=1, kernel='linear')",0.05,0.01,3.36,pi2,0.07,0.11957188108554706,0.2519207293691128,0.04,0.65,linear,2,True,0.041813209652900696
pi5,SVR(kernel='linear'),0.77,0.06,2.04,pi3,0.36,0.41086853030958315,0.4326651099597091,0.03,0.89,linear,2,True,0.041813209652900696
pi2,SVR(C=10),0.96,0.03,0.82,pi4,0.02,0.9758548897568224,0.9887982801487917,0.02,0.96,rbf,3,True,0.01920604705810547
pi4,SVR(C=10),0.99,0.03,0.73,pi2,0.03,0.9546758379903528,0.9590853795330323,0.02,0.76,rbf,3,True,0.01920604705810547
pi2,"SVR(C=10, kernel='linear')",0.96,0.02,0.68,pi4,0.02,0.9839109924910033,0.9838225105088021,0.02,0.96,linear,3,True,0.01920604705810547
pi4,"SVR(C=0.1, kernel='linear')",0.98,0.01,0.7,pi2,0.02,0.9588386175975026,0.9594305441553057,0.02,0.76,linear,3,True,0.01920604705810547
