model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.99,0.1,1.35,pi3,0.07,0.9204010134089002,0.980629996537333,0.04,0.71,rbf,1,True,0.05588066577911377
pi3,SVR(),0.98,0.11,1.69,pi2,0.05,0.9310589621773261,0.9909805799915595,0.04,0.69,rbf,1,True,0.05588066577911377
pi3,SVR(),0.98,0.11,1.69,pi4,0.09,0.8906957470820915,0.9579435646942058,0.05,0.37,rbf,1,True,0.05588066577911377
pi4,SVR(C=10),0.96,0.13,1.56,pi3,0.01,0.9442825574739231,0.980629996537333,0.05,0.98,rbf,1,True,0.05588066577911377
pi2,SVR(kernel='linear'),0.99,0.06,1.31,pi3,0.06,0.9314388611471065,0.9308908588083356,0.04,0.71,linear,1,True,0.05588066577911377
pi3,SVR(kernel='linear'),0.93,0.09,1.59,pi2,0.06,0.9871617517360208,0.9875498669636803,0.04,0.69,linear,1,True,0.05588066577911377
pi3,SVR(kernel='linear'),0.93,0.09,1.59,pi4,0.02,0.9132054356908375,0.9041404261355737,0.05,0.37,linear,1,True,0.05588066577911377
pi4,SVR(kernel='linear'),0.9,0.08,1.75,pi3,0.02,0.9250301837964395,0.9308908588083356,0.05,0.98,linear,1,True,0.05588066577911377
pi2,SVR(C=10),0.87,0.1,1.2,pi3,0.69,0.1760762026937166,0.6539960715373376,0.03,0.36,rbf,2,True,0.0419770876566569
pi3,"SVR(C=10, epsilon=0.5)",0.65,0.03,1.43,pi2,7.11,-6.4586271643547155,0.8661410617435179,0.03,0.79,rbf,2,True,0.0419770876566569
pi2,SVR(kernel='linear'),0.81,0.05,1.05,pi3,0.62,0.18741760079035608,0.4099613112203442,0.03,0.36,linear,2,True,0.0419770876566569
pi3,"SVR(C=1, epsilon=0.5, kernel='linear')",0.41,0.01,1.26,pi2,0.54,-0.12999819016190872,0.8052264683874385,0.03,0.79,linear,2,True,0.0419770876566569
pi2,SVR(C=10),0.97,0.03,0.8,pi4,0.01,0.9768807317379296,0.9882897749486336,0.02,0.97,rbf,3,True,0.021463841199874878
pi4,SVR(C=10),0.99,0.03,0.73,pi2,0.03,0.9607109013822464,0.9670872548139666,0.02,0.82,rbf,3,True,0.021463841199874878
pi2,"SVR(C=0.1, kernel='linear')",0.97,0.01,0.64,pi4,0.02,0.9845472329921419,0.9848512617974323,0.02,0.97,linear,3,True,0.021463841199874878
pi4,SVR(kernel='linear'),0.98,0.01,0.61,pi2,0.02,0.9661829034289419,0.9660209195075748,0.02,0.82,linear,3,True,0.021463841199874878
