model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.99,0.11,1.72,pi3,0.06,0.9303199502558411,0.983841803503941,0.03,0.75,rbf,1,True,0.038740972677866616
pi3,SVR(),0.98,0.12,2.07,pi2,0.05,0.9361573533252082,0.9910156276200757,0.03,0.63,rbf,1,True,0.038740972677866616
pi3,SVR(),0.98,0.12,2.07,pi4,0.1,0.8837753773592667,0.9666112579174622,0.03,0.33,rbf,1,True,0.038740972677866616
pi4,SVR(C=10),0.97,0.12,1.6,pi3,0.02,0.9476231742216054,0.983841803503941,0.03,0.98,rbf,1,True,0.038740972677866616
pi2,SVR(kernel='linear'),0.99,0.06,1.26,pi3,0.05,0.9361268266832107,0.9368844258887943,0.03,0.75,linear,1,True,0.038740972677866616
pi3,SVR(kernel='linear'),0.94,0.09,1.56,pi2,0.05,0.984918453496141,0.987971216830635,0.03,0.63,linear,1,True,0.038740972677866616
pi3,SVR(kernel='linear'),0.94,0.09,1.56,pi4,0.01,0.9254098117679437,0.9175020223042797,0.03,0.33,linear,1,True,0.038740972677866616
pi4,SVR(kernel='linear'),0.92,0.07,1.65,pi3,0.01,0.9274344954368592,0.9368844258887943,0.03,0.98,linear,1,True,0.038740972677866616
pi2,"SVR(C=1, epsilon=0.5)",0.31,0.02,1.61,pi3,0.1,0.4067427284113512,0.6535411128488993,0.03,0.32,rbf,2,True,0.035481671492258705
pi3,"SVR(C=1, epsilon=0.5)",0.65,0.04,1.84,pi2,0.38,0.27451360983224005,0.3078045002793329,0.03,0.76,rbf,2,True,0.035481671492258705
pi3,"SVR(C=1, epsilon=0.5)",0.65,0.04,1.84,pi5,0.59,0.06443265315414148,0.4639000382733208,0.03,0.75,rbf,2,True,0.035481671492258705
pi5,"SVR(C=10, epsilon=0.5)",0.46,0.02,1.63,pi3,0.12,0.34174260567931625,0.6535411128488993,0.03,0.87,rbf,2,True,0.035481671492258705
pi2,"SVR(C=1, epsilon=0.5, kernel='linear')",0.23,0.02,1.94,pi3,0.18,0.4065008281374478,0.49006834987590875,0.03,0.32,linear,2,True,0.035481671492258705
pi3,"SVR(C=1, epsilon=0.5, kernel='linear')",0.49,0.03,1.69,pi2,0.29,0.19687469865647667,0.23132539076504688,0.03,0.76,linear,2,True,0.035481671492258705
pi3,"SVR(C=1, epsilon=0.5, kernel='linear')",0.49,0.03,1.69,pi5,0.14,0.35033652581569263,0.3690339865837512,0.03,0.75,linear,2,True,0.035481671492258705
pi5,"SVR(C=10, kernel='linear')",0.37,0.5,3.3,pi3,0.11,0.4817454051478287,0.49006834987590875,0.03,0.87,linear,2,True,0.035481671492258705
pi2,SVR(C=10),0.97,0.03,0.81,pi4,0.01,0.9760743993095075,0.9872226500167239,0.02,0.97,rbf,3,True,0.020585358142852783
pi4,SVR(C=10),0.99,0.03,0.76,pi2,0.03,0.954678736674023,0.9670324601115678,0.02,0.8,rbf,3,True,0.020585358142852783
pi2,"SVR(C=10, kernel='linear')",0.97,0.02,0.66,pi4,0.02,0.9833885167794021,0.983095134357266,0.02,0.97,linear,3,True,0.020585358142852783
pi4,"SVR(C=0.1, kernel='linear')",0.98,0.01,0.68,pi2,0.02,0.9655633924977949,0.9656530522586986,0.02,0.8,linear,3,True,0.020585358142852783
