model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.99,0.12,1.51,pi3,0.05,0.937926940997911,0.9841870755857121,0.03,0.77,rbf,1,True,0.05311781167984009
pi3,SVR(),0.98,0.1,1.59,pi2,0.05,0.9310990014133413,0.9904385255102586,0.03,0.7,rbf,1,True,0.05311781167984009
pi2,SVR(kernel='linear'),0.99,0.07,1.57,pi3,0.04,0.9474105045397234,0.9504698313104155,0.03,0.77,linear,1,True,0.05311781167984009
pi3,SVR(kernel='linear'),0.95,0.08,1.55,pi2,0.03,0.9830602514031427,0.9874800876243431,0.03,0.7,linear,1,True,0.05311781167984009
pi2,"SVR(C=1, epsilon=0.5)",0.31,0.02,1.51,pi3,0.1,0.41018745070288243,0.8009197821303744,0.03,0.34,rbf,2,True,0.05084828535715739
pi3,SVR(),0.8,0.1,1.65,pi2,0.56,0.24143657453977307,0.30597958632096367,0.03,0.77,rbf,2,True,0.05084828535715739
pi3,SVR(),0.8,0.1,1.65,pi5,0.85,-0.0531160162593336,0.37785913626319223,0.05,0.79,rbf,2,True,0.05084828535715739
pi5,"SVR(C=10, epsilon=0.5)",0.38,0.03,1.52,pi3,0.5,-0.1191834255794304,0.8009197821303744,0.05,0.84,rbf,2,True,0.05084828535715739
pi2,"SVR(C=10, epsilon=0.5, kernel='linear')",0.24,0.04,1.81,pi3,0.33,0.5736549552634445,0.6760660430981241,0.03,0.34,linear,2,True,0.05084828535715739
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.68,0.02,1.58,pi2,0.48,0.19863864182892566,0.2389453446077051,0.03,0.77,linear,2,True,0.05084828535715739
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.68,0.02,1.58,pi5,0.51,0.1647200089135532,0.20869121895992393,0.05,0.79,linear,2,True,0.05084828535715739
pi5,"SVR(C=0.01, kernel='linear')",0.21,0.03,1.48,pi3,0.45,0.6568865214262272,0.6760660430981241,0.05,0.84,linear,2,True,0.05084828535715739
pi2,SVR(C=10),0.97,0.03,0.77,pi4,0.01,0.977341969427812,0.9876656048594791,0.02,0.98,rbf,3,True,0.02690407633781433
pi4,SVR(C=10),0.99,0.03,0.74,pi2,0.03,0.9582899330528107,0.965520698389524,0.02,0.78,rbf,3,True,0.02690407633781433
pi2,"SVR(C=10, kernel='linear')",0.97,0.03,0.63,pi4,0.02,0.982387037598838,0.9836465757968387,0.02,0.98,linear,3,True,0.02690407633781433
pi4,SVR(kernel='linear'),0.98,0.01,0.67,pi2,0.02,0.9648949943412685,0.9652450525085725,0.02,0.78,linear,3,True,0.02690407633781433
