model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.99,0.04,0.59,pi3,0.07,0.9187946629270359,0.9815821756136269,0.04,0.71,rbf,1,True,0.04722003142038981
pi3,SVR(),0.98,0.04,0.73,pi2,0.08,0.9034772709516216,0.9903199408729546,0.04,0.68,rbf,1,True,0.04722003142038981
pi3,SVR(),0.98,0.04,0.73,pi4,0.12,0.8583446694160073,0.9644658363420612,0.04,0.32,rbf,1,True,0.04722003142038981
pi4,SVR(C=10),0.96,0.04,0.63,pi3,0.02,0.9477858990741791,0.9815821756136269,0.04,0.99,rbf,1,True,0.04722003142038981
pi2,SVR(kernel='linear'),0.99,0.03,0.56,pi3,0.06,0.9277298043129414,0.9276067457649155,0.04,0.71,linear,1,True,0.04722003142038981
pi3,SVR(kernel='linear'),0.93,0.03,0.59,pi2,0.06,0.9854788401327542,0.9875159450516983,0.04,0.68,linear,1,True,0.04722003142038981
pi3,SVR(kernel='linear'),0.93,0.03,0.59,pi4,0.0,0.9287568635870868,0.9213731893775697,0.04,0.32,linear,1,True,0.04722003142038981
pi4,"SVR(C=10, kernel='linear')",0.92,0.07,0.69,pi3,0.0,0.9177552836180026,0.9276067457649155,0.04,0.99,linear,1,True,0.04722003142038981
pi2,"SVR(C=1, epsilon=0.5)",0.31,0.01,0.64,pi3,0.14,0.44239124696219445,0.7178422585536923,0.03,0.35,rbf,2,True,0.04156597455342611
pi3,SVR(),0.72,0.05,0.82,pi2,0.47,0.24946546063940744,0.3050910670580921,0.03,0.78,rbf,2,True,0.04156597455342611
pi3,SVR(),0.72,0.05,0.82,pi5,0.58,0.1347580317538163,0.33315712416529675,0.04,0.78,rbf,2,True,0.04156597455342611
pi5,SVR(),0.33,0.05,0.9,pi3,0.29,0.6212993957595603,0.7178422585536923,0.04,0.8,rbf,2,True,0.04156597455342611
pi2,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.25,0.0,1.31,pi3,0.27,0.5209707880048128,0.62238749327152,0.03,0.35,linear,2,True,0.04156597455342611
pi3,"SVR(C=10, epsilon=0.5, kernel='linear')",0.62,0.03,0.78,pi2,0.45,0.1721932098909139,0.24988397360898773,0.03,0.78,linear,2,True,0.04156597455342611
pi3,"SVR(C=10, epsilon=0.5, kernel='linear')",0.62,0.03,0.78,pi5,0.39,0.23408837361266233,0.27744157655027635,0.04,0.78,linear,2,True,0.04156597455342611
pi5,SVR(kernel='linear'),0.28,0.05,1.23,pi3,0.33,0.6041765546392557,0.62238749327152,0.04,0.8,linear,2,True,0.04156597455342611
pi2,SVR(),0.96,0.01,0.4,pi4,0.01,0.9764786617780339,0.9875424941324638,0.02,0.96,rbf,3,True,0.017320692539215088
pi4,SVR(),0.99,0.01,0.35,pi2,0.03,0.9564700880575995,0.9624147513947866,0.02,0.83,rbf,3,True,0.017320692539215088
pi2,SVR(kernel='linear'),0.96,0.01,0.3,pi4,0.02,0.9851406409313048,0.9845893222878181,0.02,0.96,linear,3,True,0.017320692539215088
pi4,SVR(kernel='linear'),0.98,0.01,0.34,pi2,0.02,0.9620720422648817,0.9614210091698293,0.02,0.83,linear,3,True,0.017320692539215088
