model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.99,0.13,1.48,pi3,0.06,0.9289943767134021,0.9809864570999655,0.03,0.75,rbf,1,True,0.05765120188395182
pi3,SVR(),0.98,0.1,1.63,pi2,0.06,0.9162019660947027,0.9908211306961179,0.03,0.63,rbf,1,True,0.05765120188395182
pi2,"SVR(C=0.1, kernel='linear')",0.99,0.03,1.22,pi3,0.05,0.9379639855207842,0.9394333654431761,0.03,0.75,linear,1,True,0.05765120188395182
pi3,"SVR(C=10, kernel='linear')",0.94,0.14,1.5,pi2,0.04,0.9839572271472774,0.9881428750552125,0.03,0.63,linear,1,True,0.05765120188395182
pi2,SVR(C=10),0.39,0.07,1.23,pi3,0.06,0.4518663405061709,0.7572711416168221,0.03,0.31,rbf,2,True,0.04476034641265869
pi3,SVR(),0.76,0.11,1.82,pi2,0.49,0.27106661206988236,0.3936905257943324,0.03,0.81,rbf,2,True,0.04476034641265869
pi3,SVR(),0.76,0.11,1.82,pi5,0.64,0.11825623669018737,0.3692550285152132,0.04,0.77,rbf,2,True,0.04476034641265869
pi5,"SVR(C=10, epsilon=0.5)",0.37,0.03,1.48,pi3,0.19,0.18292589346658994,0.7572711416168221,0.04,0.75,rbf,2,True,0.04476034641265869
pi2,SVR(kernel='linear'),0.34,0.05,1.31,pi3,0.13,0.47754256422414154,0.641957362462632,0.03,0.31,linear,2,True,0.04476034641265869
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.64,0.01,1.34,pi2,0.49,0.15016502822208577,0.34461388685893124,0.03,0.81,linear,2,True,0.04476034641265869
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.64,0.01,1.34,pi5,0.4,0.24628094007669477,0.27223131076879215,0.04,0.77,linear,2,True,0.04476034641265869
pi5,"SVR(C=0.01, kernel='linear')",0.27,0.07,1.77,pi3,0.36,0.6292432810422612,0.641957362462632,0.04,0.75,linear,2,True,0.04476034641265869
pi2,SVR(C=10),0.95,0.05,1.1,pi4,0.03,0.9803084346148805,0.9882496548084904,0.02,0.94,rbf,3,True,0.028645634651184082
pi4,SVR(C=10),0.99,0.02,0.91,pi2,0.04,0.9457351953198591,0.9537021515044706,0.02,0.77,rbf,3,True,0.028645634651184082
pi2,SVR(kernel='linear'),0.95,0.01,0.76,pi4,0.03,0.9837360645163619,0.9837897204264255,0.02,0.94,linear,3,True,0.028645634651184082
pi4,"SVR(C=0.1, kernel='linear')",0.98,0.02,1.06,pi2,0.03,0.9518649710061792,0.9529352063408616,0.02,0.77,linear,3,True,0.028645634651184082
