model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.99,0.03,0.6,pi3,0.06,0.9356016782871722,0.9853037297160876,0.03,0.78,rbf,1,True,0.041982670625050865
pi3,SVR(),0.99,0.03,0.63,pi2,0.06,0.9278869461752928,0.9919026014506077,0.03,0.64,rbf,1,True,0.041982670625050865
pi3,SVR(),0.99,0.03,0.63,pi4,0.1,0.8812200323557249,0.9628272555475779,0.04,0.33,rbf,1,True,0.041982670625050865
pi4,SVR(C=10),0.96,0.06,0.62,pi3,0.01,0.9489479461475238,0.9853037297160876,0.04,0.94,rbf,1,True,0.041982670625050865
pi2,"SVR(C=10, kernel='linear')",0.99,0.04,0.5,pi3,0.04,0.9443934125393604,0.9476823645392617,0.03,0.78,linear,1,True,0.041982670625050865
pi3,"SVR(C=0.1, kernel='linear')",0.95,0.02,0.54,pi2,0.03,0.9823891222735142,0.9874179848278345,0.03,0.64,linear,1,True,0.041982670625050865
pi3,"SVR(C=0.1, kernel='linear')",0.95,0.02,0.54,pi4,0.03,0.9185353382683451,0.9187881807501576,0.04,0.33,linear,1,True,0.041982670625050865
pi4,"SVR(C=10, kernel='linear')",0.92,0.06,0.59,pi3,0.03,0.9463349743659794,0.9476823645392617,0.04,0.94,linear,1,True,0.041982670625050865
pi2,"SVR(C=1, epsilon=0.5)",0.32,0.01,0.75,pi3,0.04,0.3576240516637653,0.5333810307566079,0.03,0.38,rbf,2,True,0.04419259230295817
pi3,"SVR(C=1, epsilon=0.5)",0.53,0.01,0.77,pi2,0.17,0.36198735760776934,0.32107312811930155,0.03,0.75,rbf,2,True,0.04419259230295817
pi3,"SVR(C=1, epsilon=0.5)",0.53,0.01,0.77,pi5,0.02,0.5501722906867654,0.9185267498747578,0.04,0.81,rbf,2,True,0.04419259230295817
pi5,SVR(C=10),0.92,0.05,0.64,pi3,0.56,0.357904770402486,0.5333810307566079,0.04,0.86,rbf,2,True,0.04419259230295817
pi2,"SVR(C=1, epsilon=0.5, kernel='linear')",0.23,0.01,1.03,pi3,0.1,0.3334787839745562,0.4056035881935035,0.03,0.38,linear,2,True,0.04419259230295817
pi3,"SVR(C=1, epsilon=0.5, kernel='linear')",0.41,0.01,0.65,pi2,0.19,0.2182979266172278,0.23008756459031,0.03,0.75,linear,2,True,0.04419259230295817
pi3,"SVR(C=1, epsilon=0.5, kernel='linear')",0.41,0.01,0.65,pi5,0.38,0.7814789300155297,0.8144455992310939,0.04,0.81,linear,2,True,0.04419259230295817
pi5,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.81,0.0,0.75,pi3,0.54,0.2711721756705633,0.4056035881935035,0.04,0.86,linear,2,True,0.04419259230295817
