model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.99,0.1,1.39,pi3,0.05,0.9415217656202087,0.9829614404693444,0.03,0.8,rbf,1,True,0.06509075562159221
pi3,SVR(),0.98,0.09,1.53,pi2,0.04,0.9384915612434827,0.9913947253924528,0.03,0.66,rbf,1,True,0.06509075562159221
pi2,SVR(kernel='linear'),0.99,0.06,1.36,pi3,0.04,0.9435174388697242,0.9470964619175125,0.03,0.8,linear,1,True,0.06509075562159221
pi3,SVR(kernel='linear'),0.95,0.08,1.47,pi2,0.03,0.9799392492123243,0.9878191254678844,0.03,0.66,linear,1,True,0.06509075562159221
pi2,SVR(),0.82,0.07,1.16,pi3,0.41,0.4028464868438342,0.7319552823349182,0.03,0.32,rbf,2,True,0.049188852310180664
pi2,SVR(),0.82,0.07,1.16,pi5,0.36,0.4565118587539806,0.9180691363474116,0.05,0.48,rbf,2,True,0.049188852310180664
pi3,"SVR(C=10, epsilon=0.5)",0.73,0.07,1.8,pi2,2.28,-1.5521672938648625,0.8166464507738485,0.03,0.83,rbf,2,True,0.049188852310180664
pi5,SVR(),0.92,0.06,1.16,pi2,1.0,-0.08055091515363255,0.8166464507738485,0.05,0.81,rbf,2,True,0.049188852310180664
pi2,SVR(kernel='linear'),0.75,0.04,1.04,pi3,0.31,0.44335663803105574,0.6079575880937179,0.03,0.32,linear,2,True,0.049188852310180664
pi2,SVR(kernel='linear'),0.75,0.04,1.04,pi5,0.16,0.5861231903571382,0.8268051273333408,0.05,0.48,linear,2,True,0.049188852310180664
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.61,0.02,1.66,pi2,0.45,0.15789508411018316,0.7502898980310331,0.03,0.83,linear,2,True,0.049188852310180664
pi5,SVR(kernel='linear'),0.83,0.05,1.33,pi2,0.75,0.07296365224377699,0.7502898980310331,0.05,0.81,linear,2,True,0.049188852310180664
