model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,"SVR(C=10, epsilon=0.5)",0.02,0.73,0.99,pi4,0.1,0.889874928705966,0.9578802019062703,0.15,0.67,rbf,1,False,0.150681734085083
pi4,SVR(C=10),0.04,0.83,0.96,pi2,0.01,0.9447897825704552,0.989735007527019,0.15,0.89,rbf,1,False,0.150681734085083
pi2,"SVR(C=10, epsilon=0.5, kernel='linear')",0.27,5.53,0.99,pi4,0.07,0.9206595664831969,0.9192777906020302,0.15,0.67,linear,1,False,0.150681734085083
pi4,"SVR(C=10, epsilon=2, kernel='linear')",0.22,5.45,0.92,pi2,0.06,0.9799926408040172,0.9867215105382351,0.15,0.89,linear,1,False,0.150681734085083
pi2,"SVR(C=10, epsilon=2)",0.01,0.87,0.32,pi4,0.2,0.11379380760663993,0.6135086454309289,0.21,0.35,rbf,2,False,0.244932621717453
pi4,"SVR(C=1, epsilon=1)",0.01,0.74,0.61,pi2,1.1,-0.48511021793330755,0.31622534695334037,0.21,0.79,rbf,2,False,0.244932621717453
pi2,"SVR(C=10, epsilon=1, kernel='linear')",0.02,1.43,0.22,pi4,0.32,-0.10301517553393769,0.12868371369009268,0.21,0.35,linear,2,False,0.244932621717453
pi4,"SVR(C=0.1, epsilon=5, kernel='linear')",0.0,1.0,0.13,pi2,0.02,0.14807758935098914,0.21801283860150122,0.21,0.79,linear,2,False,0.244932621717453
pi2,SVR(),0.01,0.26,0.94,pi4,2.52,-1.573900975295342,0.9892162197661146,0.33,0.3,rbf,3,False,0.32562005519866943
pi4,SVR(C=10),0.01,0.27,0.99,pi2,0.94,0.05002048249181057,0.9432975135061202,0.33,0.45,rbf,3,False,0.32562005519866943
pi2,"SVR(C=0.01, kernel='linear')",0.0,0.29,0.94,pi4,0.01,0.9303936512131229,0.9875380609700078,0.33,0.3,linear,3,False,0.32562005519866943
pi4,SVR(kernel='linear'),0.02,0.76,0.99,pi2,0.08,0.9072874718122426,0.9408340652006194,0.33,0.45,linear,3,False,0.32562005519866943
