model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,"SVR(C=10, epsilon=0.5)",0.02,0.69,0.99,pi4,0.11,0.8841852047622046,0.9570885327082893,0.16,0.7,rbf,1,False,0.1510361284017563
pi4,"SVR(C=10, epsilon=0.5)",0.02,0.74,0.96,pi2,0.01,0.9510820257669074,0.9892405077062172,0.16,0.92,rbf,1,False,0.1510361284017563
pi2,SVR(kernel='linear'),0.08,4.41,0.99,pi4,0.07,0.9145157802497492,0.9150883497048266,0.16,0.7,linear,1,False,0.1510361284017563
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.01,5.98,0.92,pi2,0.06,0.9767817685656596,0.9865708906237901,0.16,0.92,linear,1,False,0.1510361284017563
pi3,SVR(),0.05,0.62,0.61,pi5,0.18,0.437555459462335,0.8916345396330685,0.2,1.0,rbf,2,False,0.19638997316360474
pi5,SVR(C=10),0.03,0.49,0.89,pi3,1.08,-0.18579253164459875,0.6144438031704608,0.2,0.45,rbf,2,False,0.19638997316360474
pi3,"SVR(C=0.01, epsilon=2, kernel='linear')",0.0,1.6,0.58,pi5,0.08,0.6596332061978518,0.7752143877647439,0.2,1.0,linear,2,False,0.19638997316360474
pi5,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.01,1.07,0.78,pi3,0.49,0.28293686725951395,0.579248808799113,0.2,0.45,linear,2,False,0.19638997316360474
pi2,SVR(C=10),0.01,0.26,0.95,pi4,3.13,-2.181760588124874,0.9869679174348488,0.37,0.26,rbf,3,False,0.36905401945114136
pi4,SVR(C=10),0.01,0.28,0.99,pi2,1.22,-0.22887747813874304,0.9478668205732724,0.37,0.39,rbf,3,False,0.36905401945114136
pi2,"SVR(C=0.01, kernel='linear')",0.0,0.3,0.95,pi4,0.04,0.9037770365349133,0.9846177584351982,0.37,0.26,linear,3,False,0.36905401945114136
pi4,SVR(kernel='linear'),0.01,0.63,0.98,pi2,0.06,0.9227193473956408,0.9471784428667325,0.37,0.39,linear,3,False,0.36905401945114136
