model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,"SVR(C=10, epsilon=0.5)",0.02,0.71,0.99,pi4,0.11,0.8793553057892503,0.9537586866678797,0.16,0.56,rbf,1,False,0.16234833002090454
pi4,"SVR(C=10, epsilon=1)",0.02,0.85,0.95,pi2,0.04,0.9123550517825794,0.9910133036953488,0.16,0.87,rbf,1,False,0.16234833002090454
pi2,"SVR(C=10, epsilon=0.5, kernel='linear')",0.17,4.75,0.99,pi4,0.08,0.9122296959343359,0.9130266894307594,0.16,0.56,linear,1,False,0.16234833002090454
pi4,"SVR(C=0.01, epsilon=2, kernel='linear')",0.0,6.86,0.91,pi2,0.07,0.9808661427899116,0.98891344687862,0.16,0.87,linear,1,False,0.16234833002090454
pi2,SVR(),0.03,0.67,0.8,pi4,0.64,0.15881955034401485,0.39393007136133606,0.23,0.36,rbf,2,False,0.25207266211509705
pi4,"SVR(C=10, epsilon=2)",0.02,0.9,0.39,pi2,5.5,-5.106128411345851,0.7981500937228048,0.23,0.76,rbf,2,False,0.25207266211509705
pi2,"SVR(C=10, epsilon=1, kernel='linear')",0.02,0.97,0.75,pi4,1.01,-0.25484041778080035,0.0341813563589618,0.23,0.36,linear,2,False,0.25207266211509705
pi4,"SVR(C=10, epsilon=1, kernel='linear')",0.04,1.1,0.03,pi2,0.15,-0.11204511732913791,0.7512431464903434,0.23,0.76,linear,2,False,0.25207266211509705
pi2,SVR(),0.01,0.29,0.95,pi4,2.39,-1.4440603958422442,0.9872588121974403,0.31,0.35,rbf,3,False,0.3263109624385834
pi4,"SVR(C=10, epsilon=0.5)",0.01,0.28,0.99,pi2,0.2,0.7850323774442304,0.9452021326442477,0.31,0.44,rbf,3,False,0.3263109624385834
pi2,"SVR(C=10, kernel='linear')",0.02,0.31,0.95,pi4,0.1,0.8466862071476564,0.9846795074145928,0.31,0.35,linear,3,False,0.3263109624385834
pi4,SVR(kernel='linear'),0.01,0.64,0.98,pi2,0.1,0.8839471821633273,0.9453224048263603,0.31,0.44,linear,3,False,0.3263109624385834
