model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,"SVR(C=10, epsilon=0.5)",0.02,0.72,0.99,pi4,0.09,0.8974989219932916,0.9558190772418271,0.16,0.62,rbf,1,False,0.15668277442455292
pi4,"SVR(C=10, epsilon=0.5)",0.03,0.81,0.96,pi2,0.01,0.941865471051921,0.9905860430600864,0.16,0.86,rbf,1,False,0.15668277442455292
pi2,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.01,5.7,0.99,pi4,0.07,0.9230290914437009,0.9216519598660344,0.16,0.62,linear,1,False,0.15668277442455292
pi4,"SVR(C=10, epsilon=2, kernel='linear')",0.13,5.16,0.92,pi2,0.06,0.9836130209465785,0.9887747589311306,0.16,0.86,linear,1,False,0.15668277442455292
pi2,"SVR(C=10, epsilon=5)",0.01,0.79,0.33,pi4,0.57,-0.23768158639322579,0.5317977245740534,0.22,0.28,rbf,2,False,0.24957063794136047
pi4,"SVR(C=10, epsilon=0.5)",0.03,0.82,0.53,pi2,1.72,-1.191767722734843,0.33332105908743925,0.22,0.78,rbf,2,False,0.24957063794136047
pi2,"SVR(C=0.1, epsilon=2, kernel='linear')",0.0,1.26,0.19,pi4,0.47,-0.28752890274635967,0.11213008385734369,0.22,0.28,linear,2,False,0.24957063794136047
pi4,"SVR(C=1, epsilon=1, kernel='linear')",0.02,0.94,0.11,pi2,0.06,0.16719825857384307,0.18537887313524382,0.22,0.78,linear,2,False,0.24957063794136047
pi2,SVR(),0.01,0.27,0.94,pi4,2.55,-1.6071939161565774,0.9870916918675384,0.36,0.32,rbf,3,False,0.3577686548233032
pi4,SVR(C=10),0.01,0.27,0.99,pi2,0.82,0.16558536624743592,0.9385918114420478,0.36,0.41,rbf,3,False,0.3577686548233032
pi2,"SVR(C=0.01, kernel='linear')",0.0,0.29,0.94,pi4,0.01,0.9241705657273535,0.9831773533044946,0.36,0.32,linear,3,False,0.3577686548233032
pi4,SVR(kernel='linear'),0.02,0.96,0.98,pi2,0.08,0.9068109238708796,0.9373315404121285,0.36,0.41,linear,3,False,0.3577686548233032
