model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.04,0.82,0.99,pi4,0.1,0.890435633363011,0.9560961758579706,0.14,0.57,rbf,1,False,0.1379992514848709
pi4,"SVR(C=10, epsilon=1)",0.02,0.86,0.96,pi2,0.03,0.9225928475649986,0.9914639798278195,0.14,0.85,rbf,1,False,0.1379992514848709
pi2,"SVR(C=0.01, epsilon=0.5, kernel='linear')",0.01,5.78,0.99,pi4,0.07,0.92021202536172,0.917214104686118,0.14,0.57,linear,1,False,0.1379992514848709
pi4,"SVR(C=10, epsilon=2, kernel='linear')",0.15,4.9,0.92,pi2,0.07,0.9835075614016525,0.9876891438148796,0.14,0.85,linear,1,False,0.1379992514848709
pi3,SVR(),0.06,0.82,0.66,pi5,0.21,0.44906491802697357,0.8829395984796113,0.22,1.0,rbf,2,False,0.21807748079299927
pi5,SVR(),0.03,0.55,0.88,pi3,1.37,-0.490257905979826,0.6627934840430705,0.22,0.54,rbf,2,False,0.21807748079299927
pi3,"SVR(C=0.01, epsilon=2, kernel='linear')",0.01,1.31,0.56,pi5,0.11,0.6675324690689662,0.7439369499343411,0.22,1.0,linear,2,False,0.21807748079299927
pi5,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.01,0.97,0.74,pi3,0.33,0.416003409713835,0.5565705952269369,0.22,0.54,linear,2,False,0.21807748079299927
pi2,SVR(),0.01,0.28,0.93,pi4,2.47,-1.537662291677742,0.9869500152045015,0.33,0.31,rbf,3,False,0.3259674906730652
pi4,SVR(C=10),0.01,0.27,0.99,pi2,0.73,0.2588485839098885,0.9325062071815959,0.33,0.44,rbf,3,False,0.3259674906730652
pi2,"SVR(C=10, epsilon=1, kernel='linear')",0.0,0.27,0.93,pi4,0.1,0.8268479390530437,0.9846529561461274,0.33,0.31,linear,3,False,0.3259674906730652
pi4,SVR(kernel='linear'),0.02,0.67,0.98,pi2,0.08,0.900991269311299,0.9310029792177144,0.33,0.44,linear,3,False,0.3259674906730652
