model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.04,0.7,0.99,pi4,0.1,0.8954471569826878,0.953563993168683,0.15,0.61,rbf,1,False,0.14266197383403778
pi4,"SVR(C=10, epsilon=1)",0.02,0.78,0.95,pi2,0.02,0.9358821669116231,0.9910348889359235,0.15,0.88,rbf,1,False,0.14266197383403778
pi2,SVR(kernel='linear'),0.08,4.8,0.99,pi4,0.06,0.9273871788180652,0.9249596232781071,0.15,0.61,linear,1,False,0.14266197383403778
pi4,"SVR(C=0.1, epsilon=1, kernel='linear')",0.01,6.88,0.92,pi2,0.06,0.9828712477492084,0.9878160211827294,0.15,0.88,linear,1,False,0.14266197383403778
pi2,"SVR(C=10, epsilon=2)",0.01,0.73,0.31,pi4,0.19,0.12135685872003799,0.46039575869922345,0.21,0.34,rbf,2,False,0.2286854386329651
pi4,"SVR(C=10, epsilon=2)",0.02,0.89,0.46,pi2,1.01,-0.5470477641638791,0.3099753296909714,0.21,0.78,rbf,2,False,0.2286854386329651
pi3,SVR(),0.03,0.76,0.71,pi5,0.3,0.4084375343644103,0.885791660957999,0.24,1.0,rbf,2,False,0.2286854386329651
pi5,SVR(C=10),0.03,0.47,0.89,pi3,1.06,-0.17840939471458372,0.7078656825540712,0.24,0.5,rbf,2,False,0.2286854386329651
pi2,"SVR(C=1, epsilon=2, kernel='linear')",0.01,1.32,0.21,pi4,0.56,-0.3490145357806751,0.07046652849822443,0.21,0.34,linear,2,False,0.2286854386329651
pi4,"SVR(C=0.1, epsilon=2, kernel='linear')",0.01,1.19,0.07,pi2,0.11,0.1813054262517576,0.20991748698743196,0.21,0.78,linear,2,False,0.2286854386329651
pi3,"SVR(C=10, epsilon=2, kernel='linear')",0.02,1.54,0.61,pi5,0.08,0.6882240580364332,0.7668138651195177,0.24,1.0,linear,2,False,0.2286854386329651
pi5,"SVR(C=10, epsilon=0.5, kernel='linear')",0.05,1.04,0.77,pi3,0.28,0.48502986292329875,0.6071928342898514,0.24,0.5,linear,2,False,0.2286854386329651
pi2,SVR(C=10),0.01,0.29,0.94,pi4,3.29,-2.3502795676237898,0.986119193655215,0.34,0.27,rbf,3,False,0.3369626998901367
pi4,"SVR(C=10, epsilon=1)",0.0,0.29,0.99,pi2,1.23,-0.24811024427533157,0.9419281023887945,0.34,0.43,rbf,3,False,0.3369626998901367
pi2,SVR(kernel='linear'),0.01,0.31,0.94,pi4,0.13,0.814100775065907,0.9827438734327433,0.34,0.27,linear,3,False,0.3369626998901367
pi4,SVR(kernel='linear'),0.02,1.24,0.98,pi2,0.06,0.9252659129034562,0.9424414990150932,0.34,0.43,linear,3,False,0.3369626998901367
