model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,"SVR(C=10, epsilon=0.5)",0.02,0.71,0.99,pi4,0.11,0.8795302673293927,0.9577191392385334,0.16,0.6,rbf,1,False,0.1607181429862976
pi4,"SVR(C=10, epsilon=0.5)",0.02,0.86,0.96,pi2,0.02,0.936483037712853,0.991909604950949,0.16,0.9,rbf,1,False,0.1607181429862976
pi2,"SVR(C=0.01, epsilon=0.5, kernel='linear')",0.01,4.55,0.99,pi4,0.08,0.9133417377591749,0.9126344859686872,0.16,0.6,linear,1,False,0.1607181429862976
pi4,"SVR(C=10, epsilon=2, kernel='linear')",0.12,7.84,0.91,pi2,0.07,0.98331995603184,0.9886721132186677,0.16,0.9,linear,1,False,0.1607181429862976
pi2,"SVR(C=10, epsilon=5)",0.0,0.78,0.35,pi4,0.4,-0.05845270905296318,0.3647420690179024,0.22,0.31,rbf,2,False,0.22550612688064575
pi4,"SVR(C=10, epsilon=2)",0.02,0.94,0.36,pi2,0.67,-0.3031257580560849,0.34511523173799175,0.22,0.71,rbf,2,False,0.22550612688064575
pi3,SVR(),0.03,0.73,0.64,pi5,0.48,0.15947867361925472,0.28610000146893655,0.23,0.97,rbf,2,False,0.22550612688064575
pi5,"SVR(C=10, epsilon=1)",0.01,0.55,0.29,pi3,0.67,-0.38189575629427663,0.6393079568393459,0.23,0.5,rbf,2,False,0.22550612688064575
pi2,"SVR(C=1, epsilon=2, kernel='linear')",0.01,1.2,0.18,pi4,0.66,-0.4775072352521006,0.0030305767427550867,0.22,0.31,linear,2,False,0.22550612688064575
pi4,"SVR(C=0.1, epsilon=2, kernel='linear')",0.02,1.14,0.0,pi2,0.12,0.1235191601283595,0.1812340023934591,0.22,0.71,linear,2,False,0.22550612688064575
pi3,"SVR(C=1, epsilon=2, kernel='linear')",0.01,1.37,0.54,pi5,0.36,0.17483499677306458,0.17257916079223412,0.23,0.97,linear,2,False,0.22550612688064575
pi5,"SVR(C=0.01, kernel='linear')",0.02,1.04,0.17,pi3,0.36,0.5310528996952796,0.5363749230291477,0.23,0.5,linear,2,False,0.22550612688064575
pi2,SVR(C=10),0.01,0.32,0.94,pi4,2.26,-1.3257909848989486,0.9871863863080845,0.32,0.37,rbf,3,False,0.32292282581329346
pi4,SVR(C=10),0.01,0.31,0.99,pi2,0.52,0.47106069024392005,0.9360231642939426,0.32,0.43,rbf,3,False,0.32292282581329346
pi2,"SVR(C=0.01, kernel='linear')",0.0,0.3,0.94,pi4,0.0,0.9387366680481187,0.9846282372047513,0.32,0.37,linear,3,False,0.32292282581329346
pi4,SVR(kernel='linear'),0.02,1.18,0.98,pi2,0.08,0.9080811266725974,0.9367490359578728,0.32,0.43,linear,3,False,0.32292282581329346
