model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.04,0.72,0.99,pi4,0.09,0.8984740838532421,0.9620053866348702,0.14,0.58,rbf,1,False,0.14221014082431793
pi4,"SVR(C=10, epsilon=0.5)",0.02,0.79,0.96,pi2,0.01,0.9486494369176371,0.9895805238969544,0.14,0.87,rbf,1,False,0.14221014082431793
pi2,"SVR(C=10, epsilon=0.5, kernel='linear')",0.24,4.73,0.99,pi4,0.07,0.917234879393938,0.9215242186428045,0.14,0.58,linear,1,False,0.14221014082431793
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.01,7.95,0.92,pi2,0.06,0.9768113583748622,0.9878097216324198,0.14,0.87,linear,1,False,0.14221014082431793
pi2,"SVR(C=10, epsilon=5)",0.0,0.71,0.34,pi4,0.18,0.1601966759871113,0.3444041892807075,0.19,0.45,rbf,2,False,0.1956961750984192
pi4,"SVR(C=10, epsilon=2)",0.02,0.84,0.34,pi2,0.55,-0.20673079643244185,0.3407116583836045,0.19,0.74,rbf,2,False,0.1956961750984192
pi3,"SVR(C=10, epsilon=2)",0.01,0.7,0.62,pi5,0.58,0.03768129274373855,0.36251346818473007,0.2,0.97,rbf,2,False,0.1956961750984192
pi5,"SVR(C=10, epsilon=2)",0.0,0.5,0.36,pi3,0.25,0.1077916404350211,0.6171683432619013,0.2,0.46,rbf,2,False,0.1956961750984192
pi2,"SVR(C=1, epsilon=5, kernel='linear')",0.01,1.34,0.2,pi4,0.28,-0.07503453363405388,-0.007739295874572338,0.19,0.45,linear,2,False,0.1956961750984192
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.01,0.96,-0.01,pi2,0.18,0.1718506276753473,0.2016758316034497,0.19,0.74,linear,2,False,0.1956961750984192
pi3,"SVR(C=0.01, epsilon=2, kernel='linear')",0.01,3.06,0.52,pi5,0.24,0.28033654572319977,0.29229999456550104,0.2,0.97,linear,2,False,0.1956961750984192
pi5,SVR(kernel='linear'),0.04,1.85,0.29,pi3,0.18,0.4734879577973249,0.5235960058275838,0.2,0.46,linear,2,False,0.1956961750984192
pi2,"SVR(C=10, epsilon=0.5)",0.01,0.47,0.95,pi4,2.39,-1.4384480412288156,0.9883704328509403,0.32,0.33,rbf,3,False,0.31567102670669556
pi4,SVR(C=10),0.02,0.46,0.99,pi2,1.09,-0.10523712337429725,0.9485353648249586,0.32,0.42,rbf,3,False,0.31567102670669556
pi2,SVR(kernel='linear'),0.02,0.59,0.95,pi4,0.04,0.912792564974647,0.9854018975800073,0.32,0.33,linear,3,False,0.31567102670669556
pi4,"SVR(C=10, kernel='linear')",0.08,1.25,0.99,pi2,0.06,0.9226148677924099,0.9490764443063209,0.32,0.42,linear,3,False,0.31567102670669556
