model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,"SVR(C=10, epsilon=0.5)",0.02,0.72,0.99,pi4,0.05,0.9450395056290108,0.9692014134333536,0.12,0.7,rbf,1,False,0.12646913528442383
pi4,"SVR(C=10, epsilon=0.5)",0.01,0.59,0.97,pi2,0.03,0.9424741626958054,0.9917322418677667,0.12,0.85,rbf,1,False,0.12646913528442383
pi2,"SVR(C=1, epsilon=1, kernel='linear')",0.01,4.62,0.99,pi4,0.05,0.9385078715372315,0.959071432506211,0.12,0.7,linear,1,False,0.12646913528442383
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.0,2.51,0.96,pi2,0.01,0.9706949965834532,0.9894660384555899,0.12,0.85,linear,1,False,0.12646913528442383
pi2,"SVR(C=10, epsilon=2)",0.01,0.71,0.25,pi4,0.09,0.16481018244628232,0.42097980722792816,0.23,0.29,rbf,2,False,0.23245131969451904
pi4,"SVR(C=10, epsilon=1)",0.02,0.84,0.42,pi2,1.03,-0.6065594489295585,0.2540294538209007,0.23,0.84,rbf,2,False,0.23245131969451904
pi3,"SVR(C=10, epsilon=2)",0.01,0.85,0.6,pi5,1.05,-0.4452297711347395,0.8893291065983642,0.24,1.0,rbf,2,False,0.23245131969451904
pi5,SVR(C=10),0.03,0.49,0.89,pi3,1.39,-0.5014325148662393,0.6015420360121329,0.24,0.49,rbf,2,False,0.23245131969451904
pi2,"SVR(C=1, epsilon=1, kernel='linear')",0.01,1.39,0.2,pi4,0.3,-0.1037396436755258,0.029691036673477278,0.23,0.29,linear,2,False,0.23245131969451904
pi4,"SVR(C=10, epsilon=2, kernel='linear')",0.05,1.03,0.03,pi2,0.08,0.1112412829471271,0.20004569075032952,0.23,0.84,linear,2,False,0.23245131969451904
pi3,"SVR(C=1, epsilon=0.5, kernel='linear')",0.02,1.33,0.44,pi5,0.18,0.6159275138039012,0.7695673400429581,0.24,1.0,linear,2,False,0.23245131969451904
pi5,"SVR(C=0.1, epsilon=1, kernel='linear')",0.01,1.18,0.77,pi3,0.5,0.2720019956992399,0.4358939936828852,0.24,0.49,linear,2,False,0.23245131969451904
pi2,SVR(C=10),0.01,0.31,0.94,pi4,2.59,-1.6490362899661704,0.9896971260436568,0.35,0.36,rbf,3,False,0.3422623872756958
pi4,"SVR(C=10, epsilon=0.5)",0.01,0.28,0.99,pi2,1.6,-0.6148273579381558,0.9416615562001105,0.35,0.4,rbf,3,False,0.3422623872756958
pi2,"SVR(C=0.1, kernel='linear')",0.0,0.32,0.94,pi4,0.07,0.8685699788556733,0.9878412418557005,0.35,0.36,linear,3,False,0.3422623872756958
pi4,SVR(kernel='linear'),0.02,0.85,0.99,pi2,0.07,0.913270774651638,0.9405991477534519,0.35,0.4,linear,3,False,0.3422623872756958
