model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,"SVR(C=10, epsilon=0.5)",0.02,0.69,0.99,pi4,0.11,0.8777580102013456,0.9589046186680826,0.11,0.63,rbf,1,False,0.11139655113220215
pi4,"SVR(C=10, epsilon=0.5)",0.02,0.74,0.96,pi2,0.01,0.9493939654042447,0.9898694821620307,0.11,0.85,rbf,1,False,0.11139655113220215
pi2,"SVR(C=10, epsilon=0.5, kernel='linear')",0.23,4.82,0.99,pi4,0.13,0.8604544124527259,0.8644339747889771,0.11,0.63,linear,1,False,0.11139655113220215
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.01,6.63,0.86,pi2,0.11,0.9751347568597041,0.9868699944743982,0.11,0.85,linear,1,False,0.11139655113220215
pi2,"SVR(C=10, epsilon=5)",0.0,0.68,0.35,pi4,0.22,0.1327582543359066,0.33141932115236306,0.19,0.48,rbf,2,False,0.19776177406311035
pi4,"SVR(C=1, epsilon=2)",0.02,0.83,0.33,pi2,0.27,0.06315474509684404,0.3506393737737279,0.19,0.76,rbf,2,False,0.19776177406311035
pi2,"SVR(C=10, epsilon=2, kernel='linear')",0.02,1.3,0.2,pi4,0.61,-0.40377244877756713,-0.00770419324421967,0.19,0.48,linear,2,False,0.19776177406311035
pi4,"SVR(C=0.01, epsilon=2, kernel='linear')",0.01,0.93,-0.01,pi2,0.14,0.12817932109945163,0.20161705371462513,0.19,0.76,linear,2,False,0.19776177406311035
pi2,SVR(),0.02,0.28,0.95,pi4,2.78,-1.8295991723402425,0.987027317864427,0.31,0.34,rbf,3,False,0.3135366141796112
pi4,"SVR(C=10, epsilon=0.5)",0.01,0.29,0.99,pi2,0.6,0.3821212540832176,0.9498830284958654,0.31,0.42,rbf,3,False,0.3135366141796112
pi2,"SVR(C=0.01, kernel='linear')",0.0,0.39,0.95,pi4,0.03,0.9214616625135024,0.9830872064840487,0.31,0.34,linear,3,False,0.3135366141796112
pi4,SVR(kernel='linear'),0.02,1.11,0.98,pi2,0.05,0.9294865695657399,0.9500476455663177,0.31,0.42,linear,3,False,0.3135366141796112
