model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.04,0.81,0.99,pi4,0.1,0.8928114014368749,0.962507519448894,0.11,0.58,rbf,1,False,0.10828635096549988
pi4,"SVR(C=10, epsilon=0.5)",0.02,0.83,0.96,pi2,0.03,0.9368562503285333,0.9889429006458075,0.11,0.87,rbf,1,False,0.10828635096549988
pi2,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.01,7.28,0.99,pi4,0.06,0.922533038203155,0.9249209022108736,0.11,0.58,linear,1,False,0.10828635096549988
pi4,"SVR(C=0.1, epsilon=1, kernel='linear')",0.01,6.34,0.92,pi2,0.05,0.974892471570019,0.9852226789051477,0.11,0.87,linear,1,False,0.10828635096549988
pi2,"SVR(C=10, epsilon=5)",0.0,0.67,0.35,pi4,0.23,0.1213762741108414,0.3775805408170536,0.2,0.44,rbf,2,False,0.20897647738456726
pi4,"SVR(C=1, epsilon=2)",0.02,0.8,0.38,pi2,0.46,-0.08319764750125169,0.34886945259686497,0.2,0.74,rbf,2,False,0.20897647738456726
pi3,"SVR(C=10, epsilon=2)",0.01,0.69,0.65,pi5,1.29,-0.6389788235989429,0.38144981136236245,0.22,0.97,rbf,2,False,0.20897647738456726
pi5,"SVR(C=10, epsilon=1)",0.01,0.5,0.38,pi3,0.37,0.0072079300245661004,0.6460413630134799,0.22,0.47,rbf,2,False,0.20897647738456726
pi2,"SVR(C=0.01, epsilon=2, kernel='linear')",0.0,1.33,0.2,pi4,0.6,-0.39658735257634703,-0.008563567185916998,0.2,0.44,linear,2,False,0.20897647738456726
pi4,SVR(kernel='linear'),0.02,0.97,-0.01,pi2,0.17,0.15853819065756003,0.20455180731460676,0.2,0.74,linear,2,False,0.20897647738456726
pi3,"SVR(C=10, epsilon=2, kernel='linear')",0.03,1.64,0.49,pi5,0.21,0.2810299324148823,0.27114151887820215,0.22,0.97,linear,2,False,0.20897647738456726
pi5,SVR(kernel='linear'),0.03,0.97,0.27,pi3,0.19,0.46349730524938837,0.49382474198486204,0.22,0.47,linear,2,False,0.20897647738456726
pi2,SVR(),0.01,0.3,0.95,pi4,2.66,-1.7100124379041373,0.9861415674033962,0.31,0.34,rbf,3,False,0.3105342388153076
pi4,"SVR(C=10, epsilon=0.5)",0.01,0.3,0.99,pi2,0.5,0.48363116169913545,0.9472270394638992,0.31,0.44,rbf,3,False,0.3105342388153076
pi2,"SVR(C=0.01, kernel='linear')",0.0,0.36,0.95,pi4,0.02,0.9323159726506003,0.9838389343786607,0.31,0.34,linear,3,False,0.3105342388153076
pi4,"SVR(C=10, kernel='linear')",0.1,0.95,0.98,pi2,0.06,0.923291982059862,0.9498191724261755,0.31,0.44,linear,3,False,0.3105342388153076
