model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.04,0.71,0.99,pi4,0.09,0.8997465601419296,0.9624923895067357,0.15,0.62,rbf,1,False,0.1497630774974823
pi4,"SVR(C=10, epsilon=1)",0.02,0.84,0.96,pi2,0.03,0.9339827706899697,0.9911175111071827,0.15,0.87,rbf,1,False,0.1497630774974823
pi2,"SVR(C=1, epsilon=0.5, kernel='linear')",0.07,5.44,0.99,pi4,0.06,0.9293438440786623,0.9303259464483566,0.15,0.62,linear,1,False,0.1497630774974823
pi4,"SVR(C=10, epsilon=1, kernel='linear')",0.16,9.58,0.93,pi2,0.05,0.9771348584730024,0.9864285014005476,0.15,0.87,linear,1,False,0.1497630774974823
pi2,"SVR(C=10, epsilon=5)",0.01,0.81,0.35,pi4,0.42,-0.07564208781077131,0.3534646851170562,0.2,0.41,rbf,2,False,0.22425076365470886
pi4,"SVR(C=10, epsilon=1)",0.03,0.99,0.35,pi2,0.53,-0.17435250352279552,0.34754577499009676,0.2,0.73,rbf,2,False,0.22425076365470886
pi2,"SVR(C=10, epsilon=2, kernel='linear')",0.03,1.4,0.21,pi4,0.78,-0.5740965972582819,0.019630477203831043,0.2,0.41,linear,2,False,0.22425076365470886
pi4,"SVR(C=0.01, epsilon=2, kernel='linear')",0.01,1.05,0.02,pi2,0.1,0.12157078115462205,0.20872195795972326,0.2,0.73,linear,2,False,0.22425076365470886
pi2,SVR(),0.01,0.28,0.94,pi4,2.58,-1.6453760158655135,0.9866473567989864,0.35,0.3,rbf,3,False,0.3471313714981079
pi4,"SVR(C=10, epsilon=0.5)",0.01,0.29,0.99,pi2,0.14,0.8454020425983411,0.938865021286461,0.35,0.44,rbf,3,False,0.3471313714981079
pi2,"SVR(C=0.01, kernel='linear')",0.0,0.28,0.94,pi4,0.01,0.9268559641777999,0.9830981691121431,0.35,0.3,linear,3,False,0.3471313714981079
pi4,"SVR(C=0.01, kernel='linear')",0.0,0.82,0.98,pi2,0.08,0.9038747935416203,0.9377585074936008,0.35,0.44,linear,3,False,0.3471313714981079
