model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,"SVR(C=10, epsilon=0.5)",0.02,0.66,0.99,pi4,0.09,0.8976224429681702,0.962420744407986,0.1,0.62,rbf,1,False,0.09730534255504608
pi4,"SVR(C=10, epsilon=1)",0.01,0.71,0.96,pi2,0.01,0.948749592742276,0.989704762154897,0.1,0.83,rbf,1,False,0.09730534255504608
pi2,"SVR(C=0.01, epsilon=0.5, kernel='linear')",0.01,4.95,0.99,pi4,0.12,0.8679679783843148,0.8783990464979126,0.1,0.62,linear,1,False,0.09730534255504608
pi4,"SVR(C=1, epsilon=0.5, kernel='linear')",0.04,4.6,0.88,pi2,0.08,0.9619460541125929,0.9874922328347956,0.1,0.83,linear,1,False,0.09730534255504608
pi2,"SVR(C=10, epsilon=5)",0.01,0.82,0.36,pi4,0.28,0.07760146550237623,0.3890203903138981,0.19,0.44,rbf,2,False,0.19585904479026794
pi4,"SVR(C=10, epsilon=2)",0.02,0.82,0.39,pi2,0.62,-0.23363203584044312,0.35976798131016596,0.19,0.78,rbf,2,False,0.19585904479026794
pi3,"SVR(C=10, epsilon=2)",0.01,0.69,0.66,pi5,0.7,-0.04208519426475643,0.45057929890179316,0.2,0.97,rbf,2,False,0.19585904479026794
pi5,"SVR(C=10, epsilon=1)",0.01,0.53,0.45,pi3,0.46,-0.004807518210895978,0.6619477659554152,0.2,0.47,rbf,2,False,0.19585904479026794
pi2,"SVR(C=0.01, epsilon=2, kernel='linear')",0.0,1.33,0.21,pi4,0.51,-0.3034479237258658,-0.00787783764274752,0.19,0.44,linear,2,False,0.19585904479026794
pi4,"SVR(C=1, epsilon=2, kernel='linear')",0.02,0.96,-0.01,pi2,0.17,0.15976327489243924,0.20711680828228363,0.19,0.78,linear,2,False,0.19585904479026794
pi3,"SVR(C=0.01, epsilon=1, kernel='linear')",0.01,1.79,0.55,pi5,0.24,0.31482408017998464,0.3131424273046246,0.2,0.97,linear,2,False,0.19585904479026794
pi5,"SVR(C=0.01, kernel='linear')",0.01,1.0,0.31,pi3,0.23,0.5420425191779183,0.5535773558203501,0.2,0.47,linear,2,False,0.19585904479026794
pi2,SVR(),0.01,0.31,0.95,pi4,2.74,-1.795546011492243,0.9872606818914641,0.31,0.32,rbf,3,False,0.3108676075935364
pi4,SVR(C=10),0.01,0.29,0.99,pi2,0.83,0.15420298925076492,0.9454336497363217,0.31,0.43,rbf,3,False,0.3108676075935364
pi2,SVR(kernel='linear'),0.01,0.38,0.95,pi4,0.04,0.9086738513239166,0.9847821010208422,0.31,0.32,linear,3,False,0.3108676075935364
pi4,"SVR(C=0.1, kernel='linear')",0.01,1.02,0.98,pi2,0.07,0.918315041419014,0.948477318632013,0.31,0.43,linear,3,False,0.3108676075935364
