model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,"SVR(C=10, epsilon=0.5)",0.02,0.71,0.99,pi4,0.1,0.8883870623281115,0.9547468617913313,0.14,0.71,rbf,1,False,0.14191411435604095
pi4,"SVR(C=10, epsilon=0.5)",0.02,0.76,0.95,pi2,0.01,0.940846704693419,0.9894944025989352,0.14,0.88,rbf,1,False,0.14191411435604095
pi2,"SVR(C=0.1, epsilon=1, kernel='linear')",0.01,5.51,0.99,pi4,0.08,0.9113362520021393,0.9109732383056566,0.14,0.71,linear,1,False,0.14191411435604095
pi4,"SVR(C=10, epsilon=2, kernel='linear')",0.19,5.97,0.91,pi2,0.07,0.978586291681261,0.986421800338976,0.14,0.88,linear,1,False,0.14191411435604095
pi2,"SVR(C=10, epsilon=5)",0.0,0.76,0.3,pi4,0.32,-0.020272467322618892,0.5990457873751198,0.21,0.32,rbf,2,False,0.2337302565574646
pi4,"SVR(C=10, epsilon=2)",0.01,0.81,0.6,pi2,1.37,-0.7714721139360055,0.3022559212932525,0.21,0.7,rbf,2,False,0.2337302565574646
pi3,"SVR(C=10, epsilon=2)",0.01,0.86,0.58,pi5,0.88,-0.29489538468543786,0.9027218876240646,0.24,1.0,rbf,2,False,0.2337302565574646
pi5,SVR(C=10),0.04,0.52,0.9,pi3,0.96,-0.05834340254945358,0.5813537928203851,0.24,0.31,rbf,2,False,0.2337302565574646
pi2,"SVR(C=0.01, epsilon=1, kernel='linear')",0.01,1.35,0.21,pi4,0.26,-0.04919925652398893,0.1448674790228407,0.21,0.32,linear,2,False,0.2337302565574646
pi4,"SVR(C=0.1, epsilon=5, kernel='linear')",0.01,1.14,0.14,pi2,0.25,-0.10309359573874066,0.20657466651828182,0.21,0.7,linear,2,False,0.2337302565574646
pi3,"SVR(C=10, epsilon=0.5, kernel='linear')",0.05,1.43,0.47,pi5,0.05,0.5212712451681967,0.787109983280377,0.24,1.0,linear,2,False,0.2337302565574646
pi5,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.01,1.19,0.79,pi3,0.42,0.3622469936340499,0.46660036917464254,0.24,0.31,linear,2,False,0.2337302565574646
pi2,SVR(),0.01,0.3,0.94,pi4,2.38,-1.4392393724946388,0.9880631788660245,0.33,0.33,rbf,3,False,0.3338930010795593
pi4,"SVR(C=10, epsilon=0.5)",0.01,0.29,0.99,pi2,0.19,0.8018107500124911,0.9371614103664019,0.33,0.43,rbf,3,False,0.3338930010795593
pi2,"SVR(C=0.01, kernel='linear')",0.0,0.29,0.94,pi4,0.02,0.9109106090141856,0.9853109255557061,0.33,0.33,linear,3,False,0.3338930010795593
pi4,"SVR(C=10, kernel='linear')",0.04,0.56,0.99,pi2,0.08,0.9069966842192662,0.9350093364015916,0.33,0.43,linear,3,False,0.3338930010795593
