model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,"SVR(C=10, epsilon=0.5)",0.02,0.72,0.99,pi4,0.11,0.8840548949282556,0.9512862350182264,0.15,0.58,rbf,1,False,0.1500312238931656
pi4,"SVR(C=10, epsilon=1)",0.02,0.87,0.95,pi2,0.02,0.9327803227258242,0.9908227860887303,0.15,0.85,rbf,1,False,0.1500312238931656
pi2,"SVR(C=10, epsilon=0.5, kernel='linear')",0.31,4.52,0.99,pi4,0.08,0.9102912744446695,0.9072271980329457,0.15,0.58,linear,1,False,0.1500312238931656
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.01,6.71,0.91,pi2,0.07,0.978978427217597,0.9867836748759128,0.15,0.85,linear,1,False,0.1500312238931656
pi2,"SVR(C=10, epsilon=5)",0.0,0.78,0.33,pi4,0.47,-0.1417528303982083,0.6487561909264143,0.2,0.51,rbf,2,False,0.21295824646949768
pi4,"SVR(C=10, epsilon=1)",0.02,0.74,0.65,pi2,0.89,-0.24370960548323195,0.33125711529682134,0.2,0.73,rbf,2,False,0.21295824646949768
pi2,"SVR(C=0.1, epsilon=2, kernel='linear')",0.0,1.25,0.22,pi4,0.62,-0.3958119668974962,0.13427082479105745,0.2,0.51,linear,2,False,0.21295824646949768
pi4,"SVR(C=1, epsilon=5, kernel='linear')",0.01,1.0,0.13,pi2,0.04,0.1703046874222186,0.2212964083048169,0.2,0.73,linear,2,False,0.21295824646949768
pi2,SVR(),0.01,0.26,0.94,pi4,2.3,-1.355942744904683,0.9889368171198726,0.34,0.35,rbf,3,False,0.3404504358768463
pi4,SVR(C=10),0.01,0.29,0.99,pi2,0.83,0.16272241598179182,0.9396385656545366,0.34,0.41,rbf,3,False,0.3404504358768463
pi2,"SVR(C=0.01, kernel='linear')",0.0,0.32,0.94,pi4,0.0,0.9374262787325738,0.9853954254842953,0.34,0.35,linear,3,False,0.3404504358768463
pi4,SVR(kernel='linear'),0.02,1.16,0.99,pi2,0.08,0.9084934264872789,0.9371285752511067,0.34,0.41,linear,3,False,0.3404504358768463
