model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,"SVR(C=10, epsilon=0.5)",0.02,0.65,0.99,pi4,0.09,0.9000086306682265,0.9569321479439366,0.12,0.62,rbf,1,False,0.12122765183448792
pi4,"SVR(C=10, epsilon=1)",0.01,0.75,0.96,pi2,0.01,0.9451628865455601,0.9906792926964391,0.12,0.87,rbf,1,False,0.12122765183448792
pi2,"SVR(C=0.01, epsilon=0.5, kernel='linear')",0.01,4.09,0.99,pi4,0.07,0.9208072270760839,0.9246376824432696,0.12,0.62,linear,1,False,0.12122765183448792
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.01,7.25,0.92,pi2,0.05,0.9750874309424193,0.9873206870859544,0.12,0.87,linear,1,False,0.12122765183448792
pi2,"SVR(C=10, epsilon=5)",0.01,0.67,0.34,pi4,0.2,0.1403683003246884,0.3052988484689577,0.19,0.44,rbf,2,False,0.19810143113136292
pi4,"SVR(C=1, epsilon=2)",0.03,1.2,0.31,pi2,0.25,0.05706938897164926,0.34451024167114364,0.19,0.75,rbf,2,False,0.19810143113136292
pi3,"SVR(C=10, epsilon=2)",0.02,1.19,0.62,pi5,0.97,-0.34260838786180203,0.5631634161567836,0.21,0.98,rbf,2,False,0.19810143113136292
pi5,"SVR(C=10, epsilon=0.5)",0.03,0.83,0.56,pi3,0.45,0.11492454487821646,0.6235361193465618,0.21,0.45,rbf,2,False,0.19810143113136292
pi2,"SVR(C=10, epsilon=2, kernel='linear')",0.03,1.92,0.19,pi4,0.61,-0.41917478722352675,-0.02103273423371621,0.19,0.44,linear,2,False,0.19810143113136292
pi4,"SVR(C=0.01, epsilon=5, kernel='linear')",0.01,1.27,-0.02,pi2,0.52,-0.5373849435959002,0.19254719980234758,0.19,0.75,linear,2,False,0.19810143113136292
pi3,"SVR(C=0.1, epsilon=2, kernel='linear')",0.01,2.65,0.46,pi5,0.05,0.40915413725949557,0.4818759410326301,0.21,0.98,linear,2,False,0.19810143113136292
pi5,"SVR(C=0.01, kernel='linear')",0.01,1.26,0.48,pi3,0.12,0.36341328591641664,0.45800396683615596,0.21,0.45,linear,2,False,0.19810143113136292
pi2,"SVR(C=10, epsilon=0.5)",0.0,0.35,0.95,pi4,2.44,-1.487529974599711,0.9876772324181439,0.29,0.32,rbf,3,False,0.294959157705307
pi4,"SVR(C=10, epsilon=0.5)",0.01,0.38,0.99,pi2,0.48,0.5107445005037203,0.9482371232446183,0.29,0.44,rbf,3,False,0.294959157705307
pi2,SVR(kernel='linear'),0.01,0.46,0.95,pi4,0.02,0.9284076878757463,0.984480204060184,0.29,0.32,linear,3,False,0.294959157705307
pi4,"SVR(C=0.01, kernel='linear')",0.01,1.54,0.98,pi2,0.06,0.922053493417481,0.9488977570212829,0.29,0.44,linear,3,False,0.294959157705307
