model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,"SVR(C=10, epsilon=0.5)",0.03,0.81,0.99,pi4,0.12,0.871083673627305,0.952954306931932,0.13,0.67,rbf,1,False,0.12820406258106232
pi4,"SVR(C=10, epsilon=0.5)",0.02,0.9,0.95,pi2,0.02,0.9363750716634376,0.9888753687266238,0.13,0.94,rbf,1,False,0.12820406258106232
pi2,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.02,5.69,0.99,pi4,0.08,0.9092664628293907,0.9091925596186595,0.13,0.67,linear,1,False,0.12820406258106232
pi4,"SVR(C=10, epsilon=2, kernel='linear')",0.17,6.22,0.91,pi2,0.07,0.9805514107777755,0.986180942130936,0.13,0.94,linear,1,False,0.12820406258106232
pi2,"SVR(C=10, epsilon=2)",0.01,0.74,0.29,pi4,0.11,0.1788166435699502,0.5142338803342499,0.21,0.48,rbf,2,False,0.2204607129096985
pi4,"SVR(C=10, epsilon=1)",0.03,1.0,0.51,pi2,1.31,-0.7953502904748793,0.28557910443901824,0.21,0.8,rbf,2,False,0.2204607129096985
pi3,SVR(),0.03,0.78,0.64,pi5,0.1,0.5416343441834537,0.90342166443842,0.23,1.0,rbf,2,False,0.2204607129096985
pi5,SVR(C=10),0.03,0.55,0.9,pi3,0.88,0.027787470778255163,0.6427906135824182,0.23,0.59,rbf,2,False,0.2204607129096985
pi2,"SVR(C=1, epsilon=1, kernel='linear')",0.01,1.46,0.24,pi4,0.37,-0.1241279695730737,0.057260917237627496,0.21,0.48,linear,2,False,0.2204607129096985
pi4,"SVR(C=0.1, epsilon=2, kernel='linear')",0.02,1.15,0.06,pi2,0.13,0.18432356729586818,0.24388038690476943,0.21,0.8,linear,2,False,0.2204607129096985
pi3,"SVR(C=10, epsilon=2, kernel='linear')",0.03,1.3,0.56,pi5,0.19,0.7471570561499921,0.8123356260531301,0.23,1.0,linear,2,False,0.2204607129096985
pi5,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.01,1.52,0.81,pi3,0.38,0.4282287353791919,0.5555258341562235,0.23,0.59,linear,2,False,0.2204607129096985
pi2,SVR(),0.01,0.26,0.94,pi4,2.47,-1.5328701483990592,0.9874734219135758,0.31,0.31,rbf,3,False,0.3156243860721588
pi4,"SVR(C=10, epsilon=0.5)",0.01,0.3,0.99,pi2,0.15,0.8355139504115083,0.9382056910315175,0.31,0.46,rbf,3,False,0.3156243860721588
pi2,"SVR(C=10, kernel='linear')",0.02,0.3,0.94,pi4,0.1,0.8325878055739531,0.9849305240049238,0.31,0.31,linear,3,False,0.3156243860721588
pi4,SVR(kernel='linear'),0.01,0.78,0.98,pi2,0.08,0.903186131495363,0.9374286115791807,0.31,0.46,linear,3,False,0.3156243860721588
