model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.04,0.74,0.99,pi4,0.11,0.884059940215627,0.9581551766445076,0.13,0.65,rbf,1,False,0.1311882883310318
pi4,"SVR(C=10, epsilon=1)",0.02,0.84,0.96,pi2,0.02,0.9383476962796204,0.9909504956414165,0.13,0.92,rbf,1,False,0.1311882883310318
pi2,"SVR(C=10, epsilon=0.5, kernel='linear')",0.25,3.8,0.99,pi4,0.07,0.9213331511265911,0.9232806580515038,0.13,0.65,linear,1,False,0.1311882883310318
pi4,"SVR(C=1, epsilon=2, kernel='linear')",0.02,6.73,0.92,pi2,0.06,0.9827064932838283,0.9883623285122287,0.13,0.92,linear,1,False,0.1311882883310318
pi2,"SVR(C=10, epsilon=2)",0.01,0.88,0.31,pi4,0.21,0.09704414730032085,0.5878652048798778,0.22,0.32,rbf,2,False,0.2228166162967682
pi4,"SVR(C=10, epsilon=1)",0.02,0.84,0.59,pi2,1.04,-0.4522553073481823,0.30559689204619767,0.22,0.77,rbf,2,False,0.2228166162967682
pi3,SVR(C=10),0.04,0.77,0.72,pi5,0.21,0.5019949190810107,0.8912261846088793,0.22,1.0,rbf,2,False,0.2228166162967682
pi5,SVR(),0.03,0.49,0.89,pi3,1.33,-0.43746464941549656,0.7155547986952718,0.22,0.54,rbf,2,False,0.2228166162967682
pi2,"SVR(C=0.01, epsilon=1, kernel='linear')",0.0,1.36,0.19,pi4,0.23,-0.04079214781908891,0.1503317361163654,0.22,0.32,linear,2,False,0.2228166162967682
pi4,"SVR(C=0.01, epsilon=5, kernel='linear')",0.0,0.96,0.15,pi2,0.04,0.1879766614360564,0.18921359684926353,0.22,0.77,linear,2,False,0.2228166162967682
pi3,"SVR(C=10, epsilon=1, kernel='linear')",0.04,1.51,0.6,pi5,0.07,0.6744859611999621,0.759506947037718,0.22,1.0,linear,2,False,0.2228166162967682
pi5,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.01,0.92,0.76,pi3,0.31,0.4475089307274679,0.6030417627928963,0.22,0.54,linear,2,False,0.2228166162967682
pi2,SVR(C=10),0.01,0.26,0.94,pi4,3.04,-2.0947262755147027,0.9874831432204151,0.36,0.26,rbf,3,False,0.3651232421398163
pi4,"SVR(C=10, epsilon=0.5)",0.01,0.27,0.99,pi2,1.67,-0.6781804704767875,0.9425013961863484,0.36,0.43,rbf,3,False,0.3651232421398163
pi2,"SVR(C=0.01, kernel='linear')",0.0,0.29,0.94,pi4,0.03,0.9132653664175517,0.9827684264241611,0.36,0.26,linear,3,False,0.3651232421398163
pi4,SVR(kernel='linear'),0.01,1.22,0.98,pi2,0.07,0.9147418763063451,0.9426356559139428,0.36,0.43,linear,3,False,0.3651232421398163
