model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,"SVR(C=10, epsilon=0.5)",0.02,0.7,0.99,pi4,0.1,0.8887412290542721,0.9638375522098757,0.13,0.6,rbf,1,False,0.13107889890670776
pi4,"SVR(C=10, epsilon=0.5)",0.02,0.76,0.96,pi2,0.02,0.9421010879577161,0.9895441305998373,0.13,0.86,rbf,1,False,0.13107889890670776
pi2,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.02,4.93,0.99,pi4,0.06,0.9226038770659685,0.9221392352572361,0.13,0.6,linear,1,False,0.13107889890670776
pi4,"SVR(C=1, epsilon=1, kernel='linear')",0.03,6.25,0.92,pi2,0.05,0.9765278908584039,0.9859159826162068,0.13,0.86,linear,1,False,0.13107889890670776
pi2,"SVR(C=10, epsilon=5)",0.0,0.67,0.35,pi4,0.26,0.08348626021041172,0.3576787383130948,0.2,0.47,rbf,2,False,0.2073100209236145
pi4,"SVR(C=10, epsilon=2)",0.02,0.79,0.36,pi2,0.51,-0.15070330272395926,0.3482981096001634,0.2,0.77,rbf,2,False,0.2073100209236145
pi3,"SVR(C=10, epsilon=2)",0.01,0.7,0.67,pi5,2.4,-1.7232449448555305,0.44750822744174246,0.22,0.98,rbf,2,False,0.2073100209236145
pi5,"SVR(C=10, epsilon=0.5)",0.01,0.5,0.45,pi3,0.33,0.117182788198402,0.6738064269150283,0.22,0.45,rbf,2,False,0.2073100209236145
pi2,"SVR(C=10, epsilon=2, kernel='linear')",0.03,1.28,0.21,pi4,0.58,-0.37741365723648523,-0.03227974695993341,0.2,0.47,linear,2,False,0.2073100209236145
pi4,"SVR(C=1, epsilon=2, kernel='linear')",0.02,0.91,-0.03,pi2,0.19,0.15522883107458163,0.20642380220494616,0.2,0.77,linear,2,False,0.2073100209236145
pi3,"SVR(C=10, epsilon=2, kernel='linear')",0.05,1.74,0.45,pi5,0.08,0.36439530197153847,0.36499698669439884,0.22,0.98,linear,2,False,0.2073100209236145
pi5,"SVR(C=0.01, kernel='linear')",0.01,1.07,0.36,pi3,0.04,0.40939843910726736,0.4456056727565767,0.22,0.45,linear,2,False,0.2073100209236145
pi2,SVR(C=10),0.01,0.29,0.95,pi4,2.67,-1.7198547042347228,0.9879551275804445,0.3,0.34,rbf,3,False,0.29965445399284363
pi4,"SVR(C=10, epsilon=0.5)",0.01,0.29,0.99,pi2,0.53,0.45673485907743394,0.9492013928788794,0.3,0.43,rbf,3,False,0.29965445399284363
pi2,SVR(kernel='linear'),0.01,0.41,0.95,pi4,0.03,0.925899993195999,0.9844764684486371,0.3,0.34,linear,3,False,0.29965445399284363
pi4,SVR(kernel='linear'),0.02,1.49,0.98,pi2,0.06,0.9264262297648265,0.9513704487484795,0.3,0.43,linear,3,False,0.29965445399284363
