model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.03,0.64,0.99,pi4,0.09,0.8989397346106281,0.9626047566322631,0.11,0.6,rbf,1,False,0.11227618157863617
pi4,"SVR(C=10, epsilon=0.5)",0.02,0.75,0.96,pi2,0.02,0.9440280374658908,0.9890108517593813,0.11,0.85,rbf,1,False,0.11227618157863617
pi2,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.02,4.42,0.99,pi4,0.07,0.9203079871992107,0.9245657860294778,0.11,0.6,linear,1,False,0.11227618157863617
pi4,"SVR(C=10, epsilon=1, kernel='linear')",0.09,7.57,0.92,pi2,0.05,0.9740602687270951,0.9864569973905106,0.11,0.85,linear,1,False,0.11227618157863617
pi2,"SVR(C=10, epsilon=5)",0.01,0.69,0.36,pi4,0.25,0.1056883718366819,0.34551866814369236,0.18,0.46,rbf,2,False,0.20055004954338074
pi4,"SVR(C=10, epsilon=2)",0.02,0.81,0.35,pi2,0.42,-0.07681455907945645,0.35762029624421554,0.18,0.76,rbf,2,False,0.20055004954338074
pi2,"SVR(C=10, epsilon=1, kernel='linear')",0.03,1.28,0.18,pi4,0.38,-0.20383598147044335,0.002166840482932031,0.18,0.46,linear,2,False,0.20055004954338074
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.01,0.91,0.0,pi2,0.18,0.17886921192327365,0.1765227306418372,0.18,0.76,linear,2,False,0.20055004954338074
pi2,SVR(),0.01,0.29,0.95,pi4,2.94,-1.9923155227803981,0.9871752325159806,0.32,0.3,rbf,3,False,0.31634411215782166
pi4,"SVR(C=10, epsilon=0.5)",0.01,0.3,0.99,pi2,0.4,0.5900875091719958,0.9488681355083508,0.32,0.42,rbf,3,False,0.31634411215782166
pi2,"SVR(C=0.01, kernel='linear')",0.0,0.42,0.95,pi4,0.03,0.9212596325281049,0.9838794180461446,0.32,0.3,linear,3,False,0.31634411215782166
pi4,SVR(kernel='linear'),0.02,1.15,0.98,pi2,0.06,0.9213353899864672,0.9500515811298647,0.32,0.42,linear,3,False,0.31634411215782166
