model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.03,0.39,0.99,pi3,0.08,0.9102180320456295,0.978422230640187,0.03,0.72,rbf,1,True,0.04499948024749756
pi3,SVR(),0.03,0.45,0.98,pi2,0.06,0.9158079164940445,0.991478328988292,0.03,0.61,rbf,1,True,0.04499948024749756
pi3,SVR(),0.03,0.45,0.98,pi4,0.11,0.864854933832568,0.9626797635164088,0.04,0.3,rbf,1,True,0.04499948024749756
pi4,SVR(C=10),0.03,0.42,0.96,pi3,0.04,0.9263860083365879,0.978422230640187,0.04,0.96,rbf,1,True,0.04499948024749756
pi2,SVR(kernel='linear'),0.02,0.31,0.99,pi3,0.07,0.9223504470380862,0.9213002869481954,0.03,0.72,linear,1,True,0.04499948024749756
pi3,SVR(kernel='linear'),0.02,0.37,0.92,pi2,0.07,0.987332083287618,0.9879694566094198,0.03,0.61,linear,1,True,0.04499948024749756
pi3,SVR(kernel='linear'),0.02,0.37,0.92,pi4,0.01,0.9295208531399216,0.9234825833579761,0.04,0.3,linear,1,True,0.04499948024749756
pi4,"SVR(C=10, kernel='linear')",0.03,0.35,0.92,pi3,0.01,0.9118559536520094,0.9213002869481954,0.04,0.96,linear,1,True,0.04499948024749756
pi2,"SVR(C=1, epsilon=0.5)",0.01,0.41,0.31,pi3,0.04,0.35006859941289925,0.5718148325254646,0.03,0.37,rbf,2,True,0.03794415791829427
pi3,"SVR(C=10, epsilon=0.5)",0.01,0.38,0.57,pi2,0.21,0.36438115634933077,0.3076582804638395,0.03,0.75,rbf,2,True,0.03794415791829427
pi3,"SVR(C=10, epsilon=0.5)",0.01,0.38,0.57,pi5,0.47,0.10039768790788717,0.2834227408094758,0.03,0.83,rbf,2,True,0.03794415791829427
pi5,"SVR(C=10, epsilon=0.5)",0.01,0.37,0.28,pi3,0.06,0.22422705794654996,0.5718148325254646,0.03,0.9,rbf,2,True,0.03794415791829427
pi2,"SVR(C=1, epsilon=0.5, kernel='linear')",0.01,0.46,0.23,pi3,0.14,0.36537227497361313,0.44410725037745147,0.03,0.37,linear,2,True,0.03794415791829427
pi3,"SVR(C=1, epsilon=0.5, kernel='linear')",0.0,0.33,0.44,pi2,0.22,0.21934306003685788,0.22518921690605698,0.03,0.75,linear,2,True,0.03794415791829427
pi3,"SVR(C=1, epsilon=0.5, kernel='linear')",0.0,0.33,0.44,pi5,0.25,0.19081583648986788,0.19640993765367276,0.03,0.83,linear,2,True,0.03794415791829427
pi5,"SVR(C=0.1, kernel='linear')",0.01,0.43,0.2,pi3,0.23,0.4236986847584141,0.44410725037745147,0.03,0.9,linear,2,True,0.03794415791829427
