model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.03,0.61,0.98,pi3,0.07,0.9110937566590709,0.9782025796008722,0.04,0.72,rbf,1,True,0.04453768332799276
pi3,SVR(C=10),0.05,0.64,0.98,pi2,0.07,0.9130601307993229,0.9778485470303476,0.04,0.59,rbf,1,True,0.04453768332799276
pi3,SVR(C=10),0.05,0.64,0.98,pi4,0.05,0.9260002266873646,0.9600890655634488,0.04,0.31,rbf,1,True,0.04453768332799276
pi4,SVR(),0.04,0.65,0.96,pi3,0.0,0.9582361616913858,0.9782025796008722,0.04,0.91,rbf,1,True,0.04453768332799276
pi2,SVR(kernel='linear'),0.02,0.6,0.97,pi3,0.05,0.9258615445112045,0.9255842552296006,0.04,0.72,linear,1,True,0.04453768332799276
pi3,SVR(kernel='linear'),0.03,0.56,0.93,pi2,0.04,0.9704025650900544,0.9749083873964337,0.04,0.59,linear,1,True,0.04453768332799276
pi3,SVR(kernel='linear'),0.03,0.56,0.93,pi4,0.0,0.926891367813379,0.9230496288475045,0.04,0.31,linear,1,True,0.04453768332799276
pi4,SVR(kernel='linear'),0.02,0.66,0.92,pi3,0.0,0.920624237058592,0.9255842552296006,0.04,0.91,linear,1,True,0.04453768332799276
pi2,"SVR(C=0.1, epsilon=0.5)",0.01,0.66,0.31,pi3,0.07,0.38048387921686067,0.6802089655152757,0.03,0.31,rbf,2,True,0.03324810663859049
pi3,"SVR(C=10, epsilon=0.5)",0.02,0.74,0.68,pi2,0.69,-0.005441926062294877,0.31399924392292855,0.03,0.72,rbf,2,True,0.03324810663859049
pi3,"SVR(C=10, epsilon=0.5)",0.02,0.74,0.68,pi5,0.98,-0.2986245487190484,0.43366224568558887,0.03,0.74,rbf,2,True,0.03324810663859049
pi5,"SVR(C=10, epsilon=0.5)",0.01,0.69,0.43,pi3,0.09,0.3426114114496327,0.6802089655152757,0.03,0.74,rbf,2,True,0.03324810663859049
pi2,"SVR(C=10, epsilon=0.5, kernel='linear')",0.02,0.7,0.27,pi3,0.15,0.41182589224136734,0.4675506800322541,0.03,0.31,linear,2,True,0.03324810663859049
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.01,0.73,0.47,pi2,0.24,0.22819986684237403,0.2659945827729224,0.03,0.72,linear,2,True,0.03324810663859049
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.01,0.73,0.47,pi5,0.15,0.3216212834997979,0.33917920870803575,0.03,0.74,linear,2,True,0.03324810663859049
pi5,"SVR(C=0.1, kernel='linear')",0.02,1.43,0.34,pi3,0.13,0.47033903885016937,0.4675506800322541,0.03,0.74,linear,2,True,0.03324810663859049
pi2,SVR(C=10),0.02,0.43,0.95,pi4,0.03,0.9837513496679495,0.9876576569946038,0.02,0.94,rbf,3,True,0.02210831642150879
pi4,SVR(C=10),0.01,0.29,0.99,pi2,0.04,0.9521190805073999,0.9543765261318778,0.02,0.73,rbf,3,True,0.02210831642150879
pi2,"SVR(C=10, kernel='linear')",0.02,0.28,0.96,pi4,0.03,0.9826159475310616,0.9832341190094203,0.02,0.94,linear,3,True,0.02210831642150879
pi4,SVR(kernel='linear'),0.01,0.35,0.98,pi2,0.03,0.95480177605455,0.9552274199308041,0.02,0.73,linear,3,True,0.02210831642150879
