model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.03,0.43,0.99,pi3,0.07,0.9210938993715881,0.9831113363461108,0.04,0.74,rbf,1,True,0.04449880123138428
pi3,SVR(C=10),0.02,0.38,0.98,pi2,0.04,0.9422347697788446,0.991747184993378,0.04,0.63,rbf,1,True,0.04449880123138428
pi3,SVR(C=10),0.02,0.38,0.98,pi4,0.07,0.9152431334149265,0.9634292396457762,0.04,0.37,rbf,1,True,0.04449880123138428
pi4,SVR(C=10),0.02,0.35,0.96,pi3,0.02,0.9467149832425916,0.9831113363461108,0.04,0.98,rbf,1,True,0.04449880123138428
pi2,"SVR(C=10, kernel='linear')",0.03,0.32,0.99,pi3,0.05,0.9359735182270845,0.9345348380530728,0.04,0.74,linear,1,True,0.04449880123138428
pi3,"SVR(C=10, kernel='linear')",0.03,0.36,0.93,pi2,0.05,0.987655517736601,0.9883862527796003,0.04,0.63,linear,1,True,0.04449880123138428
pi3,"SVR(C=10, kernel='linear')",0.03,0.36,0.93,pi4,0.01,0.921361444218616,0.9135216445917048,0.04,0.37,linear,1,True,0.04449880123138428
pi4,"SVR(C=10, kernel='linear')",0.03,0.35,0.91,pi3,0.01,0.9250235645964829,0.9345348380530728,0.04,0.98,linear,1,True,0.04449880123138428
pi3,SVR(),0.04,0.43,0.7,pi5,0.48,0.2123713096316623,0.33730120161021937,0.02,0.79,rbf,2,True,0.03179985284805298
pi5,"SVR(C=10, epsilon=0.5)",0.01,0.49,0.34,pi3,0.03,0.30745387599817775,0.6957675725494652,0.02,0.82,rbf,2,True,0.03179985284805298
pi3,SVR(kernel='linear'),0.01,0.36,0.66,pi5,0.41,0.25124772944520535,0.2541760434356152,0.02,0.79,linear,2,True,0.03179985284805298
pi5,"SVR(C=0.01, kernel='linear')",0.01,0.38,0.25,pi3,0.41,0.6645385675649217,0.6604225861915025,0.02,0.82,linear,2,True,0.03179985284805298
