model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.02,0.32,0.99,pi3,0.04,0.9465868008478413,0.9846945207507474,0.03,0.75,rbf,1,True,0.05502988894780477
pi3,SVR(),0.01,0.38,0.98,pi2,0.03,0.9543804760046669,0.9914591414109539,0.03,0.65,rbf,1,True,0.05502988894780477
pi3,SVR(),0.01,0.38,0.98,pi4,0.08,0.9054917945019306,0.9539305909804366,0.05,0.31,rbf,1,True,0.05502988894780477
pi4,SVR(C=10),0.03,0.38,0.95,pi3,0.0,0.953166781913316,0.9846945207507474,0.05,0.93,rbf,1,True,0.05502988894780477
pi2,SVR(kernel='linear'),0.01,0.28,0.99,pi3,0.04,0.9521127857074547,0.9527713308997001,0.03,0.75,linear,1,True,0.05502988894780477
pi3,SVR(kernel='linear'),0.01,0.31,0.95,pi2,0.03,0.9871595559323835,0.9878536600736851,0.03,0.65,linear,1,True,0.05502988894780477
pi3,SVR(kernel='linear'),0.01,0.31,0.95,pi4,0.03,0.920640288409921,0.9131268434267155,0.05,0.31,linear,1,True,0.05502988894780477
pi4,"SVR(C=10, kernel='linear')",0.04,0.34,0.91,pi3,0.03,0.9481014262679571,0.9527713308997001,0.05,0.93,linear,1,True,0.05502988894780477
pi2,SVR(),0.03,0.34,0.85,pi3,0.69,0.15733253822984505,0.584405827849999,0.03,0.35,rbf,2,True,0.035186171531677246
pi3,"SVR(C=1, epsilon=0.5)",0.01,0.49,0.58,pi2,1.23,-0.6406940978142803,0.8467206389465359,0.03,0.83,rbf,2,True,0.035186171531677246
pi3,"SVR(C=1, epsilon=0.5)",0.01,0.49,0.58,pi5,0.5,0.08749666110610355,0.35031140045648657,0.03,0.78,rbf,2,True,0.035186171531677246
pi5,SVR(C=10),0.04,0.57,0.35,pi3,0.01,0.3578403124235333,0.584405827849999,0.03,0.83,rbf,2,True,0.035186171531677246
pi2,SVR(kernel='linear'),0.01,0.31,0.77,pi3,0.56,0.2079135692648616,0.4293915602247588,0.03,0.35,linear,2,True,0.035186171531677246
pi3,"SVR(C=10, epsilon=0.5, kernel='linear')",0.01,0.41,0.43,pi2,0.58,-0.15099546058831592,0.7657099538094028,0.03,0.83,linear,2,True,0.035186171531677246
pi3,"SVR(C=10, epsilon=0.5, kernel='linear')",0.01,0.41,0.43,pi5,0.16,0.2669402172255152,0.2717194957427369,0.03,0.78,linear,2,True,0.035186171531677246
pi5,"SVR(C=0.1, kernel='linear')",0.01,0.63,0.27,pi3,0.14,0.41240646849442675,0.4293915602247588,0.03,0.83,linear,2,True,0.035186171531677246
