model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.03,0.53,0.98,pi3,0.07,0.9069987907079812,0.9798025328753384,0.04,0.71,rbf,1,True,0.04449160893758138
pi3,SVR(C=10),0.05,0.64,0.98,pi2,0.06,0.9240594601275416,0.9780467507211389,0.04,0.59,rbf,1,True,0.04449160893758138
pi3,SVR(C=10),0.05,0.64,0.98,pi4,0.08,0.8989914714978736,0.9653782890365601,0.04,0.3,rbf,1,True,0.04449160893758138
pi4,SVR(C=10),0.04,0.67,0.97,pi3,0.03,0.9375425452975462,0.9798025328753384,0.04,0.92,rbf,1,True,0.04449160893758138
pi2,SVR(kernel='linear'),0.02,0.48,0.97,pi3,0.05,0.9253446596547599,0.9246885565670627,0.04,0.71,linear,1,True,0.04449160893758138
pi3,SVR(kernel='linear'),0.03,0.58,0.92,pi2,0.05,0.9727457449867968,0.9748822430885213,0.04,0.59,linear,1,True,0.04449160893758138
pi3,SVR(kernel='linear'),0.03,0.58,0.92,pi4,0.05,0.8778104488820229,0.8731735811343685,0.04,0.3,linear,1,True,0.04449160893758138
pi4,SVR(kernel='linear'),0.02,0.58,0.87,pi3,0.04,0.9154339595532475,0.9246885565670627,0.04,0.92,linear,1,True,0.04449160893758138
pi2,"SVR(C=1, epsilon=0.5)",0.01,0.71,0.33,pi3,0.1,0.4277956512671821,0.6463259834359798,0.03,0.33,rbf,2,True,0.03267113367716471
pi3,"SVR(C=10, epsilon=0.5)",0.03,0.77,0.65,pi2,0.5,0.1470060078841373,0.32736124772320196,0.03,0.72,rbf,2,True,0.03267113367716471
pi3,"SVR(C=10, epsilon=0.5)",0.03,0.77,0.65,pi5,0.95,-0.30633606418398696,0.43739707805245187,0.03,0.74,rbf,2,True,0.03267113367716471
pi5,"SVR(C=10, epsilon=0.5)",0.01,0.76,0.44,pi3,0.12,0.31435848959866874,0.6463259834359798,0.03,0.74,rbf,2,True,0.03267113367716471
pi2,"SVR(C=10, epsilon=0.5, kernel='linear')",0.02,0.79,0.25,pi3,0.2,0.4490446063790814,0.4982015197704711,0.03,0.33,linear,2,True,0.03267113367716471
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.01,0.96,0.5,pi2,0.29,0.21190598791798243,0.246882185543144,0.03,0.72,linear,2,True,0.03267113367716471
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.01,0.96,0.5,pi5,0.23,0.26751711812319556,0.2892647055484753,0.03,0.74,linear,2,True,0.03267113367716471
pi5,"SVR(C=0.1, kernel='linear')",0.02,1.32,0.29,pi3,0.21,0.5029217380003584,0.4982015197704711,0.03,0.74,linear,2,True,0.03267113367716471
pi2,SVR(C=10),0.02,0.49,0.95,pi4,0.04,0.9840351858719055,0.9881898735181105,0.01,0.94,rbf,3,True,0.01002541184425354
pi4,SVR(C=10),0.01,0.32,0.99,pi2,0.05,0.9420580712863982,0.9450462870841677,0.01,0.7,rbf,3,True,0.01002541184425354
pi2,"SVR(C=10, kernel='linear')",0.01,0.31,0.95,pi4,0.04,0.9836225671243504,0.9843258182997001,0.01,0.94,linear,3,True,0.01002541184425354
pi4,SVR(kernel='linear'),0.01,0.29,0.98,pi2,0.04,0.9454010443504607,0.946197109936551,0.01,0.7,linear,3,True,0.01002541184425354
